ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1995,1995-09-03,1,25.111,DEN,,BUF,W 22-7,,0,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,,
2,1995,1995-09-10,2,25.118,DEN,@,DAL,L 21-31,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,,
3,1995,1995-09-17,3,25.125,DEN,,WAS,W 38-31,,1,1,43,43.00,1,100.0%,43.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
4,1995,1995-09-24,4,25.132,DEN,@,SDG,L 6-17,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,,
5,1995,1995-10-01,5,25.139,DEN,@,SEA,L 10-27,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,,
6,1995,1995-10-08,6,25.146,DEN,@,NWE,W 37-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,1,16,16.00,0,0,0,,0,0,0
7,1995,1995-10-16,7,25.154,DEN,,OAK,W 27-0,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,,
8,1995,1995-10-22,8,25.160,DEN,,KAN,L 7-21,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,,
9,1995,1995-11-05,9,25.174,DEN,,ARI,W 38-6,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,,
10,1995,1995-11-12,10,25.181,DEN,@,PHI,L 13-31,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,,
11,1995,1995-11-19,11,25.188,DEN,,SDG,W 30-27,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,,
12,1995,1995-11-26,12,25.195,DEN,@,HOU,L 33-42,,1,1,24,24.00,0,100.0%,24.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
13,1995,1995-12-03,13,25.202,DEN,,JAX,W 31-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,2,27,13.50,0,0,0,,0,0,0
14,1995,1995-12-10,14,25.209,DEN,,SEA,L 27-31,,2,1,19,19.00,0,50.0%,9.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
15,1995,1995-12-17,15,25.216,DEN,@,KAN,L 17-20,,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
16,1995,1995-12-24,16,25.223,DEN,@,OAK,W 31-28,,3,2,56,28.00,0,66.7%,18.67,0,0,,0,0,0,,0,0,0,,,,,,1,11,11.00,0,0,0,,0,0,0
17,1996,1996-10-20,7,26.158,DEN,,BAL,W 45-34,,1,1,35,35.00,0,100.0%,35.00,0,0,,0,0,0,,0,0,0,,,,,,1,29,29.00,0,0,0,,0,0,0
18,1996,1996-10-27,8,26.165,DEN,,KAN,W 34-7,,5,2,22,11.00,0,40.0%,4.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,7,99,14.14,0,0,0
19,1996,1996-11-04,9,26.173,DEN,@,OAK,W 22-21,,4,4,72,18.00,1,100.0%,18.00,1,1,1.00,0,0,0,,0,0,0,,,,,,0,0,,0,2,0,0.00,0,1,6
20,1996,1996-11-10,10,26.179,DEN,,CHI,W 17-12,,3,1,14,14.00,0,33.3%,4.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,25,25.00,0,0,0
21,1996,1996-11-17,11,26.186,DEN,@,NWE,W 34-8,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,45,15.00,0,0,0
22,1996,1996-11-24,12,26.193,DEN,@,MIN,W 21-17,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,0,0,,0,0,0,,0,0,
23,1996,1996-12-01,13,26.200,DEN,,SEA,W 34-7,,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,58,14.50,0,0,0
24,1996,1996-12-08,14,26.207,DEN,@,GNB,L 6-41,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,6.00,0,0,0
25,1996,1996-12-15,15,26.214,DEN,,OAK,W 24-19,,4,2,44,22.00,1,50.0%,11.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,11,5.50,0,1,6
26,1996,1996-12-22,16,26.221,DEN,@,SDG,L 10-16,,7,4,31,7.75,0,57.1%,4.43,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,39,13.00,0,0,0
27,1997,1997-08-31,1,27.108,DEN,,KAN,W 19-3,,5,5,122,24.40,0,100.0%,24.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
28,1997,1997-09-07,2,27.115,DEN,@,SEA,W 35-14,,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
29,1997,1997-09-14,3,27.122,DEN,,STL,W 35-14,,7,4,126,31.50,2,57.1%,18.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,12,12.00,0,2,12
30,1997,1997-09-21,4,27.129,DEN,,CIN,W 38-20,,11,7,82,11.71,2,63.6%,7.45,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,2,12
31,1997,1997-09-28,5,27.136,DEN,@,ATL,W 29-21,,6,3,28,9.33,0,50.0%,4.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
32,1997,1997-10-06,6,27.144,DEN,,NWE,W 34-13,,10,5,130,26.00,0,50.0%,13.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
33,1997,1997-10-19,7,27.157,DEN,@,OAK,L 25-28,,9,5,58,11.60,0,55.6%,6.44,1,14,14.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
34,1997,1997-10-26,8,27.164,DEN,@,BUF,W 23-20,,5,3,35,11.67,0,60.0%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
35,1997,1997-11-02,9,27.171,DEN,,SEA,W 30-27,,10,5,114,22.80,1,50.0%,11.40,1,3,3.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
36,1997,1997-11-09,10,27.178,DEN,,CAR,W 34-0,,7,4,40,10.00,1,57.1%,5.71,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
37,1997,1997-11-16,11,27.185,DEN,@,KAN,L 22-24,,12,7,114,16.29,0,58.3%,9.50,1,-13,-13.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
38,1997,1997-11-24,12,27.193,DEN,,OAK,W 31-3,,6,3,41,13.67,1,50.0%,6.83,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
39,1997,1997-11-30,13,27.199,DEN,@,SDG,W 38-28,,7,4,40,10.00,1,57.1%,5.71,1,21,21.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
40,1997,1997-12-07,14,27.206,DEN,@,PIT,L 24-35,,10,4,115,28.75,2,40.0%,11.50,1,-9,-9.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,2,12
41,1997,1997-12-15,15,27.214,DEN,@,SFO,L 17-34,,16,5,73,14.60,0,31.3%,4.56,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
42,1997,1997-12-21,16,27.220,DEN,,SDG,W 38-3,,8,4,53,13.25,2,50.0%,6.63,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,2,12
43,1998,1998-09-07,1,28.115,DEN,,NWE,W 27-21,,10,6,57,9.50,0,60.0%,5.70,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
44,1998,1998-09-13,2,28.121,DEN,,DAL,W 42-23,,4,4,76,19.00,0,100.0%,19.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
45,1998,1998-09-20,3,28.128,DEN,@,OAK,W 34-17,,9,4,67,16.75,0,44.4%,7.44,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
46,1998,1998-09-27,4,28.135,DEN,@,WAS,W 38-16,,4,2,13,6.50,0,50.0%,3.25,1,37,37.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
47,1998,1998-10-04,5,28.142,DEN,,PHI,W 41-16,,8,7,95,13.57,2,87.5%,11.88,1,9,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,12
48,1998,1998-10-11,6,28.149,DEN,@,SEA,W 21-16,,10,8,136,17.00,1,80.0%,13.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
49,1998,1998-10-25,7,28.163,DEN,,JAX,W 37-24,,11,6,51,8.50,0,54.5%,4.64,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
50,1998,1998-11-01,8,28.170,DEN,@,CIN,W 33-26,,3,1,17,17.00,0,33.3%,5.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
51,1998,1998-11-08,9,28.177,DEN,,SDG,W 27-10,,7,5,36,7.20,0,71.4%,5.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
52,1998,1998-11-16,10,28.185,DEN,@,KAN,W 30-7,,8,5,50,10.00,0,62.5%,6.25,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
53,1998,1998-11-22,11,28.191,DEN,,OAK,W 40-14,,9,6,95,15.83,1,66.7%,10.56,0,0,,0,1,1,100.00,14,0,0,118.7,0,0,14.00,14.00,0,0,,0,0,0,,0,1,6
54,1998,1998-11-29,12,28.198,DEN,@,SDG,W 31-16,,11,8,101,12.63,1,72.7%,9.18,1,12,12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
55,1998,1998-12-06,13,28.205,DEN,,KAN,W 35-31,,10,8,165,20.63,0,80.0%,16.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
56,1998,1998-12-13,14,28.212,DEN,@,NYG,L 16-20,,8,4,51,12.75,0,50.0%,6.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
57,1998,1998-12-21,15,28.220,DEN,@,MIA,L 21-31,,12,3,54,18.00,0,25.0%,4.50,1,-10,-10.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
58,1998,1998-12-27,16,28.226,DEN,,SEA,W 28-21,,15,9,158,17.56,1,60.0%,10.53,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
59,1999,1999-09-13,1,29.121,DEN,,MIA,L 21-38,*,2,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,,,,,
60,1999,1999-09-26,3,29.134,DEN,@,TAM,L 10-13,*,7,2,24,12.00,0,28.6%,3.43,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
61,1999,1999-10-03,4,29.141,DEN,,NYJ,L 13-21,*,8,3,90,30.00,0,37.5%,11.25,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
62,1999,1999-10-10,5,29.148,DEN,@,OAK,W 16-13,*,10,7,79,11.29,1,70.0%,7.90,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,1,6
63,1999,1999-10-17,6,29.155,DEN,,GNB,W 31-10,*,7,4,57,14.25,0,57.1%,8.14,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
64,1999,1999-10-24,7,29.162,DEN,@,NWE,L 23-24,*,8,3,44,14.67,1,37.5%,5.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
65,1999,1999-10-31,8,29.169,DEN,,MIN,L 20-23,*,11,7,117,16.71,0,63.6%,10.64,0,0,,0,0,0,,0,0,0,,0,,,,1,10,10.00,0,0,0,,0,0,0
66,1999,1999-11-07,9,29.176,DEN,@,SDG,W 33-17,*,7,5,70,14.00,0,71.4%,10.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
67,1999,1999-11-14,10,29.183,DEN,@,SEA,L 17-20,*,9,7,63,9.00,0,77.8%,7.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
68,1999,1999-11-22,11,29.191,DEN,,OAK,W 27-21,*,14,7,66,9.43,0,50.0%,4.71,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
69,1999,1999-12-05,12,29.204,DEN,,KAN,L 10-16,*,15,8,106,13.25,0,53.3%,7.07,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
70,1999,1999-12-13,13,29.212,DEN,@,JAX,L 24-27,*,10,6,92,15.33,1,60.0%,9.20,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
71,1999,1999-12-19,14,29.218,DEN,,SEA,W 36-30,*,11,7,82,11.71,1,63.6%,7.45,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
72,1999,1999-12-25,15,29.224,DEN,@,DET,W 17-7,*,4,4,24,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
73,1999,2000-01-02,16,29.232,DEN,,SDG,L 6-12,*,16,9,106,11.78,0,56.3%,6.63,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
74,2000,2000-09-04,1,30.112,DEN,@,STL,L 36-41,*,9,3,88,29.33,1,33.3%,9.78,1,8,8.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
75,2000,2000-09-10,2,30.118,DEN,,ATL,W 42-14,*,11,7,117,16.71,2,63.6%,10.64,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,2,12
76,2000,2000-09-17,3,30.125,DEN,@,OAK,W 33-24,*,9,7,63,9.00,0,77.8%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
77,2000,2000-09-24,4,30.132,DEN,,KAN,L 22-23,,12,8,134,16.75,0,66.7%,11.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
