ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1991,1991-09-01,1,21.206,CHI,,MIN,W 10-6,,,,,,,,,,,,,,,,
2,1991,1991-09-08,2,21.213,CHI,@,TAM,W 21-20,,,,,,,,,,,,,,,,
3,1991,1991-09-15,3,21.220,CHI,,NYG,W 20-17,,,,,,,,,,,,,,,,
4,1991,1991-09-23,4,21.228,CHI,,NYJ,W 19-13,,,,,,,,,,,,,,,,
5,1991,1991-09-29,5,21.234,CHI,@,BUF,L 20-35,,,,,,,,,,,,,,,,
6,1991,1991-10-06,6,21.241,CHI,,WAS,L 7-20,,,,,,,,,,,,,,,,
7,1991,1991-10-17,7,21.252,CHI,@,GNB,W 10-0,,,,,,,,,,,,,,,,
8,1991,1991-10-27,8,21.262,CHI,@,NOR,W 20-17,,,,,,,,,,,,,,,,
9,1991,1991-11-03,9,21.269,CHI,,DET,W 20-10,,,,,,,,,,,,,,,,
10,1991,1991-11-11,10,21.277,CHI,@,MIN,W 34-17,,,,,,,,,,,,,,,,
11,1991,1991-11-17,11,21.283,CHI,@,IND,W 31-17,,,,,,,,,,,,,,,,
12,1991,1991-11-24,12,21.290,CHI,,MIA,L 13-16,,,,,,,,,,,,,,,,
13,1991,1991-11-28,13,21.294,CHI,@,DET,L 6-16,,,,,,,,,,,,,,,,
14,1991,1991-12-08,14,21.304,CHI,,GNB,W 27-13,,,,,,,,,,,,,,,,
15,1991,1991-12-14,15,21.310,CHI,,TAM,W 27-0,,,,,,,,,,,,,,,,
16,1991,1991-12-23,16,21.319,CHI,@,SFO,L 14-52,,,,,,,,,,,,,,,,
17,1992,1992-09-06,1,22.212,CHI,,DET,W 27-24,,0,0,,0,0,0,,0,,,,4,173,43.25,0
18,1992,1992-09-13,2,22.219,CHI,@,NOR,L 6-28,,0,0,,0,0,0,,0,,,,6,253,42.17,0
19,1992,1992-09-21,3,22.227,CHI,,NYG,L 14-27,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,4,169,42.25,0
20,1992,1992-09-27,4,22.233,CHI,,ATL,W 41-31,,0,0,,0,0,0,,0,,,,6,255,42.50,0
21,1992,1992-10-04,5,22.240,CHI,@,MIN,L 20-21,,0,0,,0,0,0,,0,,,,4,179,44.75,0
22,1992,1992-10-18,6,22.254,CHI,,TAM,W 31-14,,0,0,,0,0,0,,0,,,,4,182,45.50,0
23,1992,1992-10-25,7,22.261,CHI,@,GNB,W 30-10,,1,1,100.00,43,0,0,118.7,0,0,43.00,43.00,5,191,38.20,0
24,1992,1992-11-02,8,22.269,CHI,,MIN,L 10-38,,0,0,,0,0,0,,0,,,,6,252,42.00,0
25,1992,1992-11-08,9,22.275,CHI,,CIN,L 28-31,,0,0,,0,0,0,,0,,,,3,121,40.33,0
26,1992,1992-11-15,10,22.282,CHI,@,TAM,L 17-20,,0,0,,0,0,0,,0,,,,5,213,42.60,0
27,1992,1992-11-22,11,22.289,CHI,,GNB,L 3-17,,0,0,,0,0,0,,0,,,,4,181,45.25,0
28,1992,1992-11-29,12,22.296,CHI,@,CLE,L 14-27,,0,0,,0,0,0,,0,,,,6,261,43.50,0
29,1992,1992-12-07,13,22.304,CHI,@,HOU,L 7-24,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,4,161,40.25,0
30,1992,1992-12-13,14,22.310,CHI,,PIT,W 30-6,,0,0,,0,0,0,,0,,,,5,213,42.60,0
31,1992,1992-12-20,15,22.317,CHI,@,DET,L 3-16,,0,0,,0,0,0,,0,,,,6,283,47.17,0
32,1992,1992-12-27,16,22.324,CHI,@,DAL,L 14-27,,0,0,,0,0,0,,0,,,,7,306,43.71,0
33,1993,1993-09-05,1,23.210,CHI,,NYG,L 20-26,,0,0,,0,0,0,,0,,,,5,199,39.80,0
34,1993,1993-09-12,2,23.217,CHI,@,MIN,L 7-10,,0,0,,0,0,0,,0,,,,8,306,38.25,0
35,1993,1993-09-26,3,23.231,CHI,,TAM,W 47-17,,0,0,,0,0,0,,0,,,,4,176,44.00,0
36,1993,1993-10-03,4,23.238,CHI,,ATL,W 6-0,,0,0,,0,0,0,,0,,,,6,239,39.83,0
37,1993,1993-10-10,5,23.245,CHI,@,PHI,W 17-6,,0,0,,0,0,0,,0,,,,7,225,32.14,0
38,1993,1993-10-25,6,23.260,CHI,,MIN,L 12-19,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,6,231,38.50,0
