ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
80,2009,2009-12-27,15,30.000,CIN,,KAN,W 17-10,*,17,25,68.00,139,2,1,91.9,1,9,5.56,5.36,2,2,1.00,0,,0,0,0.0,0,0
81,2009,2010-01-03,16,30.007,CIN,@,NYJ,L 0-37,*,1,11,9.09,0,0,1,1.7,0,0,0.00,-4.09,0,0,,0,,0,0,0.0,1,0
82,2010,2010-09-12,1,30.259,CIN,@,NWE,L 24-38,*,34,50,68.00,345,2,1,92.5,1,4,6.90,6.80,4,9,2.25,0,,0,0,0.0,0,0
83,2010,2010-09-19,2,30.266,CIN,,BAL,W 15-10,*,16,35,45.71,167,0,0,60.1,1,8,4.77,4.77,3,-1,-0.33,0,,0,0,0.0,0,0
84,2010,2010-09-26,3,30.273,CIN,@,CAR,W 20-7,*,19,37,51.35,195,1,2,53.3,1,10,5.27,3.38,5,8,1.60,0,,0,0,0.0,0,0
85,2010,2010-10-03,4,30.280,CIN,@,CLE,L 20-23,*,25,36,69.44,371,2,0,121.4,4,25,10.31,11.42,1,0,0.00,0,,0,0,0.0,0,0
86,2010,2010-10-10,5,30.287,CIN,,TAM,L 21-24,*,21,36,58.33,209,2,3,58.7,0,0,5.81,3.17,1,3,3.00,0,,0,0,0.0,0,0
87,2010,2010-10-24,6,30.301,CIN,@,ATL,L 32-39,*,36,50,72.00,412,3,0,116.4,3,27,8.24,9.44,0,0,,0,,0,0,0.0,0,0
88,2010,2010-10-31,7,30.308,CIN,,MIA,L 14-22,*,17,38,44.74,156,2,1,63.0,0,0,4.11,3.97,3,13,4.33,0,,0,0,0.0,0,0
89,2010,2010-11-08,8,30.316,CIN,,PIT,L 21-27,*,22,36,61.11,248,2,1,88.7,4,30,6.89,6.75,0,0,,0,,0,0,0.0,0,0
90,2010,2010-11-14,9,30.322,CIN,@,IND,L 17-23,*,31,42,73.81,292,2,3,78.7,3,23,6.95,4.69,0,0,,0,,0,0,0.0,1,0
91,2010,2010-11-21,10,30.329,CIN,,BUF,L 31-49,*,19,34,55.88,230,2,2,71.9,0,0,6.76,5.29,2,12,6.00,0,,0,0,0.0,1,0
92,2010,2010-11-25,11,30.333,CIN,@,NYJ,L 10-26,*,17,38,44.74,135,1,2,41.0,3,18,3.55,1.71,2,5,2.50,0,,0,0,0.0,0,0
93,2010,2010-12-05,12,30.343,CIN,,NOR,L 30-34,*,23,33,69.70,249,1,0,101.7,3,34,7.55,8.15,0,0,,0,1,0,2,0.0,0,0
94,2010,2010-12-12,13,30.350,CIN,@,PIT,L 7-23,*,20,32,62.50,178,1,3,48.7,3,22,5.56,1.97,2,0,0.00,0,,0,0,0.0,0,0
95,2010,2010-12-19,14,30.357,CIN,,CLE,W 19-17,*,14,23,60.87,209,0,0,90.7,0,0,9.09,9.09,5,-1,-0.20,0,,0,0,0.0,0,0
96,2010,2010-12-26,15,30.364,CIN,,SDG,W 34-20,*,16,21,76.19,269,4,0,157.2,0,0,12.81,16.62,2,-1,-0.50,0,,0,0,0.0,0,0
97,2010,2011-01-02,16,31.006,CIN,@,BAL,L 7-13,*,32,45,71.11,305,1,2,78.5,0,0,6.78,5.22,2,3,1.50,0,,0,0,0.0,1,0
98,2011,2011-10-23,7,31.300,OAK,,KAN,L 0-28,,8,21,38.10,116,0,3,17.3,0,0,5.52,-0.90,0,0,,0,,0,0,0.0,0,0
99,2011,2011-11-06,8,31.314,OAK,,DEN,L 24-38,*,19,35,54.29,332,3,3,79.7,2,16,9.49,7.34,5,3,0.60,0,,0,0,0.0,0,0
100,2011,2011-11-10,9,31.318,OAK,@,SDG,W 24-17,*,14,20,70.00,299,2,1,125.0,1,1,14.95,14.70,3,-8,-2.67,0,,0,0,0.0,0,0
101,2011,2011-11-20,10,31.328,OAK,@,MIN,W 27-21,*,17,23,73.91,164,1,0,107.9,4,25,7.13,8.00,3,5,1.67,1,,1,6,0.0,0,0
102,2011,2011-11-27,11,31.335,OAK,,CHI,W 25-20,*,21,37,56.76,301,0,1,72.0,4,33,8.14,6.92,0,0,,0,,0,0,0.0,0,0
103,2011,2011-12-04,12,31.342,OAK,@,MIA,L 14-34,*,20,41,48.78,273,2,1,76.6,2,15,6.66,6.54,1,2,2.00,0,,0,0,0.0,0,0
104,2011,2011-12-11,13,31.349,OAK,@,GNB,L 16-46,*,24,42,57.14,247,1,4,42.6,1,7,5.88,2.07,2,12,6.00,0,,0,0,0.0,1,0
105,2011,2011-12-18,14,31.356,OAK,,DET,L 27-28,*,32,40,80.00,367,1,0,113.2,3,22,9.18,9.68,0,0,,0,,0,0,0.0,0,0
106,2011,2011-12-24,15,31.362,OAK,@,KAN,W 16-13,*,16,26,61.54,237,1,2,72.1,0,0,9.12,6.42,0,0,,0,,0,0,0.0,0,0
107,2011,2012-01-01,16,32.005,OAK,,SDG,L 26-38,*,28,43,65.12,417,2,1,102.6,0,0,9.70,9.58,2,6,3.00,0,,0,0,0.0,0,0
108,2012,2012-09-10,1,32.258,OAK,,SDG,L 14-22,*,32,46,69.57,297,1,0,94.2,3,21,6.46,6.89,0,0,,0,,0,0,0.0,0,0
109,2012,2012-09-16,2,32.264,OAK,@,MIA,L 13-35,*,24,48,50.00,373,1,1,74.4,0,0,7.77,7.25,2,7,3.50,0,,0,0,0.0,0,0
110,2012,2012-09-23,3,32.271,OAK,,PIT,W 34-31,*,24,34,70.59,209,3,1,103.7,1,7,6.15,6.59,2,5,2.50,0,,0,0,0.0,0,0
111,2012,2012-09-30,4,32.278,OAK,@,DEN,L 6-37,*,19,34,55.88,202,0,0,73.4,3,21,5.94,5.94,0,0,,0,,0,0,0.0,0,0
112,2012,2012-10-14,5,32.292,OAK,@,ATL,L 20-23,*,23,33,69.70,353,1,1,102.2,3,28,10.70,9.94,0,0,,0,,0,0,0.0,0,0
113,2012,2012-10-21,6,32.299,OAK,,JAX,W 26-23,*,26,46,56.52,298,1,1,74.4,2,16,6.48,5.93,6,14,2.33,1,,1,6,0.0,0,0
114,2012,2012-10-28,7,32.306,OAK,@,KAN,W 26-16,*,14,28,50.00,209,2,1,83.8,0,0,7.46,7.29,1,-1,-1.00,0,,0,0,0.0,0,0
115,2012,2012-11-04,8,32.313,OAK,,TAM,L 32-42,*,39,61,63.93,414,4,3,85.0,2,16,6.79,5.89,1,3,3.00,0,,0,0,0.0,0,0
116,2012,2012-11-11,9,32.320,OAK,@,BAL,L 20-55,*,29,45,64.44,368,2,1,95.4,3,18,8.18,8.07,1,0,0.00,0,,0,0,0.0,0,0
117,2012,2012-11-18,10,32.327,OAK,,NOR,L 17-38,*,22,40,55.00,312,2,2,76.2,3,28,7.80,6.55,1,2,2.00,0,,0,0,0.0,0,0
118,2012,2012-11-25,11,32.334,OAK,@,CIN,L 10-34,*,19,34,55.88,146,1,1,64.1,4,27,4.29,3.56,0,0,,0,,0,0,0.0,0,0
119,2012,2012-12-02,12,32.341,OAK,,CLE,L 17-20,*,34,54,62.96,351,2,1,86.3,1,7,6.50,6.41,1,3,3.00,0,,0,0,0.0,0,0
120,2012,2012-12-06,13,32.345,OAK,,DEN,L 13-26,*,19,30,63.33,273,2,1,101.1,1,10,9.10,8.93,1,-1,-1.00,0,,0,0,0.0,0,0
121,2012,2012-12-16,14,32.355,OAK,,KAN,W 15-0,*,18,29,62.07,182,0,0,80.0,0,0,6.28,6.28,2,4,2.00,0,,0,0,0.0,0,0
122,2012,2012-12-23,15,32.362,OAK,@,CAR,L 6-17,*,3,3,100.00,31,0,0,109.7,0,0,10.33,10.33,0,0,,0,,0,0,0.0,0,0
123,2013,2013-09-08,1,33.255,ARI,@,STL,L 24-27,*,26,40,65.00,327,2,1,96.6,4,23,8.18,8.05,0,0,,0,,0,0,0.0,0,0
124,2013,2013-09-15,2,33.262,ARI,,DET,W 25-21,*,22,39,56.41,248,1,1,73.5,1,4,6.36,5.72,2,-2,-1.00,0,,0,0,0.0,0,0
125,2013,2013-09-22,3,33.269,ARI,@,NOR,L 7-31,*,18,35,51.43,187,0,2,43.4,4,26,5.34,2.77,0,0,,0,,0,0,0.0,0,0
126,2013,2013-09-29,4,33.276,ARI,@,TAM,W 13-10,*,21,38,55.26,248,1,2,62.2,1,8,6.53,4.68,4,6,1.50,0,,0,0,0.0,0,0
127,2013,2013-10-06,5,33.283,ARI,,CAR,W 22-6,*,19,28,67.86,175,1,3,57.0,2,15,6.25,2.14,3,-3,-1.00,0,,0,0,0.0,0,1
128,2013,2013-10-13,6,33.290,ARI,@,SFO,L 20-32,*,25,41,60.98,298,2,2,79.1,1,4,7.27,6.05,0,0,,0,,0,0,0.0,0,0
129,2013,2013-10-17,7,33.294,ARI,,SEA,L 22-34,*,30,45,66.67,258,1,2,70.4,7,54,5.73,4.18,2,5,2.50,0,,0,0,0.0,0,0
130,2013,2013-10-27,8,33.304,ARI,,ATL,W 27-13,*,13,18,72.22,172,2,1,116.0,3,25,9.56,9.28,1,9,9.00,0,,0,0,0.0,0,0
131,2013,2013-11-10,9,33.318,ARI,,HOU,W 27-24,*,20,32,62.50,241,2,1,93.4,1,6,7.53,7.38,2,-2,-1.00,0,,0,0,0.0,1,0
132,2013,2013-11-17,10,33.325,ARI,@,JAX,W 27-14,*,30,42,71.43,419,2,0,119.0,3,17,9.98,10.93,3,-3,-1.00,0,,0,0,0.0,0,0
133,2013,2013-11-24,11,33.332,ARI,,IND,W 40-11,*,26,37,70.27,314,2,0,114.0,3,24,8.49,9.57,0,0,,0,,0,0,0.0,0,0
134,2013,2013-12-01,12,33.339,ARI,@,PHI,L 21-24,*,24,41,58.54,302,3,2,85.6,5,42,7.37,6.63,1,-1,-1.00,0,,0,0,0.0,0,0
135,2013,2013-12-08,13,33.346,ARI,,STL,W 30-10,*,27,32,84.38,269,1,0,112.1,1,7,8.41,9.03,1,-1,-1.00,0,,0,0,0.0,0,0
136,2013,2013-12-15,14,33.353,ARI,@,TEN,W 37-34,*,20,30,66.67,231,1,0,100.8,2,16,7.70,8.37,2,-1,-0.50,0,,0,0,0.0,0,0
