ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1983,1983-09-03,1,22.327,PHI,@,SFO,W 22-17,0,0,,0,2,46,23.00,0,0,0,,0,0,0
2,1983,1983-09-11,2,22.335,PHI,,WAS,L 13-23,0,0,,0,1,19,19.00,0,0,0,,0,0,0
3,1983,1983-09-18,3,22.342,PHI,@,DEN,W 13-10,0,0,,0,0,0,,0,0,0,,0,,
4,1983,1983-09-25,4,22.349,PHI,,STL,L 11-14,0,0,,0,3,56,18.67,0,0,0,,0,0,0
5,1983,1983-10-02,5,22.356,PHI,@,ATL,W 28-24,0,0,,0,2,41,20.50,0,2,15,7.50,0,0,0
6,1983,1983-10-09,6,22.363,PHI,@,NYG,W 17-13,1,30,30.00,0,3,59,19.67,0,3,9,3.00,0,0,0
7,1983,1983-10-16,7,23.005,PHI,@,DAL,L 7-37,0,0,,0,2,35,17.50,0,1,15,15.00,0,0,0
8,1983,1983-10-23,8,23.012,PHI,,CHI,L 6-7,0,0,,0,0,0,,0,1,0,0.00,0,0,0
9,1983,1983-10-30,9,23.019,PHI,,BAL,L 21-22,0,0,,0,5,97,19.40,0,5,25,5.00,0,0,0
10,1983,1983-11-06,10,23.026,PHI,,DAL,L 20-27,2,95,47.50,1,0,0,,0,0,0,,0,1,6
11,1983,1983-11-13,11,23.033,PHI,@,CHI,L 14-17,0,0,,0,0,0,,0,0,0,,0,,
12,1983,1983-11-20,12,23.040,PHI,,NYG,L 0-23,0,0,,0,2,37,18.50,0,0,0,,0,0,0
13,1983,1983-11-27,13,23.047,PHI,@,WAS,L 24-28,0,0,,0,3,103,34.33,0,0,0,,0,0,0
14,1983,1983-12-04,14,23.054,PHI,,RAM,W 13-9,0,0,,0,2,30,15.00,0,0,0,,0,0,0
15,1983,1983-12-11,15,23.061,PHI,,NOR,L 17-20,0,0,,0,1,24,24.00,0,2,29,14.50,0,0,0
16,1983,1983-12-18,16,23.068,PHI,@,STL,L 7-31,0,0,,0,0,0,,0,0,0,,0,,
17,1984,1984-12-09,15,24.059,CLE,@,PIT,L 20-23,1,47,47.00,0,1,23,23.00,0,0,0,,0,0,0
18,1984,1984-12-16,16,24.066,CLE,@,HOU,W 27-20,0,0,,0,4,111,27.75,0,0,0,,0,0,0
19,1985,1985-09-08,1,24.332,CLE,,STL,L 24-27,0,0,,0,2,38,19.00,0,0,0,,0,0,0
20,1985,1985-09-16,2,24.340,CLE,,PIT,W 17-7,0,0,,0,2,56,28.00,0,0,0,,0,0,0
21,1985,1985-09-22,3,24.346,CLE,@,DAL,L 7-20,3,49,16.33,0,4,85,21.25,0,0,0,,0,0,0
22,1985,1985-09-29,4,24.353,CLE,@,SDG,W 21-7,0,0,,0,0,0,,0,,,,,,
23,1985,1985-10-06,5,24.360,CLE,,NWE,W 24-20,0,0,,0,5,112,22.40,0,0,0,,0,0,0
24,1985,1985-10-13,6,25.002,CLE,@,HOU,W 21-6,0,0,,0,1,16,16.00,0,0,0,,0,0,0
25,1985,1985-10-20,7,25.009,CLE,,RAI,L 20-21,0,0,,0,3,69,23.00,0,0,0,,0,0,0
26,1985,1985-10-27,8,25.016,CLE,,WAS,L 7-14,0,0,,0,1,19,19.00,0,0,0,,0,0,0
27,1985,1985-11-03,9,25.023,CLE,@,PIT,L 9-10,0,0,,0,2,76,38.00,0,0,0,,0,0,0
28,1985,1985-11-10,10,25.030,CLE,@,CIN,L 10-27,0,0,,0,5,101,20.20,0,0,0,,0,0,0
29,1985,1985-11-17,11,25.037,CLE,,BUF,W 17-7,0,0,,0,1,32,32.00,0,0,0,,0,0,0
30,1985,1985-11-24,12,25.044,CLE,,CIN,W 24-6,0,0,,0,0,0,,0,,,,,,
31,1985,1985-12-01,13,25.051,CLE,@,NYG,W 35-33,1,17,17.00,0,5,157,31.40,0,0,0,,0,0,0
32,1985,1985-12-08,14,25.058,CLE,@,SEA,L 13-31,1,45,45.00,1,3,101,33.67,0,0,0,,0,1,6
33,1985,1985-12-15,15,25.065,CLE,,HOU,W 28-21,0,0,,0,1,36,36.00,0,0,0,,0,0,0
34,1987,1987-09-13,1,26.337,CLE,@,NOR,L 21-28,0,0,,0,2,39,19.50,0,0,0,,0,0,0
35,1987,1987-09-20,2,26.344,CLE,,PIT,W 34-10,0,0,,0,2,33,16.50,0,0,0,,0,0,0
36,1987,1987-10-26,6,27.015,CLE,,RAM,W 30-17,0,0,,0,3,79,26.33,0,0,0,,0,0,0
37,1987,1987-11-01,7,27.021,CLE,@,SDG,L 24-27,0,0,,0,4,84,21.00,0,0,0,,0,0,0
38,1987,1987-11-08,8,27.028,CLE,,ATL,W 38-3,0,0,,0,1,44,44.00,0,0,0,,0,0,0
39,1987,1987-11-15,9,27.035,CLE,,BUF,W 27-21,,,,,0,0,,0,,,,,,
40,1987,1987-11-22,10,27.042,CLE,@,HOU,W 40-7,0,0,,0,1,21,21.00,0,0,0,,0,0,0
41,1987,1987-12-06,12,27.056,CLE,,IND,L 7-9,0,0,,0,1,24,24.00,0,0,0,,0,0,0
42,1987,1987-12-13,13,27.063,CLE,,CIN,W 38-24,0,0,,0,2,40,20.00,0,0,0,,0,0,0
43,1987,1987-12-20,14,27.070,CLE,@,RAI,W 24-17,0,0,,0,2,48,24.00,0,0,0,,0,0,0
44,1988,1988-09-11,2,27.336,CLE,,NYJ,L 3-23,1,25,25.00,0,5,112,22.40,0,0,0,,0,0,0
45,1988,1988-09-19,3,27.344,CLE,,IND,W 23-17,0,0,,0,1,18,18.00,0,0,0,,0,0,0
46,1988,1988-09-25,4,27.350,CLE,@,CIN,L 17-24,0,0,,0,3,62,20.67,0,0,0,,0,0,0
47,1988,1988-10-02,5,27.357,CLE,@,PIT,W 23-9,0,0,,0,2,36,18.00,0,0,0,,0,0,0
48,1988,1988-10-09,6,27.364,CLE,,SEA,L 10-16,0,0,,0,3,67,22.33,0,0,0,,0,0,0
49,1988,1988-10-16,7,28.005,CLE,,PHI,W 19-3,0,0,,0,1,21,21.00,0,0,0,,0,0,0
50,1988,1988-10-23,8,28.012,CLE,@,PHO,W 29-21,0,0,,0,2,54,27.00,0,0,0,,0,0,0
51,1988,1988-10-30,9,28.019,CLE,,CIN,W 23-16,0,0,,0,1,32,32.00,0,0,0,,0,0,0
52,1988,1988-11-07,10,28.027,CLE,@,HOU,L 17-24,0,0,,0,1,24,24.00,0,0,0,,0,0,0
53,1988,1988-11-13,11,28.033,CLE,@,DEN,L 7-30,1,9,9.00,0,2,36,18.00,0,0,0,,0,0,0
