ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1962,1962-09-09,1,27.107,BUF,,HOU,L 23-28,7,22,3.14,0,1,2,2.00,0,0,0,,0,0,0,,0,0,,,1,22,22.00,0,,1,0.0,1,2,50.0,0,3
2,1962,1962-09-15,2,27.113,BUF,,DEN,L 20-23,15,131,8.73,1,4,48,12.00,1,0,0,,0,0,0,,0,0,,,3,76,25.33,0,,,,,2,0.0,2,12
3,1962,1962-09-22,3,27.120,BUF,,NYT,L 6-17,8,25,3.13,0,3,36,12.00,0,0,0,,0,0,0,,0,0,,,2,26,13.00,0,,,,,,,0,0
4,1962,1962-09-30,4,27.128,BUF,@,DTX,L 21-41,8,30,3.75,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,26,26.00,0,,,,,1,0.0,1,6
5,1962,1962-10-07,5,27.135,BUF,@,HOU,L 14-17,15,54,3.60,1,2,21,10.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
6,1962,1962-10-13,6,27.141,BUF,,SDG,W 35-10,25,124,4.96,1,2,23,11.50,1,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,2,12
7,1962,1962-10-20,7,27.148,BUF,,OAK,W 14-6,19,143,7.53,1,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
8,1962,1962-10-28,8,27.156,BUF,@,DEN,W 45-38,17,89,5.24,2,2,76,38.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,1,2,50.0,2,15
9,1962,1962-11-03,9,27.162,BUF,,BOS,T 28-28,23,107,4.65,2,1,-5,-5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,,2,0.0,2,16
10,1962,1962-11-11,10,27.170,BUF,@,SDG,W 40-20,14,46,3.29,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,5,80.0,2,2,100.0,1,16
11,1962,1962-11-18,11,27.177,BUF,@,OAK,W 10-6,19,103,5.42,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,1,4,25.0,0,4
12,1962,1962-11-23,12,27.182,BUF,@,BOS,L 10-21,8,16,2.00,0,4,42,10.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,,,,0,1
13,1962,1962-12-02,13,27.191,BUF,,DTX,W 23-14,19,63,3.32,1,4,69,17.25,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,3,66.7,1,3,33.3,1,11
14,1962,1962-12-08,14,27.197,BUF,@,NYT,W 20-3,17,143,8.41,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,2,2,100.0,2,20
15,1963,1963-09-08,1,28.106,BUF,@,SDG,L 10-14,2,4,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
16,1963,1963-09-15,2,28.113,BUF,@,OAK,L 17-35,10,19,1.90,0,1,0,0.00,0,1,1,100.00,35,0,0,118.7,0,0,35.00,35.00,0,0,,0,,,,,,,0,0
17,1963,1963-09-22,3,28.120,BUF,,KAN,T 27-27,14,63,4.50,0,2,9,4.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
18,1963,1963-09-28,4,28.126,BUF,,HOU,L 20-31,16,72,4.50,1,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
19,1963,1963-10-05,5,28.133,BUF,,OAK,W 12-0,16,48,3.00,0,1,11,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
20,1963,1963-10-13,6,28.141,BUF,@,KAN,W 35-26,12,14,1.17,2,1,10,10.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,2,12
21,1963,1963-10-20,7,28.148,BUF,@,HOU,L 14-28,11,49,4.45,0,2,10,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
22,1963,1963-10-26,8,28.154,BUF,,BOS,W 28-21,13,49,3.77,0,4,36,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
23,1963,1963-11-03,9,28.162,BUF,@,DEN,W 30-28,26,125,4.81,1,1,35,35.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,2,12
24,1963,1963-11-09,10,28.168,BUF,,DEN,W 27-17,16,47,2.94,0,3,58,19.33,1,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
25,1963,1963-11-17,11,28.176,BUF,,SDG,L 13-23,17,95,5.59,1,5,36,7.20,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
26,1963,1963-12-01,12,28.190,BUF,@,BOS,L 7-17,12,37,3.08,1,2,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
27,1963,1963-12-08,13,28.197,BUF,,NYJ,W 45-14,36,243,6.75,5,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,5,30
28,1963,1963-12-14,14,28.203,BUF,@,NYJ,W 19-10,31,114,3.68,1,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
29,1964,1964-09-13,1,29.111,BUF,,KAN,W 34-17,14,52,3.71,0,1,14,14.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
30,1964,1964-09-20,2,29.118,BUF,,DEN,W 30-13,20,92,4.60,2,2,30,15.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,2,12
31,1964,1964-09-26,3,29.124,BUF,,SDG,W 30-3,23,81,3.52,0,3,15,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
32,1964,1964-10-03,4,29.131,BUF,,OAK,W 23-20,20,91,4.55,0,4,87,21.75,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
33,1964,1964-10-11,5,29.139,BUF,@,HOU,W 48-17,18,92,5.11,2,4,48,12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,2,12
34,1964,1964-10-18,6,29.146,BUF,@,KAN,W 35-22,17,47,2.76,0,3,10,3.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
35,1964,1964-10-24,7,29.152,BUF,,NYJ,W 34-24,15,27,1.80,0,3,59,19.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
36,1964,1964-11-01,8,29.160,BUF,,HOU,W 24-10,15,139,9.27,1,2,13,6.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
37,1964,1964-11-08,9,29.167,BUF,@,NYJ,W 20-7,9,99,11.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
38,1964,1964-11-15,10,29.174,BUF,,BOS,L 28-36,11,31,2.82,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
39,1964,1964-11-26,11,29.185,BUF,@,SDG,W 27-24,21,87,4.14,0,3,9,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
40,1964,1964-12-06,12,29.195,BUF,@,OAK,L 13-16,10,24,2.40,0,4,55,13.75,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
41,1964,1964-12-13,13,29.202,BUF,@,DEN,W 30-19,17,67,3.94,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
42,1964,1964-12-20,14,29.209,BUF,@,BOS,W 24-14,20,52,2.60,0,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
