ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1969,1969-09-21,1,21.274,ATL,,SFO,W 24-12,0,0,,0,0,0,,0,1,4,4.00,0,0,0,0
2,1969,1969-09-28,2,21.281,ATL,@,RAM,L 7-17,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0
3,1969,1969-10-05,3,21.288,ATL,,BAL,L 14-21,0,0,,0,0,0,,0,2,17,8.50,0,0,0,0
4,1969,1969-11-30,11,21.344,STL,,PIT,W 47-10,0,0,,0,0,0,,0,0,0,,0,2,41,0
5,1970,1970-09-18,1,22.271,STL,@,RAM,L 13-34,0,0,,0,3,52,17.33,0,0,0,,0,0,0,0
6,1970,1970-09-27,2,22.280,STL,,WAS,W 27-17,0,0,,0,1,21,21.00,0,0,0,,0,0,0,0
7,1970,1970-10-04,3,22.287,STL,,DAL,W 20-7,,,,,,,,,,,,,,,
8,1970,1970-10-11,4,22.294,STL,,NOR,W 24-17,,,,,,,,,,,,,,,
9,1970,1970-10-18,5,22.301,STL,@,PHI,W 35-20,0,0,,0,1,24,24.00,0,0,0,,0,0,0,0
10,1970,1970-10-25,6,22.308,STL,@,NYG,L 17-35,0,0,,0,3,59,19.67,0,0,0,,0,0,0,0
11,1970,1970-11-01,7,22.315,STL,,HOU,W 44-0,,,,,,,,,,,,,,,
12,1970,1970-11-08,8,22.322,STL,,BOS,W 31-0,,,,,,,,,,,,,,,
13,1970,1970-11-16,9,22.330,STL,@,DAL,W 38-0,0,0,,0,0,0,,0,0,0,,0,1,0,0
14,1970,1970-11-22,10,22.336,STL,@,KAN,T 6-6,,,,,,,,,,,,,,,
15,1970,1970-11-29,11,22.343,STL,,PHI,W 23-14,,,,,,,,,,,,,,,
16,1970,1970-12-06,12,22.350,STL,@,DET,L 3-16,,,,,,,,,,,,,,,
17,1970,1970-12-13,13,22.357,STL,,NYG,L 17-34,,,,,,,,,,,,,,,
18,1970,1970-12-20,14,22.364,STL,@,WAS,L 27-28,,,,,,,,,,,,,,,
19,1971,1971-09-20,1,23.273,MIN,@,DET,W 16-13,,,,,,,,,,,,,,,
20,1971,1971-11-14,9,23.328,MIN,,GNB,W 3-0,,,,,,,,,,,,,,,
21,1971,1971-11-21,10,23.335,MIN,@,NOR,W 23-10,,,,,,,,,,,,,,,
22,1972,1972-09-18,1,24.272,MIN,,WAS,L 21-24,,,,,,,,,,,,,,,
23,1972,1972-09-24,2,24.278,MIN,@,DET,W 34-10,,,,,,,,,,,,,,,
24,1972,1972-10-01,3,24.285,MIN,,MIA,L 14-16,,,,,,,,,,,,,,,
25,1972,1972-10-08,4,24.292,MIN,,STL,L 17-19,,,,,,,,,,,,,,,
26,1972,1972-10-15,5,24.299,MIN,@,DEN,W 23-20,,,,,,,,,,,,,,,
27,1972,1972-10-23,6,24.307,MIN,@,CHI,L 10-13,0,0,,0,0,0,,0,0,0,,0,1,10,0
28,1972,1972-10-29,7,24.313,MIN,@,GNB,W 27-13,,,,,,,,,,,,,,,
29,1972,1972-11-05,8,24.320,MIN,,NOR,W 37-6,,,,,,,,,,,,,,,
30,1972,1972-11-12,9,24.327,MIN,,DET,W 16-14,,,,,,,,,,,,,,,
31,1972,1972-11-19,10,24.334,MIN,@,RAM,W 45-41,,,,,,,,,,,,,,,
32,1972,1972-11-26,11,24.341,MIN,@,PIT,L 10-23,,,,,,,,,,,,,,,
33,1972,1972-12-03,12,24.348,MIN,,CHI,W 23-10,,,,,,,,,,,,,,,
34,1972,1972-12-10,13,24.355,MIN,,GNB,L 7-23,,,,,,,,,,,,,,,
35,1972,1972-12-16,14,24.361,MIN,@,SFO,L 17-20,,,,,,,,,,,,,,,
36,1973,1973-09-16,1,25.269,MIN,,OAK,W 24-16,,,,,,,,,,,,,,,
37,1973,1973-09-23,2,25.276,MIN,@,CHI,W 22-13,,,,,,,,,,,,,,,
38,1973,1973-09-30,3,25.283,MIN,,GNB,W 11-3,,,,,,,,,,,,,,,
