ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1997,1997-08-31,1,23.223,CAR,,WAS,L 10-24,,5,1,6,6.00,0,20.0%,1.20,0,0,,0,0,0
2,1997,1997-09-07,2,23.230,CAR,@,ATL,W 9-6,,5,2,18,9.00,0,40.0%,3.60,0,0,,0,0,0
3,1997,1997-09-14,3,23.237,CAR,@,SDG,W 26-7,,,0,0,,0,0.0%,,0,0,,0,0,
4,1997,1997-09-21,4,23.244,CAR,,KAN,L 14-35,,11,8,110,13.75,0,72.7%,10.00,0,0,,0,0,0
5,1997,1997-09-29,5,23.252,CAR,,SFO,L 21-34,,6,4,74,18.50,1,66.7%,12.33,0,0,,0,1,6
6,1997,1997-10-12,6,23.265,CAR,@,MIN,L 14-21,,12,6,107,17.83,1,50.0%,8.92,1,3,3.00,0,1,6
7,1997,1997-10-19,7,23.272,CAR,@,NOR,W 13-0,,5,4,40,10.00,0,80.0%,8.00,0,0,,0,0,0
8,1997,1997-10-26,8,23.279,CAR,,ATL,W 21-12,,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0
9,1997,1997-11-02,9,23.286,CAR,,OAK,W 38-14,,4,1,14,14.00,0,25.0%,3.50,1,2,2.00,0,0,0
10,1997,1997-11-09,10,23.293,CAR,@,DEN,L 0-34,,1,0,0,,0,0.0%,0.00,2,9,4.50,0,0,0
11,1997,1997-11-16,11,23.300,CAR,@,SFO,L 19-27,,8,4,35,8.75,0,50.0%,4.38,0,0,,0,0,0
12,1997,1997-11-23,12,23.307,CAR,@,STL,W 16-10,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0
13,1997,1997-12-08,14,23.322,CAR,@,DAL,W 23-13,,4,4,36,9.00,1,100.0%,9.00,0,0,,0,1,6
14,1997,1997-12-14,15,23.328,CAR,,GNB,L 10-31,,8,4,28,7.00,0,50.0%,3.50,1,6,6.00,0,0,0
15,1997,1997-12-20,16,23.334,CAR,,STL,L 18-30,,7,4,66,16.50,1,57.1%,9.43,1,3,3.00,0,1,6
16,1998,1998-09-06,1,24.229,CAR,,ATL,L 14-19,,5,4,59,14.75,0,80.0%,11.80,0,0,,0,0,0
17,1998,1998-11-08,9,24.292,CAR,@,SFO,L 23-25,,,,,,,0.0%,,,,,,,
18,1999,1999-09-12,1,25.235,CAR,@,NOR,L 10-19,*,8,5,63,12.60,0,62.5%,7.88,0,0,,0,0,0
19,1999,1999-09-19,2,25.242,CAR,,JAX,L 20-22,*,5,2,27,13.50,0,40.0%,5.40,0,0,,0,0,0
20,1999,1999-09-26,3,25.249,CAR,,CIN,W 27-3,*,3,3,35,11.67,0,100.0%,11.67,0,0,,0,0,0
21,1999,1999-10-03,4,25.256,CAR,@,WAS,L 36-38,*,8,3,62,20.67,0,37.5%,7.75,1,4,4.00,0,0,0
22,1999,1999-10-17,5,25.270,CAR,@,SFO,W 31-29,*,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0
