ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2001,2001-12-30,15,24.328,CHI,@,DET,W 24-0,,4,,,,,0.0%,,,,,,,,,,,,,
2,2001,2002-01-06,16,24.335,CHI,,JAX,W 33-13,,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,0
3,2002,2002-10-07,5,25.244,CHI,,GNB,L 21-34,,,,,,,0.0%,,,,,,,,,,,,,
4,2002,2002-10-20,6,25.257,CHI,@,DET,L 20-23,,0,0,0,,0,0.0%,,0,0,,0,1,63,63.00,0,0,0,,0
5,2002,2002-10-27,7,25.264,CHI,@,MIN,L 7-25,,5,2,11,5.50,0,40.0%,2.20,0,0,,0,4,63,15.75,0,0,0,,0
6,2002,2002-11-03,8,25.271,CHI,,PHI,L 13-19,*,4,2,30,15.00,0,50.0%,7.50,0,0,,0,6,107,17.83,0,0,0,,0
7,2002,2002-11-10,9,25.278,CHI,,NWE,L 30-33,*,1,0,0,,0,0.0%,0.00,0,0,,0,6,148,24.67,0,0,0,,0
8,2002,2002-11-18,10,25.286,CHI,@,STL,L 16-21,,2,0,0,,0,0.0%,0.00,0,0,,0,4,111,27.75,0,0,0,,0
9,2002,2002-11-24,11,25.292,CHI,,DET,W 20-17,,3,3,24,8.00,0,100.0%,8.00,0,0,,0,3,82,27.33,0,0,0,,0
10,2002,2002-12-01,12,25.299,CHI,@,GNB,L 20-30,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,5,97,19.40,0,0,0,,0
11,2002,2002-12-09,13,25.307,CHI,@,MIA,L 9-27,,3,1,11,11.00,0,33.3%,3.67,0,0,,0,5,104,20.80,0,4,36,9.00,0
12,2002,2002-12-15,14,25.313,CHI,,NYJ,W 20-13,*,1,1,-3,-3.00,0,100.0%,-3.00,1,5,5.00,0,3,80,26.67,0,2,12,6.00,0
13,2002,2002-12-22,15,25.320,CHI,@,CAR,L 14-24,,1,0,0,,0,0.0%,0.00,0,0,,0,4,68,17.00,0,2,12,6.00,0
14,2002,2002-12-29,16,25.327,CHI,,TAM,L 0-15,,5,4,22,5.50,0,80.0%,4.40,0,0,,0,4,106,26.50,0,2,11,5.50,0
15,2003,2003-09-07,1,26.214,CHI,@,SFO,L 7-49,,1,0,0,,0,0.0%,0.00,0,0,,0,9,170,18.89,0,0,0,,0
16,2003,2003-09-14,2,26.221,CHI,@,MIN,L 13-24,,0,0,0,,0,0.0%,,0,0,,0,4,92,23.00,0,0,0,,0
17,2003,2003-09-29,3,26.236,CHI,,GNB,L 23-38,,1,0,0,,0,0.0%,0.00,0,0,,0,6,110,18.33,0,0,0,,0
18,2003,2003-10-05,4,26.242,CHI,,OAK,W 24-21,,,,,,,0.0%,,,,,,,,,,,,,
19,2003,2003-10-12,5,26.249,CHI,@,NOR,L 13-20,,4,1,22,22.00,0,25.0%,5.50,0,0,,0,1,33,33.00,0,0,0,,0
20,2003,2003-10-19,6,26.256,CHI,@,SEA,L 17-24,*,,,,,,0.0%,,,,,,,,,,,,,
21,2003,2003-11-02,8,26.270,CHI,,SDG,W 20-7,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0,,0
22,2003,2003-11-09,9,26.277,CHI,@,DET,L 10-12,,0,,,,,0.0%,,,,,,,,,,,,,
23,2003,2003-11-16,10,26.284,CHI,,STL,L 21-23,,0,,,,,0.0%,,,,,,,,,,,,,
24,2003,2003-11-23,11,26.291,CHI,@,DEN,W 19-10,,0,,,,,0.0%,,,,,,,,,,,,,
25,2003,2003-11-30,12,26.298,CHI,,ARI,W 28-3,,0,,,,,0.0%,,,,,,,,,,,,,
26,2003,2003-12-07,13,26.305,CHI,@,GNB,L 21-34,,,,,,,0.0%,,,,,,,,,,,,,
27,2003,2003-12-14,14,26.312,CHI,,MIN,W 13-10,,,,,,,0.0%,,,,,,,,,,,,,
28,2003,2003-12-21,15,26.319,CHI,,WAS,W 27-24,,2,1,25,25.00,0,50.0%,12.50,0,0,,0,0,0,,0,0,0,,0
29,2003,2003-12-28,16,26.326,CHI,@,KAN,L 3-31,,1,,,,,0.0%,,,,,,,,,,,,,
