ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1976,1976-10-10,5,23.169,ATL,@,NOR,L 0-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1976,1976-10-17,6,23.176,ATL,,CLE,L 17-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1976,1976-10-23,7,23.182,ATL,@,SFO,L 0-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1976,1976-10-31,8,23.190,ATL,,NOR,W 23-20,1,9,9.00,0,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
5,1976,1976-11-07,9,23.197,ATL,@,SEA,L 13-30,1,5,5.00,0,2,7,3.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
6,1976,1976-11-14,10,23.204,ATL,,SFO,W 21-16,10,38,3.80,0,2,10,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,6.00,0,0,0,0,0,0
7,1976,1976-11-21,11,23.211,ATL,,DAL,W 17-10,13,82,6.31,1,3,19,6.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0
8,1976,1976-11-28,12,23.218,ATL,@,HOU,L 14-20,13,81,6.23,0,2,15,7.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
9,1976,1976-12-04,13,23.224,ATL,@,RAM,L 0-59,13,49,3.77,0,5,23,4.60,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
10,1976,1976-12-12,14,23.232,ATL,,GNB,L 20-24,9,53,5.89,1,2,8,4.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,12,12.00,0,0,0,,0,1,6,0,0,0
11,1977,1977-09-18,1,24.147,ATL,,RAM,W 17-6,9,16,1.78,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
12,1977,1977-09-25,2,24.154,ATL,@,WAS,L 6-10,1,0,0.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
13,1977,1977-10-02,3,24.161,ATL,,NYG,W 17-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1977,1977-10-09,4,24.168,ATL,@,SFO,W 7-0,8,16,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
15,1977,1977-10-16,5,24.175,ATL,@,BUF,L 0-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1977,1977-10-23,6,24.182,ATL,@,CHI,W 16-10,2,1,0.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
