ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1972,1972-09-17,1,23.108,CHI,,ATL,L 21-37,2,53,26.50,0,0,0,,0,0,0,0,0,0
2,1972,1972-09-24,2,23.115,CHI,,RAM,T 13-13,0,0,,0,1,5,5.00,0,0,0,0,0,0
3,1972,1972-10-01,3,23.122,CHI,,DET,L 24-38,,,,,,,,,,,,,
4,1972,1972-10-08,4,23.129,CHI,@,GNB,L 17-20,,,,,,,,,,,,,
5,1972,1972-10-15,5,23.136,CHI,@,CLE,W 17-0,,,,,,,,,,,,,
6,1972,1972-10-23,6,23.144,CHI,,MIN,W 13-10,,,,,,,,,,,,,
7,1972,1972-10-29,7,23.150,CHI,@,STL,W 27-10,,,,,,,,,,,,,
8,1972,1972-11-05,8,23.157,CHI,@,DET,L 0-14,0,0,,0,1,10,10.00,0,0,0,0,0,0
9,1972,1972-11-12,9,23.164,CHI,,GNB,L 17-23,,,,,,,,,,,,,
10,1972,1972-11-19,10,23.171,CHI,,SFO,L 21-34,,,,,,,,,,,,,
11,1972,1972-11-26,11,23.178,CHI,,CIN,L 3-13,,,,,,,,,,,,,
12,1972,1972-12-03,12,23.185,CHI,@,MIN,L 10-23,,,,,,,,,,,,,
13,1972,1972-12-10,13,23.192,CHI,@,PHI,W 21-12,,,,,,,,,,,,,
14,1972,1972-12-17,14,23.199,CHI,@,OAK,L 21-28,,,,,,,,,,,,,
15,1973,1973-09-16,1,24.107,CHI,,DAL,L 17-20,,,,,,,,,,,,,
16,1973,1973-09-23,2,24.114,CHI,,MIN,L 13-22,,,,,,,,,,,,,
17,1973,1973-09-30,3,24.121,CHI,@,DEN,W 33-14,,,,,,,,,,,,,
18,1973,1973-10-07,4,24.128,CHI,@,NOR,L 16-21,,,,,,,,,,,,,
19,1973,1973-10-14,5,24.135,CHI,@,ATL,L 6-46,,,,,,,,,,,,,
20,1973,1973-10-21,6,24.142,CHI,,NWE,L 10-13,,,,,,,,,,,,,
21,1973,1973-10-28,7,24.149,CHI,,HOU,W 35-14,,,,,,,,,,,,,
22,1973,1973-11-04,8,24.156,CHI,@,GNB,W 31-17,,,,,,,,,,,,,
23,1973,1973-11-12,9,24.164,CHI,@,KAN,L 7-19,,,,,,,,,,,,,
