ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2006,2006-09-11,1,24.123,OAK,,SDG,L 0-27,,2,5,40.00,28,0,0,58.7,2,11,5.60,5.60,2,5,2.50,0
2,2006,2006-09-17,2,24.129,OAK,@,BAL,L 6-28,,10,27,37.04,162,0,3,18.4,6,39,6.00,1.00,4,3,0.75,0
3,2006,2006-10-01,3,24.143,OAK,,CLE,L 21-24,*,9,23,39.13,68,1,1,43.6,4,22,2.96,1.87,1,12,12.00,0
4,2006,2006-10-08,4,24.150,OAK,@,SFO,L 20-34,*,14,23,60.87,164,1,2,60.8,1,0,7.13,4.09,2,11,5.50,0
5,2006,2006-10-15,5,24.157,OAK,@,DEN,L 3-13,*,13,26,50.00,189,0,1,58.0,4,30,7.27,5.54,1,0,0.00,0
6,2006,2006-10-22,6,24.164,OAK,,ARI,W 22-9,*,17,30,56.67,263,1,1,83.1,5,21,8.77,7.93,1,0,0.00,0
7,2006,2006-10-29,7,24.171,OAK,,PIT,W 20-13,*,5,14,35.71,51,0,1,17.3,6,34,3.64,0.43,0,0,,0
8,2006,2006-11-06,8,24.179,OAK,@,SEA,L 0-16,*,16,35,45.71,166,0,0,59.9,9,45,4.74,4.74,2,-1,-0.50,0
9,2006,2006-11-12,9,24.185,OAK,,DEN,L 13-17,*,18,33,54.55,214,0,0,74.6,3,16,6.48,6.48,1,0,0.00,0
10,2006,2006-11-19,10,24.192,OAK,@,KAN,L 13-17,,2,3,66.67,15,0,0,78.5,1,1,5.00,5.00,0,0,,0
11,2006,2006-12-17,14,24.220,OAK,,STL,L 0-20,,14,20,70.00,131,0,2,48.1,1,6,6.55,2.05,0,0,,0
12,2006,2006-12-23,15,24.226,OAK,,KAN,L 9-20,*,27,37,72.97,226,0,2,65.8,4,31,6.11,3.68,0,0,,0
13,2007,2007-12-09,13,25.212,OAK,@,GNB,L 7-38,,5,8,62.50,38,0,0,74.0,0,0,4.75,4.75,0,0,,0
14,2008,2008-11-09,9,26.182,OAK,,CAR,L 6-17,*,14,32,43.75,143,0,2,31.1,3,19,4.47,1.66,4,19,4.75,0
15,2008,2008-12-04,13,26.207,OAK,@,SDG,L 7-34,,8,17,47.06,61,0,1,31.7,2,20,3.59,0.94,1,0,0.00,0
