ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2009,2009-09-14,1,23.180,NWE,,BUF,W 25-24,,0,0,,0,0,0,,0,0,0,0.0,0,1,0,0,0
2,2009,2009-09-20,2,23.186,NWE,@,NYJ,L 9-16,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
3,2009,2009-10-04,4,23.200,NWE,,BAL,W 27-21,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
4,2009,2009-10-11,5,23.207,NWE,@,DEN,L 17-20,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
5,2009,2009-10-18,6,23.214,NWE,,TEN,W 59-0,*,0,0,,0,0,0,,0,0,0,0.0,0,0,1,0,0
6,2009,2009-10-25,7,23.221,NWE,@,TAM,W 35-7,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0
7,2009,2009-11-08,8,23.235,NWE,,MIA,W 27-17,*,0,0,,0,0,0,,0,0,0,0.0,6,1,0,0,0
8,2009,2009-11-15,9,23.242,NWE,@,IND,L 34-35,,0,0,,0,0,0,,0,0,0,0.0,7,0,0,0,0
9,2009,2009-11-22,10,23.249,NWE,,NYJ,W 31-14,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
10,2009,2009-11-30,11,23.257,NWE,@,NOR,L 17-38,*,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
11,2009,2009-12-06,12,23.263,NWE,@,MIA,L 21-22,*,2,34,17.00,0,0,0,,0,0,0,0.0,8,0,0,0,0
12,2009,2009-12-13,13,23.270,NWE,,CAR,W 20-10,,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
13,2009,2009-12-20,14,23.277,NWE,@,BUF,W 17-10,,,,,,,,,,,,,,,,,
14,2009,2010-01-03,16,23.291,NWE,@,HOU,L 27-34,*,3,70,23.33,0,0,0,,0,1,6,0.0,2,0,1,91,1
15,2010,2010-09-12,1,24.178,NWE,,CIN,W 38-24,*,0,0,,0,0,0,,0,0,0,0.0,8,0,0,0,0
16,2010,2010-09-19,2,24.185,NWE,@,NYJ,L 14-28,*,0,0,,0,0,0,,0,0,0,0.0,5,0,0,0,0
17,2010,2010-09-26,3,24.192,NWE,,BUF,W 38-30,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
18,2010,2010-10-04,4,24.200,NWE,@,MIA,W 41-14,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
19,2010,2010-10-17,5,24.213,NWE,,BAL,W 23-20,,,,,,,,,,,,,,,,,
20,2010,2010-10-24,6,24.220,NWE,@,SDG,W 23-20,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
21,2010,2010-10-31,7,24.227,NWE,,MIN,W 28-18,,,,,,,,,,,,,,,,,
22,2010,2010-11-07,8,24.234,NWE,@,CLE,L 14-34,,,,,,,,,,,,,,,,,
