ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-09-04,1,21.254,GNB,@,SEA,L 16-36,,,,,,,0.0%,,,,,,,
2,2014,2014-09-14,2,21.264,GNB,,NYJ,W 31-24,,7,5,50,10.00,0,71.4%,7.14,,0,0,0.0,0,0
3,2014,2014-09-21,3,21.271,GNB,@,DET,L 7-19,,3,2,11,5.50,0,66.7%,3.67,,0,0,0.0,0,0
4,2014,2014-09-28,4,21.278,GNB,@,CHI,W 38-17,,3,2,18,9.00,0,66.7%,6.00,,0,0,0.0,0,0
5,2014,2014-10-02,5,21.282,GNB,,MIN,W 42-10,*,4,1,11,11.00,1,25.0%,2.75,,1,6,0.0,0,0
6,2014,2014-10-12,6,21.292,GNB,@,MIA,W 27-24,*,8,6,77,12.83,0,75.0%,9.63,,0,0,0.0,0,0
7,2014,2014-10-19,7,21.299,GNB,,CAR,W 38-17,*,1,1,21,21.00,1,100.0%,21.00,,1,6,0.0,0,0
8,2014,2014-10-26,8,21.306,GNB,@,NOR,L 23-44,*,9,7,75,10.71,0,77.8%,8.33,,0,0,0.0,1,0
9,2014,2014-11-09,9,21.320,GNB,,CHI,W 55-14,,2,1,10,10.00,0,50.0%,5.00,,0,0,0.0,0,0
10,2014,2014-11-16,10,21.327,GNB,,PHI,W 53-20,*,2,2,13,6.50,1,100.0%,6.50,,1,6,0.0,0,0
11,2014,2014-11-23,11,21.334,GNB,@,MIN,W 24-21,*,4,1,10,10.00,0,25.0%,2.50,,0,0,0.0,0,0
12,2014,2014-11-30,12,21.341,GNB,,NWE,W 26-21,*,11,6,121,20.17,0,54.5%,11.00,,0,0,0.0,0,0
13,2014,2014-12-08,13,21.349,GNB,,ATL,W 43-37,*,4,1,6,6.00,0,25.0%,1.50,,0,0,0.0,0,0
14,2014,2014-12-14,14,21.355,GNB,@,BUF,L 13-21,*,4,1,6,6.00,0,25.0%,1.50,,0,0,0.0,0,0
15,2014,2014-12-21,15,21.362,GNB,@,TAM,W 20-3,*,4,2,17,8.50,0,50.0%,4.25,,0,0,0.0,0,0
16,2014,2014-12-28,16,22.004,GNB,,DET,W 30-20,*,,,,,,0.0%,,,,,,,
17,2015,2015-09-13,1,22.263,GNB,@,CHI,W 31-23,*,8,4,59,14.75,0,50.0%,7.38,,0,0,0.0,0,0
18,2015,2015-09-20,2,22.270,GNB,,SEA,W 27-17,*,5,5,33,6.60,0,100.0%,6.60,,0,0,0.0,0,0
19,2015,2015-09-28,3,22.278,GNB,,KAN,W 38-28,*,2,0,0,,0,0.0%,0.00,,0,0,0.0,0,0
20,2015,2015-11-01,7,22.312,GNB,@,DEN,L 10-29,*,2,1,8,8.00,0,50.0%,4.00,,0,0,0.0,0,0
21,2015,2015-11-08,8,22.319,GNB,@,CAR,L 29-37,*,11,7,93,13.29,0,63.6%,8.45,1,0,2,0.0,0,0
22,2015,2015-11-15,9,22.326,GNB,,DET,L 16-18,*,21,10,79,7.90,0,47.6%,3.76,,0,0,0.0,0,0
23,2015,2015-11-22,10,22.333,GNB,@,MIN,W 30-13,*,4,3,36,12.00,0,75.0%,9.00,,0,0,0.0,0,0
24,2015,2015-11-26,11,22.337,GNB,,CHI,L 13-17,*,11,2,14,7.00,0,18.2%,1.27,,0,0,0.0,0,0
25,2015,2015-12-03,12,22.344,GNB,@,DET,W 27-23,*,7,4,21,5.25,1,57.1%,3.00,,1,6,0.0,0,0
26,2015,2015-12-13,13,22.354,GNB,,DAL,W 28-7,*,3,2,12,6.00,0,66.7%,4.00,,0,0,0.0,0,0
27,2015,2015-12-20,14,22.361,GNB,@,OAK,W 30-20,*,8,5,32,6.40,0,62.5%,4.00,,0,0,0.0,0,0
28,2015,2015-12-27,15,23.003,GNB,@,ARI,L 8-38,*,6,3,42,14.00,0,50.0%,7.00,,0,0,0.0,0,0
29,2015,2016-01-03,16,23.010,GNB,,MIN,L 13-20,,6,4,54,13.50,0,66.7%,9.00,,0,0,0.0,0,0
30,2016,2016-09-11,1,23.262,GNB,@,JAX,W 27-23,*,7,3,50,16.67,1,42.9%,7.14,,1,6,0.0,0,0
31,2016,2016-09-18,2,23.269,GNB,@,MIN,L 14-17,*,7,3,26,8.67,0,42.9%,3.71,,0,0,0.0,0,0
32,2016,2016-09-25,3,23.276,GNB,,DET,W 34-27,,2,2,23,11.50,1,100.0%,11.50,,1,6,0.0,0,0
33,2016,2016-10-09,4,23.290,GNB,,NYG,W 23-16,*,8,5,85,17.00,1,62.5%,10.63,,1,6,0.0,0,0
34,2016,2016-10-16,5,23.297,GNB,,DAL,L 16-30,*,3,2,34,17.00,0,66.7%,11.33,,0,0,0.0,0,0
35,2016,2016-10-20,6,23.301,GNB,,CHI,W 26-10,*,16,13,132,10.15,2,81.3%,8.25,,2,12,0.0,0,0
36,2016,2016-10-30,7,23.311,GNB,@,ATL,L 32-33,*,14,12,74,6.17,0,85.7%,5.29,,0,0,0.0,0,0
37,2016,2016-11-06,8,23.318,GNB,,IND,L 26-31,*,8,4,41,10.25,1,50.0%,5.13,,1,6,0.0,0,0
38,2016,2016-11-13,9,23.325,GNB,@,TEN,L 25-47,*,9,6,156,26.00,0,66.7%,17.33,,0,0,0.0,0,0
39,2016,2016-11-20,10,23.332,GNB,@,WAS,L 24-42,*,6,3,42,14.00,0,50.0%,7.00,,0,0,0.0,0,0
40,2016,2016-11-28,11,23.340,GNB,@,PHI,W 27-13,*,6,5,113,22.60,2,83.3%,18.83,,2,12,0.0,0,0
41,2016,2016-12-04,12,23.346,GNB,,HOU,W 21-13,*,7,1,17,17.00,0,14.3%,2.43,,0,0,0.0,0,0
42,2016,2016-12-11,13,23.353,GNB,,SEA,W 38-10,*,6,4,104,26.00,1,66.7%,17.33,,1,6,0.0,0,0
43,2016,2016-12-18,14,23.360,GNB,@,CHI,W 30-27,*,6,2,25,12.50,0,33.3%,4.17,,0,0,0.0,0,0
44,2016,2016-12-24,15,24.000,GNB,,MIN,W 38-25,*,7,4,44,11.00,1,57.1%,6.29,,1,6,0.0,0,0
45,2016,2017-01-01,16,24.008,GNB,@,DET,W 31-24,*,9,6,31,5.17,2,66.7%,3.44,1,2,14,0.0,0,0
46,2017,2017-09-10,1,24.260,GNB,,SEA,W 17-9,*,7,3,47,15.67,0,42.9%,6.71,,0,0,0.0,0,0
47,2017,2017-09-17,2,24.267,GNB,@,ATL,L 23-34,*,10,8,99,12.38,1,80.0%,9.90,,1,6,0.0,0,0
48,2017,2017-09-24,3,24.274,GNB,,CIN,W 27-24,*,6,3,60,20.00,0,50.0%,10.00,,0,0,0.0,0,0
49,2017,2017-09-28,4,24.278,GNB,,CHI,W 35-14,*,5,2,13,6.50,1,40.0%,2.60,,1,6,0.0,0,0
50,2017,2017-10-08,5,24.288,GNB,@,DAL,W 35-31,*,11,7,66,9.43,2,63.6%,6.00,,2,12,0.0,0,0
51,2017,2017-10-15,6,24.295,GNB,@,MIN,L 10-23,*,10,5,54,10.80,1,50.0%,5.40,,1,6,0.0,0,0
52,2017,2017-10-22,7,24.302,GNB,,NOR,L 17-26,*,5,2,12,6.00,0,40.0%,2.40,,0,0,0.0,0,0
53,2017,2017-11-06,8,24.317,GNB,,DET,L 17-30,*,10,7,53,7.57,0,70.0%,5.30,,0,0,0.0,0,0
54,2017,2017-11-12,9,24.323,GNB,@,CHI,W 23-16,*,8,5,90,18.00,1,62.5%,11.25,,1,6,0.0,0,0
55,2017,2017-11-19,10,24.330,GNB,,BAL,L 0-23,*,10,8,126,15.75,0,80.0%,12.60,,0,0,0.0,0,0
56,2017,2017-11-26,11,24.337,GNB,@,PIT,L 28-31,*,8,5,82,16.40,1,62.5%,10.25,,1,6,0.0,0,0
57,2017,2017-12-03,12,24.344,GNB,,TAM,W 26-20,*,6,4,42,10.50,0,66.7%,7.00,,0,0,0.0,0,0
58,2017,2017-12-10,13,24.351,GNB,@,CLE,W 27-21,*,14,10,84,8.40,2,71.4%,6.00,,2,12,0.0,0,0
59,2017,2017-12-17,14,24.358,GNB,@,CAR,L 24-31,*,7,5,57,11.40,1,71.4%,8.14,,1,6,0.0,0,0
60,2018,2018-09-09,1,25.259,GNB,,CHI,W 24-23,*,8,5,88,17.60,1,62.5%,11.00,,1,6,0.0,0,0
61,2018,2018-09-16,2,25.266,GNB,,MIN,T 29-29,*,12,8,64,8.00,1,66.7%,5.33,,1,6,0.0,0,0
62,2018,2018-09-23,3,25.273,GNB,@,WAS,L 17-31,*,9,7,52,7.43,1,77.8%,5.78,,1,6,0.0,0,0
