ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2008,2008-09-28,4,23.152,JAX,,HOU,W 30-27,,,,,,0,,,,,0.0%,
2,2008,2008-12-01,12,23.216,JAX,@,HOU,L 17-30,,0,0,,0,1,1,9,9.00,0,100.0%,9.00
3,2008,2008-12-07,13,23.222,JAX,@,CHI,L 10-23,,,,,,,,,,,0.0%,
4,2008,2008-12-14,14,23.229,JAX,,GNB,W 20-16,,1,6,6.00,0,0,0,0,,0,0.0%,
5,2008,2008-12-18,15,23.233,JAX,,IND,L 24-31,,3,3,1.00,0,0,0,0,,0,0.0%,
6,2008,2008-12-28,16,23.243,JAX,@,BAL,L 7-27,,,,,,,,,,,0.0%,
7,2009,2009-10-04,4,24.158,DAL,@,DEN,L 10-17,,0,0,,0,0,0,0,,0,0.0%,
8,2009,2009-10-11,5,24.165,DAL,@,KAN,W 26-20,,,,,,,,,,,0.0%,
9,2010,2010-10-03,4,25.157,STL,,SEA,W 20-3,,,,,,,,,,,0.0%,
10,2011,2011-12-24,15,26.239,DAL,,PHI,L 7-20,,1,-1,-1.00,0,3,2,13,6.50,0,66.7%,4.33
11,2011,2012-01-01,16,26.247,DAL,@,NYG,L 14-31,,0,0,,0,0,0,0,,0,0.0%,
