ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-09-11,1,24.024,PHI,@,STL,W 31-13,,4,4,100.0,1,1,100.0,0,7,0.0,0,0
2,2011,2011-09-18,2,24.031,PHI,@,ATL,L 31-35,,4,4,100.0,1,2,50.0,0,7,0.0,0,0
3,2011,2011-09-25,3,24.038,PHI,,NYG,L 16-29,,1,1,100.0,3,3,100.0,0,10,0.0,0,0
4,2011,2011-10-02,4,24.045,PHI,,SFO,L 23-24,,2,2,100.0,3,5,60.0,0,11,0.0,0,0
5,2011,2011-10-09,5,24.052,PHI,@,BUF,L 24-31,,3,3,100.0,1,1,100.0,0,6,0.0,0,0
6,2011,2011-10-16,6,24.059,PHI,@,WAS,W 20-13,,2,2,100.0,2,2,100.0,0,8,0.0,0,0
7,2011,2011-10-30,7,24.073,PHI,,DAL,W 34-7,,4,4,100.0,2,2,100.0,0,10,0.0,0,0
8,2011,2011-11-07,8,24.081,PHI,,CHI,L 24-30,,3,3,100.0,1,1,100.0,0,6,0.0,0,0
9,2011,2011-11-13,9,24.087,PHI,,ARI,L 17-21,,2,2,100.0,1,1,100.0,0,5,0.0,0,0
10,2011,2011-11-20,10,24.094,PHI,@,NYG,W 17-10,,2,2,100.0,1,1,100.0,0,5,0.0,0,0
11,2011,2011-11-27,11,24.101,PHI,,NWE,L 20-38,,2,2,100.0,2,2,100.0,0,8,0.0,0,0
12,2011,2011-12-01,12,24.105,PHI,@,SEA,L 14-31,,2,2,100.0,,,,0,2,0.0,0,0
13,2011,2011-12-11,13,24.115,PHI,@,MIA,W 26-10,,3,3,100.0,1,1,100.0,0,6,0.0,0,0
14,2011,2011-12-18,14,24.122,PHI,,NYJ,W 45-19,,6,6,100.0,1,1,100.0,0,9,0.0,0,0
15,2011,2011-12-24,15,24.128,PHI,@,DAL,W 20-7,,2,2,100.0,2,2,100.0,0,8,0.0,0,0
16,2011,2012-01-01,16,24.136,PHI,,WAS,W 34-10,,4,4,100.0,2,2,100.0,0,10,0.0,0,0
17,2012,2012-09-09,1,25.022,PHI,@,CLE,W 17-16,,2,2,100.0,1,2,50.0,0,5,0.0,0,0
18,2012,2012-09-16,2,25.029,PHI,,BAL,W 24-23,,3,3,100.0,1,1,100.0,0,6,0.0,0,0
19,2012,2012-09-23,3,25.036,PHI,@,ARI,L 6-27,,,,,2,2,100.0,0,6,0.0,0,0
20,2012,2012-09-30,4,25.043,PHI,,NYG,W 19-17,,1,1,100.0,4,4,100.0,0,13,0.0,0,0
21,2012,2012-10-07,5,25.050,PHI,@,PIT,L 14-16,,2,2,100.0,,,,0,2,0.0,0,0
22,2012,2012-10-14,6,25.057,PHI,,DET,L 23-26,,2,2,100.0,3,3,100.0,0,11,0.0,0,0
23,2012,2012-10-28,7,25.071,PHI,,ATL,L 17-30,,2,2,100.0,1,1,100.0,0,5,0.0,0,0
24,2012,2012-11-05,8,25.079,PHI,@,NOR,L 13-28,,1,1,100.0,2,2,100.0,0,7,0.0,0,0
25,2012,2012-11-11,9,25.085,PHI,,DAL,L 23-38,,2,3,66.7,1,1,100.0,0,5,0.0,0,0
26,2012,2012-11-18,10,25.092,PHI,@,WAS,L 6-31,,,,,2,2,100.0,0,6,0.0,0,0
27,2012,2012-11-26,11,25.100,PHI,,CAR,L 22-30,,1,1,100.0,3,3,100.0,0,10,0.0,0,0
28,2012,2012-12-02,12,25.106,PHI,@,DAL,L 33-38,,3,3,100.0,2,2,100.0,0,9,0.0,0,0
29,2012,2012-12-09,13,25.113,PHI,@,TAM,W 23-21,,2,2,100.0,1,3,33.3,0,5,0.0,0,0
30,2012,2012-12-13,14,25.117,PHI,,CIN,L 13-34,,1,1,100.0,2,2,100.0,0,7,0.0,0,0
31,2012,2012-12-23,15,25.127,PHI,,WAS,L 20-27,,2,2,100.0,2,2,100.0,0,8,0.0,0,0
32,2012,2012-12-30,16,25.134,PHI,@,NYG,L 7-42,,1,1,100.0,,1,0.0,0,1,0.0,0,0
33,2013,2013-09-09,1,26.022,PHI,@,WAS,W 33-27,,4,4,100.0,1,1,100.0,0,7,0.0,0,0
34,2013,2013-09-15,2,26.028,PHI,,SDG,L 30-33,,3,3,100.0,3,4,75.0,0,12,0.0,0,0
35,2013,2013-09-19,3,26.032,PHI,,KAN,L 16-26,,1,1,100.0,1,2,50.0,0,4,0.0,1,0
36,2013,2013-09-29,4,26.042,PHI,@,DEN,L 20-52,,2,2,100.0,2,3,66.7,0,8,0.0,0,0
37,2013,2013-10-06,5,26.049,PHI,@,NYG,W 36-21,,3,3,100.0,5,5,100.0,0,18,0.0,0,0
38,2013,2013-10-13,6,26.056,PHI,@,TAM,W 31-20,,4,4,100.0,1,1,100.0,0,7,0.0,0,0
39,2013,2013-10-20,7,26.063,PHI,,DAL,L 3-17,,,,,1,2,50.0,0,3,0.0,0,0
40,2013,2013-10-27,8,26.070,PHI,,NYG,L 7-15,,1,1,100.0,,,,0,1,0.0,0,0
41,2013,2013-11-03,9,26.077,PHI,@,OAK,W 49-20,,7,7,100.0,,,,0,7,0.0,0,0
42,2013,2013-11-10,10,26.084,PHI,@,GNB,W 27-13,,3,3,100.0,2,3,66.7,0,9,0.0,0,0
43,2013,2013-11-17,11,26.091,PHI,,WAS,W 24-16,,3,3,100.0,1,1,100.0,0,6,0.0,0,0
44,2013,2013-12-01,12,26.105,PHI,,ARI,W 24-21,,3,3,100.0,1,1,100.0,0,6,0.0,0,0
45,2013,2013-12-08,13,26.112,PHI,,DET,W 34-20,,,,,,,,,,,,
46,2013,2013-12-15,14,26.119,PHI,@,MIN,L 30-48,,1,1,100.0,3,3,100.0,0,10,0.0,0,0
47,2013,2013-12-22,15,26.126,PHI,,CHI,W 54-11,,7,7,100.0,1,1,100.0,0,10,0.0,0,0
48,2013,2013-12-29,16,26.133,PHI,@,DAL,W 24-22,,3,3,100.0,1,1,100.0,0,6,0.0,0,0
49,2014,2014-09-28,4,27.041,DET,@,NYJ,W 24-17,,3,3,100.0,1,2,50.0,0,6,0.0,0,0
50,2014,2014-10-05,5,27.048,DET,,BUF,L 14-17,,2,2,100.0,,3,0.0,0,2,0.0,0,0
