ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,23.094,JAX,@,TEN,L 10-17,,3,124,41.33,0,2,45,22.50,0,0.0,0,0
2,2008,2008-09-14,2,23.101,JAX,,BUF,L 16-20,,3,85,28.33,0,1,8,8.00,0,0.0,0,0
3,2008,2008-09-21,3,23.108,JAX,@,IND,W 23-21,,2,47,23.50,0,1,-1,-1.00,0,0.0,0,0
4,2008,2008-09-28,4,23.115,JAX,,HOU,W 30-27,,5,130,26.00,0,2,43,21.50,0,0.0,0,0
5,2008,2008-10-05,5,23.122,JAX,,PIT,L 21-26,,4,101,25.25,0,2,1,0.50,0,0.0,0,0
6,2008,2008-10-26,7,23.143,JAX,,CLE,L 17-23,,6,134,22.33,0,1,14,14.00,0,0.0,0,0
7,2008,2008-11-02,8,23.150,JAX,@,CIN,L 19-21,,2,45,22.50,0,0,0,,0,0.0,0,0
8,2008,2008-11-16,10,23.164,JAX,,TEN,L 14-24,,4,75,18.75,0,2,31,15.50,0,0.0,0,0
9,2008,2008-11-23,11,23.171,JAX,,MIN,L 12-30,,3,57,19.00,0,2,38,19.00,0,0.0,0,0
10,2008,2008-12-01,12,23.179,JAX,@,HOU,L 17-30,,2,52,26.00,0,0,0,,0,0.0,0,0
11,2008,2008-12-07,13,23.185,JAX,@,CHI,L 10-23,,4,99,24.75,0,2,2,1.00,0,0.0,2,0
12,2008,2008-12-14,14,23.192,JAX,,GNB,W 20-16,,4,84,21.00,0,1,0,0.00,0,0.0,3,0
13,2008,2008-12-18,15,23.196,JAX,,IND,L 24-31,,5,120,24.00,0,0,0,,0,0.0,1,0
14,2008,2008-12-28,16,23.206,JAX,@,BAL,L 7-27,,5,97,19.40,0,1,11,11.00,0,0.0,4,0
15,2009,2009-09-13,1,24.100,JAX,@,IND,L 12-14,,2,54,27.00,0,0,0,,0,0.0,0,1
16,2009,2009-10-11,5,24.128,JAX,@,SEA,L 0-41,,4,113,28.25,0,0,0,,0,0.0,0,0
17,2009,2009-10-18,6,24.135,JAX,,STL,W 23-20,,3,92,30.67,0,0,0,,0,0.0,0,0
18,2009,2009-11-15,9,24.163,JAX,@,NYJ,W 24-22,,5,123,24.60,0,1,0,0.00,0,0.0,0,0
19,2009,2009-11-22,10,24.170,JAX,,BUF,W 18-15,,4,87,21.75,0,3,15,5.00,0,0.0,0,0
20,2009,2009-11-29,11,24.177,JAX,@,SFO,L 3-20,,4,61,15.25,0,3,63,21.00,0,0.0,0,0
21,2009,2009-12-13,13,24.191,JAX,,MIA,L 10-14,,2,38,19.00,0,0,0,,0,0.0,0,0
22,2009,2009-12-27,15,24.205,DET,@,SFO,L 6-20,,4,72,18.00,0,2,10,5.00,0,0.0,0,0
23,2010,2011-01-02,16,25.211,NYG,@,WAS,W 17-14,,,,,,,,,,,,
