ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1964,1964-09-12,1,22.257,DAL,,STL,L 6-16,0,0,,0,0,0,,0,2,48,24.00,0,1,4,4.00,0,0,0,0,0,0
2,1964,1964-09-20,2,22.265,DAL,,WAS,W 24-18,0,0,,0,0,0,,0,5,155,31.00,0,4,37,9.25,0,1,6,1,39,1
3,1964,1964-09-27,3,22.272,DAL,@,PIT,L 17-23,0,0,,0,0,0,,0,1,45,45.00,0,2,29,14.50,0,0,0,0,0,0
4,1964,1964-10-04,4,22.279,DAL,@,CLE,L 6-27,0,0,,0,0,0,,0,5,95,19.00,0,1,8,8.00,0,0,0,0,0,0
5,1964,1964-10-11,5,22.286,DAL,,NYG,T 13-13,0,0,,0,0,0,,0,1,0,0.00,0,3,19,6.33,0,0,0,1,0,0
6,1964,1964-10-18,6,22.293,DAL,,CLE,L 16-20,0,0,,0,0,0,,0,2,54,27.00,0,1,51,51.00,0,0,0,0,0,0
7,1964,1964-10-25,7,22.300,DAL,@,STL,W 31-13,0,0,,0,0,0,,0,2,34,17.00,0,0,0,,0,0,0,0,0,0
8,1964,1964-11-01,8,22.307,DAL,@,CHI,W 24-10,0,0,,0,0,0,,0,0,0,,0,1,27,27.00,0,0,0,2,56,0
9,1964,1964-11-08,9,22.314,DAL,@,NYG,W 31-21,0,0,,0,0,0,,0,3,73,24.33,0,3,40,13.33,0,0,0,0,0,0
10,1964,1964-11-15,10,22.321,DAL,,PHI,L 14-17,0,0,,0,0,0,,0,2,63,31.50,0,2,7,3.50,0,0,0,0,0,0
11,1964,1964-11-22,11,22.328,DAL,@,WAS,L 16-28,0,0,,0,0,0,,0,4,168,42.00,0,3,42,14.00,0,0,0,1,9,0
12,1964,1964-11-29,12,22.335,DAL,,GNB,L 21-45,0,0,,0,0,0,,0,8,156,19.50,0,4,117,29.25,1,1,6,0,0,0
13,1964,1964-12-06,13,22.342,DAL,@,PHI,L 14-24,0,0,,0,0,0,,0,4,100,25.00,0,4,21,5.25,0,0,0,1,0,0
14,1964,1964-12-13,14,22.349,DAL,,PIT,W 17-14,0,0,,0,0,0,,0,1,26,26.00,0,3,16,5.33,0,0,0,1,6,0
15,1965,1965-09-19,1,23.263,DAL,,NYG,W 31-2,0,0,,0,0,0,,0,1,22,22.00,0,3,17,5.67,0,0,0,0,0,0
16,1965,1965-09-26,2,23.270,DAL,,WAS,W 27-7,0,0,,0,0,0,,0,0,0,,0,2,-1,-0.50,0,0,0,0,0,0
17,1965,1965-10-04,3,23.278,DAL,@,STL,L 13-20,0,0,,0,0,0,,0,4,80,20.00,0,1,0,0.00,0,1,6,1,90,1
18,1965,1965-10-10,4,23.284,DAL,,PHI,L 24-35,0,0,,0,0,0,,0,2,67,33.50,0,2,20,10.00,0,0,0,0,0,0
19,1965,1965-10-17,5,23.291,DAL,@,CLE,L 17-23,0,0,,0,0,0,,0,2,49,24.50,0,2,12,6.00,0,0,0,0,0,0
20,1965,1965-10-24,6,23.298,DAL,@,GNB,L 3-13,0,0,,0,0,0,,0,1,0,0.00,0,3,-5,-1.67,0,0,0,0,0,0
21,1965,1965-10-31,7,23.305,DAL,@,PIT,L 13-22,0,0,,0,0,0,,0,1,38,38.00,0,2,5,2.50,0,0,0,0,0,0
22,1965,1965-11-07,8,23.312,DAL,,SFO,W 39-31,0,0,,0,0,0,,0,2,132,66.00,1,0,0,,0,1,6,0,0,0
23,1965,1965-11-14,9,23.319,DAL,,PIT,W 24-17,0,0,,0,0,0,,0,1,27,27.00,0,0,0,,0,0,0,1,2,0
24,1965,1965-11-21,10,23.326,DAL,,CLE,L 17-24,0,0,,0,0,0,,0,0,0,,0,4,64,16.00,0,0,0,0,0,0
25,1965,1965-11-28,11,23.333,DAL,@,WAS,L 31-34,0,0,,0,0,0,,0,2,79,39.50,0,1,11,11.00,0,0,0,0,0,0
26,1965,1965-12-05,12,23.340,DAL,@,PHI,W 21-19,0,0,,0,0,0,,0,4,109,27.25,0,2,6,3.00,0,0,0,0,0,0
27,1965,1965-12-11,13,23.346,DAL,,STL,W 27-13,0,0,,0,0,0,,0,0,0,,0,1,14,14.00,0,0,0,0,0,0
28,1965,1965-12-19,14,23.354,DAL,@,NYG,W 38-20,0,0,,0,0,0,,0,1,27,27.00,0,1,2,2.00,0,0,0,0,0,0
29,1966,1966-09-18,1,24.262,DAL,,NYG,W 52-7,5,21,4.20,0,1,42,42.00,0,0,0,,0,1,-3,-3.00,0,0,0,0,0,0
30,1966,1966-10-16,5,24.290,DAL,@,STL,T 10-10,0,0,,0,0,0,,0,1,18,18.00,0,0,0,,0,0,0,0,0,0
31,1966,1966-10-23,6,24.297,DAL,@,CLE,L 21-30,3,31,10.33,0,3,23,7.67,0,2,23,11.50,0,1,0,0.00,0,0,0,0,0,0
32,1966,1966-10-30,7,24.304,DAL,,PIT,W 52-21,0,0,,0,0,0,,0,2,110,55.00,1,2,-5,-2.50,0,1,6,0,0,0
33,1966,1966-11-06,8,24.311,DAL,@,PHI,L 23-24,0,0,,0,0,0,,0,1,25,25.00,0,2,22,11.00,0,0,0,0,0,0
34,1966,1966-11-13,9,24.318,DAL,@,WAS,W 31-30,0,0,,0,0,0,,0,5,91,18.20,0,5,25,5.00,0,0,0,0,0,0
35,1966,1966-11-20,10,24.325,DAL,@,PIT,W 20-7,0,0,,0,0,0,,0,2,82,41.00,0,3,7,2.33,0,0,0,1,24,0
36,1966,1966-11-24,11,24.329,DAL,,CLE,W 26-14,0,0,,0,0,0,,0,1,17,17.00,0,3,40,13.33,0,0,0,0,0,0
37,1966,1966-12-04,12,24.339,DAL,,STL,W 31-17,0,0,,0,0,0,,0,2,39,19.50,0,0,0,,0,0,0,1,33,0
38,1966,1966-12-11,13,24.346,DAL,,WAS,L 31-34,0,0,,0,0,0,,0,2,48,24.00,0,2,9,4.50,0,0,0,0,0,0
39,1966,1966-12-18,14,24.353,DAL,@,NYG,W 17-7,0,0,,0,0,0,,0,1,34,34.00,0,2,28,14.00,0,0,0,0,0,0
40,1967,1967-09-17,1,25.261,DAL,@,CLE,W 21-14,0,0,,0,0,0,,0,0,0,,0,2,-8,-4.00,0,0,0,1,0,0
41,1967,1967-09-24,2,25.268,DAL,,NYG,W 38-24,0,0,,0,0,0,,0,2,39,19.50,0,0,0,,0,0,0,2,0,0
42,1967,1967-10-01,3,25.275,DAL,,RAM,L 13-35,0,0,,0,0,0,,0,3,73,24.33,0,1,7,7.00,0,0,0,0,0,0
43,1967,1967-12-03,12,25.338,DAL,@,BAL,L 17-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,2,8,0
44,1967,1967-12-10,13,25.345,DAL,,PHI,W 38-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
45,1967,1967-12-16,14,25.351,DAL,@,SFO,L 16-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,30,0
46,1968,1968-09-29,3,26.274,DAL,@,PHI,W 45-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
47,1968,1968-11-03,8,26.309,DAL,@,NOR,W 17-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,5,0
48,1968,1968-11-28,12,26.334,DAL,,WAS,W 29-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
49,1969,1969-09-21,1,27.265,DAL,,STL,W 24-3,0,0,,0,0,0,,0,0,0,,0,1,7,7.00,0,0,0,0,0,0
50,1969,1969-09-28,2,27.272,DAL,@,NOR,W 21-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
51,1969,1969-10-05,3,27.279,DAL,@,PHI,W 38-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,31,0
52,1969,1969-10-12,4,27.286,DAL,@,ATL,W 24-17,0,0,,0,0,0,,0,0,0,,0,3,-5,-1.67,0,0,0,1,18,0
53,1969,1969-10-27,6,27.301,DAL,,NYG,W 25-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
54,1969,1969-11-02,7,27.307,DAL,@,CLE,L 10-42,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,41,0
55,1969,1969-11-16,9,27.321,DAL,@,WAS,W 41-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,2,3,0
56,1969,1969-11-23,10,27.328,DAL,@,RAM,L 23-24,0,0,,0,0,0,,0,0,0,,0,2,-12,-6.00,0,0,0,0,0,0
57,1969,1969-11-27,11,27.332,DAL,,SFO,T 24-24,0,0,,0,0,0,,0,0,0,,0,3,23,7.67,0,0,0,0,0,0
58,1969,1969-12-07,12,27.342,DAL,@,PIT,W 10-7,0,0,,0,0,0,,0,0,0,,0,2,51,25.50,0,0,0,0,0,0
59,1969,1969-12-13,13,27.348,DAL,,BAL,W 27-10,0,0,,0,0,0,,0,0,0,,0,4,16,4.00,0,0,0,2,4,0
60,1969,1969-12-21,14,27.356,DAL,,WAS,W 20-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,21,0
61,1970,1970-09-20,1,28.264,DAL,@,PHI,W 17-7,0,0,,0,0,0,,0,0,0,,0,2,28,14.00,0,0,0,0,0,0
62,1970,1970-09-27,2,28.271,DAL,,NYG,W 28-10,0,0,,0,0,0,,0,0,0,,0,1,-2,-2.00,0,0,0,0,0,0
63,1970,1970-10-04,3,28.278,DAL,@,STL,L 7-20,0,0,,0,0,0,,0,0,0,,0,1,-5,-5.00,0,0,0,0,0,0
64,1970,1970-10-11,4,28.285,DAL,,ATL,W 13-0,0,0,,0,0,0,,0,0,0,,0,2,22,11.00,0,0,0,0,0,0
65,1970,1970-10-18,5,28.292,DAL,@,MIN,L 13-54,,,,,,,,,,,,,,,,,,,,,
66,1970,1970-10-25,6,28.299,DAL,@,KAN,W 27-16,0,0,,0,0,0,,0,0,0,,0,1,7,7.00,0,0,0,2,0,0
67,1970,1970-11-01,7,28.306,DAL,,PHI,W 21-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
68,1970,1970-11-08,8,28.313,DAL,@,NYG,L 20-23,,,,,,,,,,,,,,,,,,,,,
69,1970,1970-11-16,9,28.321,DAL,,STL,L 0-38,0,0,,0,0,0,,0,0,0,,0,2,10,5.00,0,0,0,0,0,0
70,1970,1970-11-22,10,28.327,DAL,@,WAS,W 45-21,0,0,,0,0,0,,0,0,0,,0,1,12,12.00,0,0,0,0,0,0
71,1970,1970-11-26,11,28.331,DAL,,GNB,W 16-3,,,,,,,,,,,,,,,,,,,,,
72,1970,1970-12-06,12,28.341,DAL,,WAS,W 34-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,3,0
73,1970,1970-12-12,13,28.347,DAL,@,CLE,W 6-2,0,0,,0,0,0,,0,0,0,,0,1,4,4.00,0,0,0,0,0,0
