ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1993,1993-09-05,1,24.120,RAM,@,GNB,L 6-36,,0,0,,0,0.0%,,1,1,1.00,0
2,1993,1993-09-12,2,24.127,RAM,,PIT,W 27-0,,0,0,,0,0.0%,,3,32,10.67,0
3,1993,1993-09-19,3,24.134,RAM,@,NYG,L 10-20,,0,0,,0,0.0%,,4,8,2.00,0
4,1993,1993-12-26,15,24.232,RAM,,CLE,L 14-42,,,,,,0.0%,,0,0,,0
5,1993,1994-01-02,16,24.239,RAM,,CHI,W 20-6,,,,,,0.0%,,0,0,,0
6,1994,1994-09-04,1,25.119,RAM,,ARI,W 14-12,2,1,18,18.00,0,50.0%,9.00,0,0,,0
7,1994,1994-09-11,2,25.126,RAM,@,ATL,L 13-31,6,4,42,10.50,0,66.7%,7.00,0,0,,0
8,1994,1994-09-18,3,25.133,RAM,,SFO,L 19-34,,0,0,,0,0.0%,,,,,
