ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1986,1986-09-07,1,22.336,RAI,@,DEN,L 36-38,0,0,,0,,0,0,,0,,,4,83,20.75,0,4,25,6.25,0,0,0
2,1986,1986-09-14,2,22.343,RAI,@,WAS,L 6-10,1,2,2.00,0,,0,0,,0,,,1,59,59.00,0,3,19,6.33,0,0,0
3,1986,1986-09-28,4,22.357,RAI,,SDG,W 17-13,14,57,4.07,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
4,1986,1986-10-05,5,22.364,RAI,@,KAN,W 24-17,19,69,3.63,1,,3,19,6.33,0,,,0,0,,0,0,0,,0,1,6
5,1986,1986-10-12,6,23.006,RAI,,SEA,W 14-10,20,75,3.75,0,,1,6,6.00,0,,,0,0,,0,0,0,,0,0,0
6,1986,1986-10-19,7,23.013,RAI,@,MIA,W 30-28,12,67,5.58,0,,1,7,7.00,0,,,0,0,,0,0,0,,0,0,0
7,1986,1986-10-26,8,23.020,RAI,@,HOU,W 28-17,23,84,3.65,0,,1,22,22.00,0,,,0,0,,0,0,0,,0,0,0
8,1986,1986-11-02,9,23.027,RAI,,DEN,L 10-21,2,5,2.50,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
9,1986,1986-11-09,10,23.034,RAI,@,DAL,W 17-13,12,35,2.92,0,,1,3,3.00,0,,,0,0,,0,0,0,,0,0,0
10,1986,1986-11-16,11,23.041,RAI,,CLE,W 27-14,16,47,2.94,0,,1,5,5.00,0,,,0,0,,0,0,0,,0,0,0
11,1986,1986-11-20,12,23.045,RAI,@,SDG,W 37-31,3,20,6.67,0,,1,7,7.00,0,,,3,41,13.67,0,0,0,,0,0,0
12,1986,1986-11-30,13,23.055,RAI,,PHI,L 27-33,1,-1,-1.00,0,,1,13,13.00,0,,,0,0,,0,0,0,,0,0,0
13,1986,1986-12-08,14,23.063,RAI,@,SEA,L 0-37,2,8,4.00,0,,2,14,7.00,0,,,0,0,,0,0,0,,0,0,0
14,1986,1986-12-14,15,23.069,RAI,,KAN,L 17-20,13,55,4.23,0,,1,7,7.00,0,,,0,0,,0,0,0,,0,0,0
15,1986,1986-12-21,16,23.076,RAI,,IND,L 24-30,4,13,3.25,0,,0,0,,0,,,0,0,,0,0,0,,0,0,0
