ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2007,2007-09-09,1,22.182,SEA,,TAM,W 20-6,,1,3,3.00,0,0,0,,0,0,0,0.0,,,0,0,0
2,2007,2007-09-16,2,22.189,SEA,@,ARI,L 20-23,,0,3,,0,,,,,,,,,,,,
3,2007,2007-09-23,3,22.196,SEA,,CIN,W 24-21,,2,93,46.50,0,0,0,,0,0,0,0.0,,,0,0,0
4,2007,2007-09-30,4,22.203,SEA,@,SFO,W 23-3,,,,,,,,,,,,,,,,,
5,2007,2007-10-14,6,22.217,SEA,,NOR,L 17-28,,4,92,23.00,0,0,0,,0,0,0,0.0,,,0,0,0
6,2007,2007-10-21,7,22.224,SEA,,STL,W 33-6,,,,,,,,,,,,,,,,,
7,2007,2007-11-04,8,22.238,SEA,@,CLE,L 30-33,,2,24,12.00,0,0,0,,0,0,0,0.0,,,0,0,0
8,2007,2007-11-12,9,22.246,SEA,,SFO,W 24-0,,,,,,,,,,,,,,,,,
9,2007,2007-11-18,10,22.252,SEA,,CHI,W 30-23,,,,,,,,,,,,,,,,,
10,2007,2007-11-25,11,22.259,SEA,@,STL,W 24-19,,2,115,57.50,1,0,0,,0,1,6,0.0,,,0,0,0
11,2007,2007-12-02,12,22.266,SEA,@,PHI,W 28-24,,1,17,17.00,0,0,0,,0,0,0,0.0,,,0,0,0
12,2007,2007-12-30,16,22.294,SEA,@,ATL,L 41-44,,2,38,19.00,0,0,0,,0,0,0,0.0,,,0,0,0
13,2008,2008-09-07,1,23.180,SEA,@,BUF,L 10-34,,4,106,26.50,0,0,0,,0,0,0,0.0,3,0,0,0,0
14,2008,2008-09-14,2,23.187,SEA,,SFO,L 30-33,,5,120,24.00,0,0,0,,0,0,0,0.0,3,0,0,0,0
15,2008,2008-09-21,3,23.194,SEA,,STL,W 37-13,*,4,93,23.25,0,0,0,,0,0,0,0.0,7,0,0,0,0
16,2008,2008-10-05,4,23.208,SEA,@,NYG,L 6-44,,8,163,20.38,0,0,0,,0,0,0,0.0,8,3,0,0,0
17,2008,2008-10-12,5,23.215,SEA,,GNB,L 17-27,*,4,85,21.25,0,0,0,,0,0,0,0.0,2,0,0,0,0
