ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2005,2005-09-11,1,22.094,CLE,,CIN,L 13-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,14,14.00,0,0,0,,0,0,0,0.0,,
2,2005,2005-10-09,4,22.122,CLE,,CHI,W 20-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,3,61,20.33,0,0,0,,0,0,0,0.0,,
3,2005,2005-10-16,5,22.129,CLE,@,BAL,L 3-16,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,3,61,20.33,0,0,0,,0,0,0,0.0,,
4,2005,2005-10-23,6,22.136,CLE,,DET,L 10-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,4,152,38.00,1,0,0,,0,1,6,0.0,,
5,2005,2005-10-30,7,22.143,CLE,@,HOU,L 16-19,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,4,102,25.50,0,0,0,,0,0,0,0.0,,
6,2005,2005-11-06,8,22.150,CLE,,TEN,W 20-14,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,4,4.00,0,1,5,5.00,0,0,0,0.0,,
7,2005,2005-11-13,9,22.157,CLE,@,PIT,L 21-34,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,3,65,21.67,0,0,0,,0,0,0,0.0,,
8,2005,2005-11-20,10,22.164,CLE,,MIA,W 22-0,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,16,16.00,0,0,0,,0,0,0,0.0,,
9,2005,2005-11-27,11,22.171,CLE,@,MIN,L 12-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,5,155,31.00,0,0,0,,0,0,0,0.0,,
10,2005,2005-12-04,12,22.178,CLE,,JAX,L 14-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,4,75,18.75,0,0,0,,0,0,0,0.0,,
11,2005,2005-12-11,13,22.185,CLE,@,CIN,L 20-23,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,4,87,21.75,0,0,0,,0,0,0,0.0,,
12,2005,2005-12-18,14,22.192,CLE,@,OAK,W 9-7,,0,0,,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,1,48,48.00,0,0,0,,0,0,0,0.0,,
13,2005,2005-12-24,15,22.198,CLE,,PIT,L 0-41,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,6,126,21.00,0,0,0,,0,0,0,0.0,,
14,2005,2006-01-01,16,22.206,CLE,,BAL,W 20-16,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,5,128,25.60,0,0,0,,0,0,0,0.0,,
15,2006,2006-09-10,1,23.093,CLE,,NOR,L 14-19,,0,0,,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,5,114,22.80,0,0,0,,0,0,0,0.0,,
16,2006,2006-09-17,2,23.100,CLE,@,CIN,L 17-34,,0,0,,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,,,,5,109,21.80,0,0,0,,0,0,0,0.0,,
17,2006,2006-09-24,3,23.107,CLE,,BAL,L 14-15,*,0,0,,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,,,,2,48,24.00,0,0,0,,0,0,0,0.0,,
18,2006,2006-10-01,4,23.114,CLE,@,OAK,W 24-21,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,2,118,59.00,0,0,0,,0,0,0,0.0,,
19,2006,2006-10-08,5,23.121,CLE,@,CAR,L 12-20,,0,0,,0,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,,,,4,119,29.75,0,2,43,21.50,0,0,0,0.0,,
20,2006,2006-10-22,6,23.135,CLE,,DEN,L 7-17,,0,0,,0,5,4,32,8.00,0,80.0%,6.40,0,0,,0,0,0,,0,,,,3,94,31.33,0,2,2,1.00,0,0,0,0.0,,
21,2006,2006-10-29,7,23.142,CLE,,NYJ,W 20-13,,0,0,,0,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,,,,3,62,20.67,0,1,1,1.00,0,0,0,0.0,,
22,2006,2006-11-05,8,23.149,CLE,@,SDG,L 25-32,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,4,111,27.75,0,0,0,,0,0,0,0.0,,
23,2006,2006-11-12,9,23.156,CLE,@,ATL,W 17-13,,0,0,,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,,,,3,56,18.67,0,0,0,,0,0,0,0.0,,
24,2006,2006-11-19,10,23.163,CLE,,PIT,L 20-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,4,150,37.50,1,0,0,,0,1,6,0.0,,
25,2006,2006-11-26,11,23.170,CLE,,CIN,L 0-30,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,5,108,21.60,0,0,0,,0,0,0,0.0,,
26,2006,2006-12-03,12,23.177,CLE,,KAN,W 31-28,,1,9,9.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,4,87,21.75,0,0,0,,0,0,0,0.0,,
27,2006,2006-12-07,13,23.181,CLE,@,PIT,L 7-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,5,76,15.20,0,0,0,,0,0,0,0.0,,
28,2006,2006-12-17,14,23.191,CLE,@,BAL,L 17-27,,0,0,,0,0,0,0,,0,0.0%,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,5,94,18.80,0,0,0,,0,0,0,0.0,,
29,2006,2006-12-24,15,23.198,CLE,,TAM,L 7-22,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,4,79,19.75,0,0,0,,0,0,0,0.0,,
30,2006,2006-12-31,16,23.205,CLE,@,HOU,L 6-14,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,3,69,23.00,0,1,5,5.00,0,0,0,0.0,,
31,2007,2007-09-09,1,24.092,CLE,,PIT,L 7-34,,0,0,,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,,,,4,98,24.50,0,0,0,,0,0,0,0.0,,
32,2007,2007-09-16,2,24.099,CLE,,CIN,W 51-45,*,1,11,11.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,5,183,36.60,0,2,11,5.50,0,0,0,0.0,,
33,2007,2007-09-23,3,24.106,CLE,@,OAK,L 24-26,,1,7,7.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,4,174,43.50,1,1,22,22.00,0,1,6,0.0,,
34,2007,2007-09-30,4,24.113,CLE,,BAL,W 27-13,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,3,94,31.33,0,0,0,,0,0,0,0.0,,
35,2007,2007-10-07,5,24.120,CLE,@,NWE,L 17-34,,1,11,11.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,5,118,23.60,0,1,11,11.00,0,0,0,0.0,,
36,2007,2007-10-14,6,24.127,CLE,,MIA,W 41-31,,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,5,141,28.20,0,2,19,9.50,0,0,0,0.0,,
