ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1991,1991-09-01,1,22.207,CLE,,DAL,L 14-26,,,,,,,,,,,,,,,,,,
2,1991,1991-09-08,2,22.214,CLE,@,NWE,W 20-0,,,,,,,,,,,,,,,,,,
3,1991,1991-09-15,3,22.221,CLE,,CIN,W 14-13,,,,,,,,,,,,,,,,,,
4,1991,1991-09-22,4,22.228,CLE,@,NYG,L 10-13,,,,,,,,,,,,,,,,,,
5,1991,1991-10-06,5,22.242,CLE,,NYJ,L 14-17,,,,,,,,,,,,,,,,,,
6,1991,1991-10-13,6,22.249,CLE,@,WAS,L 17-42,,,,,,,,,,,,,,,,,,
7,1991,1991-10-20,7,22.256,CLE,@,SDG,W 30-24,,,,,,,,,,,,,,,,,,
8,1991,1991-10-27,8,22.263,CLE,,PIT,W 17-14,,,,,,,,,,,,,,,,,,
9,1991,1991-11-03,9,22.270,CLE,@,CIN,L 21-23,,,,,,,,,,,,,,,,,,
10,1991,1991-11-10,10,22.277,CLE,,PHI,L 30-32,,,,,,,,,,,,,,,,,,
11,1991,1991-11-17,11,22.284,CLE,@,HOU,L 24-28,,,,,,,,,,,,,,,,,,
12,1991,1991-11-24,12,22.291,CLE,,KAN,W 20-15,,,,,,,,,,,,,,,,,,
13,1991,1991-12-01,13,22.298,CLE,@,IND,W 31-0,,0,0,,0,,0,0,,0,,,1,6,0.0,1,20,1
14,1991,1991-12-08,14,22.305,CLE,,DEN,L 7-17,,0,0,,0,,0,0,,0,,,0,0,1.0,0,0,0
15,1991,1991-12-15,15,22.312,CLE,,HOU,L 14-17,,,,,,,,,,,,,,,,,,
16,1991,1991-12-22,16,22.319,CLE,@,PIT,L 10-17,,,,,,,,,,,,,,,,,,
17,1992,1992-09-06,1,23.213,CLE,@,IND,L 3-14,,,,,,,0,0,,0,0.0%,,,,,,,
18,1992,1992-09-14,2,23.221,CLE,,MIA,L 23-27,,,,,,,0,0,,0,0.0%,,,,,,,
19,1992,1992-09-20,3,23.227,CLE,@,RAI,W 28-16,,0,0,,0,,0,0,,0,0.0%,,0,0,1.0,0,0,0
20,1992,1992-09-27,4,23.234,CLE,,DEN,L 0-12,,,,,,,0,0,,0,0.0%,,,,,,,
21,1992,1992-10-11,5,23.248,CLE,,PIT,W 17-9,,,,,,,0,0,,0,0.0%,,,,,,,
22,1992,1992-10-18,6,23.255,CLE,,GNB,W 17-6,,,,,,,0,0,,0,0.0%,,,,,,,
23,1992,1992-10-25,7,23.262,CLE,@,NWE,W 19-17,,,,,,,0,0,,0,0.0%,,,,,,,
24,1992,1992-11-01,8,23.269,CLE,@,CIN,L 10-30,,,,,,,0,0,,0,0.0%,,,,,,,
25,1992,1992-11-08,9,23.276,CLE,@,HOU,W 24-14,,,,,,,0,0,,0,0.0%,,,,,,,
26,1992,1992-11-15,10,23.283,CLE,,SDG,L 13-14,,,,,,,0,0,,0,0.0%,,,,,,,
27,1992,1992-11-22,11,23.290,CLE,@,MIN,L 13-17,,,,,,,0,0,,0,0.0%,,,,,,,
28,1992,1992-11-29,12,23.297,CLE,,CHI,W 27-14,,,,,,,0,0,,0,0.0%,,,,,,,
29,1992,1992-12-06,13,23.304,CLE,,CIN,W 37-21,,0,0,,0,,0,0,,0,0.0%,,0,0,1.0,0,0,0
30,1992,1992-12-13,14,23.311,CLE,@,DET,L 14-24,,,,,,,0,0,,0,0.0%,,,,,,,
31,1992,1992-12-20,15,23.318,CLE,,HOU,L 14-17,,0,0,,0,1,1,1,1.00,1,100.0%,1.00,1,6,1.0,0,0,0
32,1992,1992-12-27,16,23.325,CLE,@,PIT,L 13-23,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,1.0,0,0,0
33,1993,1993-09-05,1,24.211,CLE,,CIN,W 27-14,,0,0,,0,,0,0,,0,0.0%,,0,0,1.5,0,0,0
34,1993,1993-09-13,2,24.219,CLE,,SFO,W 23-13,,1,1,1.00,1,,0,0,,0,0.0%,,1,6,0.0,0,0,0
35,1993,1993-09-19,3,24.225,CLE,@,RAI,W 19-16,,0,0,,0,,,,,,0.0%,,,,,,,
36,1993,1993-09-26,4,24.232,CLE,@,IND,L 10-23,,0,0,,0,,,,,,0.0%,,,,,,,
37,1993,1993-10-10,5,24.246,CLE,,MIA,L 14-24,,0,0,,0,,0,0,,0,0.0%,,0,0,1.0,0,0,0
38,1993,1993-10-17,6,24.253,CLE,@,CIN,W 28-17,,0,0,,0,,0,0,,0,0.0%,,0,0,1.0,0,0,0
39,1993,1993-10-24,7,24.260,CLE,,PIT,W 28-23,,0,0,,0,,,,,,0.0%,,,,,,,
40,1993,1993-11-07,8,24.274,CLE,,DEN,L 14-29,,0,0,,0,,,,,,0.0%,,,,,,,
41,1993,1993-11-14,9,24.281,CLE,@,SEA,L 5-22,,0,0,,0,,,,,,0.0%,,,,,,,
42,1993,1993-11-21,10,24.288,CLE,,HOU,L 20-27,,0,0,,0,,,,,,0.0%,,,,,,,
43,1993,1993-11-28,11,24.295,CLE,@,ATL,L 14-17,,1,1,1.00,0,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0
44,1993,1993-12-05,12,24.302,CLE,,NOR,W 17-13,,0,0,,0,,0,0,,0,0.0%,,0,0,1.0,0,0,0
45,1993,1993-12-12,13,24.309,CLE,@,HOU,L 17-19,,0,0,,0,,,,,,0.0%,,,,,,,
46,1993,1993-12-19,14,24.316,CLE,,NWE,L 17-20,,0,0,,0,,,,,,0.0%,,,,,,,
47,1993,1993-12-26,15,24.323,CLE,@,RAM,W 42-14,,0,0,,0,,0,0,,0,0.0%,,0,0,1.0,0,0,0
48,1993,1994-01-02,16,24.330,CLE,@,PIT,L 9-16,,0,0,,0,,,,,,0.0%,,,,,,,
49,1994,1994-09-04,1,25.210,CLE,@,CIN,W 28-20,,0,0,,0,0,0,0,,0,0.0%,,0,,,,,
50,1994,1994-09-11,2,25.217,CLE,,PIT,L 10-17,,0,0,,0,0,0,0,,0,0.0%,,0,,,,,
51,1994,1994-09-18,3,25.224,CLE,,ARI,W 32-0,,0,0,,0,0,0,0,,0,0.0%,,0,,,,,
52,1994,1994-09-25,4,25.231,CLE,@,IND,W 21-14,,0,0,,0,0,0,0,,0,0.0%,,0,,,,,
53,1994,1994-10-02,5,25.238,CLE,,NYJ,W 27-7,,0,0,,0,0,0,0,,0,0.0%,,0,,,,,
54,1994,1994-10-13,6,25.249,CLE,@,HOU,W 11-8,,0,0,,0,0,0,0,,0,0.0%,,0,0,1.0,0,0,0
55,1994,1994-10-23,7,25.259,CLE,,CIN,W 37-13,,0,0,,0,0,0,0,,0,0.0%,,0,,,,,
56,1994,1994-10-30,8,25.266,CLE,@,DEN,L 14-26,,0,0,,0,0,0,0,,0,0.0%,,0,,,,,
57,1994,1994-11-06,9,25.273,CLE,,NWE,W 13-6,,1,0,0.00,0,1,1,1,1.00,0,100.0%,1.00,0,0,1.0,0,0,0
58,1994,1994-11-13,10,25.280,CLE,@,PHI,W 26-7,,0,0,,0,,0,0,,0,0.0%,,0,,,,,
59,1994,1994-11-20,11,25.287,CLE,@,KAN,L 13-20,,0,0,,0,0,0,0,,0,0.0%,,0,,,,,
60,1994,1994-11-27,12,25.294,CLE,,HOU,W 34-10,,0,0,,0,,0,0,,0,0.0%,,0,0,1.0,0,0,0
61,1994,1994-12-04,13,25.301,CLE,,NYG,L 13-16,,0,0,,0,0,0,0,,0,0.0%,,0,,,,,
62,1994,1994-12-10,14,25.307,CLE,@,DAL,W 19-14,,0,0,,0,0,0,0,,0,0.0%,,0,,,,,
63,1994,1994-12-18,15,25.315,CLE,@,PIT,L 7-17,,0,0,,0,0,0,0,,0,0.0%,,0,,,,,
64,1994,1994-12-24,16,25.321,CLE,,SEA,W 35-9,,0,0,,0,,0,0,,0,0.0%,,0,,,,,
65,1995,1995-09-03,1,26.209,DEN,,BUF,W 22-7,,,,,,,,,,,0.0%,,,,,,,
66,1995,1995-09-10,2,26.216,DEN,@,DAL,L 21-31,,,,,,,,,,,0.0%,,,,,,,
67,1995,1995-09-17,3,26.223,DEN,,WAS,W 38-31,,,,,,,,,,,0.0%,,,,,,,
68,1995,1995-09-24,4,26.230,DEN,@,SDG,L 6-17,,,,,,,,,,,0.0%,,,,,,,
69,1995,1995-10-01,5,26.237,DEN,@,SEA,L 10-27,,,,,,,,,,,0.0%,,,,,,,
70,1995,1995-10-08,6,26.244,DEN,@,NWE,W 37-3,,,,,,,,,,,0.0%,,,,,,,
71,1995,1995-10-16,7,26.252,DEN,,OAK,W 27-0,,,,,,,,,,,0.0%,,,,,,,
72,1995,1995-10-22,8,26.258,DEN,,KAN,L 7-21,,,,,,,,,,,0.0%,,,,,,,
73,1995,1995-11-05,9,26.272,DEN,,ARI,W 38-6,,0,0,,0,0,0,0,,0,0.0%,,0,0,1.0,0,0,0
74,1995,1995-11-12,10,26.279,DEN,@,PHI,L 13-31,,,,,,,,,,,0.0%,,,,,,,
75,1995,1995-11-19,11,26.286,DEN,,SDG,W 30-27,,,,,,,,,,,0.0%,,,,,,,
76,1995,1995-11-26,12,26.293,DEN,@,HOU,L 33-42,,,,,,,,,,,0.0%,,,,,,,
77,1995,1995-12-03,13,26.300,DEN,,JAX,W 31-23,,,,,,,,,,,0.0%,,,,,,,
