ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists
1,2004,2004-09-11,1,22.194,TEN,@,MIA,W 17-7,,,,,,,0.0%,,,,
2,2004,2004-09-19,2,22.202,TEN,,IND,L 17-31,,,,,,,0.0%,,,,
3,2004,2004-09-26,3,22.209,TEN,,JAX,L 12-15,,,,,,,0.0%,,,,
4,2004,2004-10-03,4,22.216,TEN,@,SDG,L 17-38,,,,,,,0.0%,,,,
5,2004,2004-10-11,5,22.224,TEN,@,GNB,W 48-27,,,,,,,0.0%,,,,
6,2004,2004-10-17,6,22.230,TEN,,HOU,L 10-20,,,,,,,0.0%,,,,
7,2004,2004-10-24,7,22.237,TEN,@,MIN,L 3-20,,,,,,,0.0%,,,,
8,2004,2004-10-31,8,22.244,TEN,,CIN,W 27-20,,,,,,,0.0%,,,,
9,2004,2004-11-21,10,22.265,TEN,@,JAX,W 18-15,,,,,,,0.0%,,,,
10,2004,2004-11-28,11,22.272,TEN,@,HOU,L 21-31,,,,,,,0.0%,,,,
11,2004,2004-12-05,12,22.279,TEN,@,IND,L 24-51,,,,,,,0.0%,,,,
12,2004,2004-12-13,13,22.287,TEN,,KAN,L 38-49,,,,,,,0.0%,,,,
13,2004,2004-12-19,14,22.293,TEN,@,OAK,L 35-40,*,,,,,,0.0%,,,,
14,2004,2004-12-25,15,22.299,TEN,,DEN,L 16-37,,,,,,,0.0%,,,,
15,2004,2005-01-02,16,22.307,TEN,,DET,W 24-19,*,,,,,,0.0%,,,,
16,2005,2005-09-11,1,23.194,TEN,@,PIT,L 7-34,,,,,,,0.0%,,,,
17,2005,2005-09-18,2,23.201,TEN,,BAL,W 25-10,,,,,,,0.0%,,,,
18,2005,2005-09-25,3,23.208,TEN,@,STL,L 27-31,,,,,,,0.0%,,,,
19,2005,2005-10-02,4,23.215,TEN,,IND,L 10-31,,,,,,,0.0%,,,,
20,2005,2005-10-09,5,23.222,TEN,@,HOU,W 34-20,,,,,,,0.0%,,,,
21,2005,2005-10-16,6,23.229,TEN,,CIN,L 23-31,,,,,,,0.0%,,,,
22,2005,2005-10-23,7,23.236,TEN,@,ARI,L 10-20,,,,,,,0.0%,,,,
23,2005,2005-10-30,8,23.243,TEN,,OAK,L 25-34,,,,,,,0.0%,,,,
24,2005,2005-11-06,9,23.250,TEN,@,CLE,L 14-20,,,,,,,0.0%,,,,
25,2005,2005-11-20,10,23.264,TEN,,JAX,L 28-31,,,,,,,0.0%,,,,
26,2005,2005-11-27,11,23.271,TEN,,SFO,W 33-22,,,,,,,0.0%,,,,
27,2005,2005-12-04,12,23.278,TEN,@,IND,L 3-35,,,,,,,0.0%,,,,
28,2005,2005-12-11,13,23.285,TEN,,HOU,W 13-10,,,,,,,0.0%,,,,
29,2005,2005-12-18,14,23.292,TEN,,SEA,L 24-28,,,,,,,0.0%,,,,
30,2005,2005-12-24,15,23.298,TEN,@,MIA,L 10-24,,,,,,,0.0%,,,,
31,2005,2006-01-01,16,23.306,TEN,@,JAX,L 13-40,,,,,,,0.0%,,,,
32,2006,2006-09-10,1,24.193,TEN,,NYJ,L 16-23,,,,,,,0.0%,,,,
33,2006,2006-09-17,2,24.200,TEN,@,SDG,L 7-40,,,,,,,0.0%,,,,
34,2006,2006-09-24,3,24.207,TEN,@,MIA,L 10-13,,,,,,,0.0%,,,,
35,2006,2006-10-01,4,24.214,TEN,,DAL,L 14-45,,,,,,,0.0%,,,,
36,2006,2006-10-08,5,24.221,TEN,@,IND,L 13-14,,,,,,,0.0%,,,,
37,2006,2006-10-15,6,24.228,TEN,@,WAS,W 25-22,,,,,,,0.0%,,,,
38,2006,2006-10-29,7,24.242,TEN,,HOU,W 28-22,,,,,,,0.0%,,,,
39,2006,2006-11-05,8,24.249,TEN,@,JAX,L 7-37,,,,,,,0.0%,,,,
40,2006,2006-11-12,9,24.256,TEN,,BAL,L 26-27,,,,,,,0.0%,,,,
41,2006,2006-11-19,10,24.263,TEN,@,PHI,W 31-13,,,,,,,0.0%,,,,
42,2006,2006-11-26,11,24.270,TEN,,NYG,W 24-21,,,,,,,0.0%,,,,
43,2006,2006-12-03,12,24.277,TEN,,IND,W 20-17,,,,,,,0.0%,,,,
44,2006,2006-12-10,13,24.284,TEN,@,HOU,W 26-20,*,,,,,,0.0%,,,,
45,2006,2006-12-17,14,24.291,TEN,,JAX,W 24-17,,,,,,,0.0%,,,,
46,2006,2006-12-24,15,24.298,TEN,@,BUF,W 30-29,,,,,,,0.0%,,,,
47,2006,2006-12-31,16,24.305,TEN,,NWE,L 23-40,,,,,,,0.0%,,,,
48,2007,2007-09-09,1,25.192,TEN,@,JAX,W 13-10,,,,,,,0.0%,,,,
49,2007,2007-09-16,2,25.199,TEN,,IND,L 20-22,,,,,,,0.0%,,,,
50,2007,2007-09-24,3,25.207,TEN,@,NOR,W 31-14,,,,,,,0.0%,,,,
51,2007,2007-10-07,4,25.220,TEN,,ATL,W 20-13,,,,,,,0.0%,,,,
52,2007,2007-10-14,5,25.227,TEN,@,TAM,L 10-13,,,,,,,0.0%,,,,
53,2007,2007-10-21,6,25.234,TEN,@,HOU,W 38-36,,,,,,,0.0%,,,,
54,2007,2007-10-28,7,25.241,TEN,,OAK,W 13-9,,,,,,,0.0%,,,,
55,2007,2007-11-04,8,25.248,TEN,,CAR,W 20-7,,,,,,,0.0%,,,,
56,2007,2007-11-11,9,25.255,TEN,,JAX,L 13-28,,,,,,,0.0%,,,,
57,2007,2007-11-19,10,25.263,TEN,@,DEN,L 20-34,*,0,,,,,0.0%,,,,
58,2007,2007-11-25,11,25.269,TEN,@,CIN,L 6-35,*,,,,,,0.0%,,,,
59,2007,2007-12-02,12,25.276,TEN,,HOU,W 28-20,*,0,,,,,0.0%,,,,
60,2007,2007-12-09,13,25.283,TEN,,SDG,L 17-23,,,,,,,0.0%,,,,
61,2007,2007-12-16,14,25.290,TEN,@,KAN,W 26-17,,,,,,,0.0%,,,,
62,2007,2007-12-23,15,25.297,TEN,,NYJ,W 10-6,*,,,,,,0.0%,,,,
63,2007,2007-12-30,16,25.304,TEN,@,IND,W 16-10,*,,,,,,0.0%,,,,
64,2008,2008-09-07,1,26.190,TEN,,JAX,W 17-10,*,0,,,,,0.0%,,,,
65,2008,2008-09-14,2,26.197,TEN,@,CIN,W 24-7,*,,,,,,0.0%,,,,
66,2008,2008-09-21,3,26.204,TEN,,HOU,W 31-12,*,,,,,,0.0%,,,,
67,2008,2008-09-28,4,26.211,TEN,,MIN,W 30-17,*,,,,,,0.0%,,,,
68,2008,2008-10-05,5,26.218,TEN,@,BAL,W 13-10,*,0,,,,,0.0%,,,,
69,2008,2008-10-19,6,26.232,TEN,@,KAN,W 34-10,*,,,,,,0.0%,,,,
70,2008,2008-10-27,7,26.240,TEN,,IND,W 31-21,*,0,,,,,0.0%,,,,
71,2008,2008-11-02,8,26.246,TEN,,GNB,W 19-16,*,0,,,,,0.0%,,,,
72,2008,2008-11-09,9,26.253,TEN,@,CHI,W 21-14,*,,,,,,0.0%,,,,
73,2008,2008-11-16,10,26.260,TEN,@,JAX,W 24-14,*,0,,,,,0.0%,,,,
74,2008,2008-11-23,11,26.267,TEN,,NYJ,L 13-34,*,0,,,,,0.0%,,,,
75,2008,2008-11-27,12,26.271,TEN,@,DET,W 47-10,*,0,,,,,0.0%,,,,
76,2008,2008-12-07,13,26.281,TEN,,CLE,W 28-9,*,,,,,,0.0%,,,,
77,2008,2008-12-14,14,26.288,TEN,@,HOU,L 12-13,*,,,,,,0.0%,,,,
78,2008,2008-12-21,15,26.295,TEN,,PIT,W 31-14,*,,,,,,0.0%,,,,
79,2008,2008-12-28,16,26.302,TEN,@,IND,L 0-23,*,,,,,,0.0%,,,,
80,2009,2009-09-10,1,27.193,TEN,@,PIT,L 10-13,*,,,,,,0.0%,,,,
81,2009,2009-09-20,2,27.203,TEN,,HOU,L 31-34,*,0,,,,,0.0%,,,,
82,2009,2009-09-27,3,27.210,TEN,@,NYJ,L 17-24,,,,,,,0.0%,,,,
83,2009,2009-10-04,4,27.217,TEN,@,JAX,L 17-37,*,,,,,,0.0%,,,,
84,2009,2009-10-11,5,27.224,TEN,,IND,L 9-31,*,,,,,,0.0%,,,,
85,2009,2009-10-18,6,27.231,TEN,@,NWE,L 0-59,*,,,,,,0.0%,,,,
86,2009,2009-11-01,7,27.245,TEN,,JAX,W 30-13,*,,,,,,0.0%,,,,
87,2009,2009-11-08,8,27.252,TEN,@,SFO,W 34-27,*,,,,,,0.0%,,,,
88,2009,2009-11-15,9,27.259,TEN,,BUF,W 41-17,*,0,,,,,0.0%,,,,
89,2009,2009-11-23,10,27.267,TEN,@,HOU,W 20-17,*,,,,,,0.0%,,,,
90,2009,2009-11-29,11,27.273,TEN,,ARI,W 20-17,*,,,,,,0.0%,,,,
91,2009,2009-12-06,12,27.280,TEN,@,IND,L 17-27,*,0,,,,,0.0%,,,,
92,2009,2009-12-13,13,27.287,TEN,,STL,W 47-7,*,0,,,,,0.0%,,,,
93,2009,2009-12-20,14,27.294,TEN,,MIA,W 27-24,*,,,,,,0.0%,,,,
94,2009,2009-12-25,15,27.299,TEN,,SDG,L 17-42,*,0,,,,,0.0%,,,,
95,2009,2010-01-03,16,27.308,TEN,@,SEA,W 17-13,*,,,,,,0.0%,,,,
96,2010,2010-09-12,1,28.195,TEN,,OAK,W 38-13,*,0,,,,,0.0%,,,,
97,2010,2010-09-19,2,28.202,TEN,,PIT,L 11-19,*,0,0,0,,0,0.0%,,0.0,0,0
98,2010,2010-09-26,3,28.209,TEN,@,NYG,W 29-10,*,,,,,,0.0%,,,,
99,2010,2010-10-03,4,28.216,TEN,,DEN,L 20-26,*,,,,,,0.0%,,,,
100,2010,2010-10-10,5,28.223,TEN,@,DAL,W 34-27,*,,,,,,0.0%,,,,
