ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1987,1987-10-04,3,22.093,TAM,@,DET,W 31-27,7,16,2.29,0,0,0,,0,0,0,0
2,1987,1987-10-11,4,22.100,TAM,,SDG,L 13-17,2,4,2.00,0,0,0,,0,0,0,0
3,1987,1987-10-18,5,22.107,TAM,,MIN,W 20-10,0,0,,0,,,,,,,
4,1989,1989-10-09,5,24.098,RAI,@,NYJ,W 14-7,,,,,,,,,,,
5,1989,1989-10-15,6,24.104,RAI,,KAN,W 20-14,,,,,,,,,,,
6,1989,1989-10-22,7,24.111,RAI,@,PHI,L 7-10,,,,,,,,,,,
7,1989,1989-11-05,9,24.125,RAI,,CIN,W 28-7,,,,,,,,,,,
8,1989,1989-11-12,10,24.132,RAI,@,SDG,L 12-14,,,,,,,,,,,
9,1989,1989-11-26,12,24.146,RAI,,NWE,W 24-21,,,,,,,,,,,
10,1989,1989-12-03,13,24.153,RAI,,DEN,W 16-13,,,,,,,,,,,
11,1989,1989-12-10,14,24.160,RAI,,PHO,W 16-14,,,,,,,,,,,
12,1989,1989-12-17,15,24.167,RAI,@,SEA,L 17-23,,,,,,,,,,,
13,1989,1989-12-24,16,24.174,RAI,@,NYG,L 17-34,,,,,,,,,,,
14,1990,1990-09-09,1,25.068,RAI,,DEN,W 14-9,,,,,,,,,,,
15,1990,1990-09-16,2,25.075,RAI,@,SEA,W 17-13,,,,,,,,,,,
16,1990,1990-09-23,3,25.082,RAI,,PIT,W 20-3,,,,,,,,,,,
17,1990,1990-09-30,4,25.089,RAI,,CHI,W 24-10,,,,,,,,,,,
18,1990,1990-10-07,5,25.096,RAI,@,BUF,L 24-38,,,,,,,,,,,
19,1990,1990-10-14,6,25.103,RAI,,SEA,W 24-17,,,,,,,,,,,
20,1990,1990-10-21,7,25.110,RAI,@,SDG,W 24-9,,,,,,,,,,,
21,1990,1990-11-04,8,25.124,RAI,@,KAN,L 7-9,,,,,,,,,,,
22,1990,1990-11-11,9,25.131,RAI,,GNB,L 16-29,,,,,,,,,,,
23,1990,1990-11-19,10,25.139,RAI,@,MIA,W 13-10,,,,,,,,,,,
24,1990,1990-11-25,11,25.145,RAI,,KAN,L 24-27,,,,,,,,,,,
25,1990,1990-12-02,12,25.152,RAI,@,DEN,W 23-20,,,,,,,,,,,
26,1990,1990-12-10,13,25.160,RAI,@,DET,W 38-31,,,,,,,,,,,
27,1990,1990-12-16,14,25.166,RAI,,CIN,W 24-7,,,,,,,,,,,
28,1990,1990-12-22,15,25.172,RAI,@,MIN,W 28-24,,,,,,,,,,,
29,1990,1990-12-30,16,25.180,RAI,,SDG,W 17-12,,,,,,,,,,,
30,1991,1991-09-01,1,26.060,RAI,@,HOU,L 17-47,,,,,,,,,,,
31,1991,1991-09-08,2,26.067,RAI,,DEN,W 16-13,,,,,,,,,,,
32,1991,1991-09-15,3,26.074,RAI,,IND,W 16-0,,,,,,,,,,,
33,1991,1991-09-22,4,26.081,RAI,@,ATL,L 17-21,,,,,,,,,,,
34,1991,1991-09-29,5,26.088,RAI,,SFO,W 12-6,,,,,,,,,,,
35,1991,1991-10-06,6,26.095,RAI,,SDG,L 13-21,,,,,,,,,,,
36,1991,1991-10-13,7,26.102,RAI,@,SEA,W 23-20,,,,,,,,,,,
37,1991,1991-10-20,8,26.109,RAI,,RAM,W 20-17,,,,,,,,,,,
38,1991,1991-10-28,9,26.117,RAI,@,KAN,L 21-24,,,,,,,,,,,
39,1991,1991-11-10,10,26.130,RAI,@,DEN,W 17-16,,,,,,,,,,,
40,1991,1991-11-17,11,26.137,RAI,,SEA,W 31-7,,,,,,,,,,,
41,1991,1991-11-24,12,26.144,RAI,@,CIN,W 38-14,,,,,,,,,,,
42,1991,1991-12-01,13,26.151,RAI,@,SDG,W 9-7,,,,,,,,,,,
43,1991,1991-12-08,14,26.158,RAI,,BUF,L 27-30,,,,,,,,,,,
44,1991,1991-12-16,15,26.166,RAI,@,NOR,L 0-27,,,,,,,,,,,
45,1991,1991-12-22,16,26.172,RAI,,KAN,L 21-27,,,,,,,,,,,
46,1992,1992-09-06,1,27.065,RAI,@,DEN,L 13-17,,,,,,,,,,,
47,1992,1992-09-13,2,27.072,RAI,@,CIN,L 21-24,0,0,,0,2,27,13.50,0,0,0,0
48,1992,1992-09-20,3,27.079,RAI,,CLE,L 16-28,,,,,,,,,,,
49,1992,1992-09-28,4,27.087,RAI,@,KAN,L 7-27,,,,,,,,,,,
50,1992,1992-10-04,5,27.093,RAI,,NYG,W 13-10,,,,,,,,,,,
51,1992,1992-10-11,6,27.100,RAI,,BUF,W 20-3,,,,,,,,,,,
52,1992,1992-10-18,7,27.107,RAI,@,SEA,W 19-0,,,,,,,,,,,
53,1992,1992-10-25,8,27.114,RAI,,DAL,L 13-28,,,,,,,,,,,
54,1992,1992-11-08,9,27.128,RAI,@,PHI,L 10-31,,,,,,,,,,,
55,1992,1992-11-15,10,27.135,RAI,,SEA,W 20-3,,,,,,,,,,,
56,1992,1992-11-22,11,27.142,RAI,,DEN,W 24-0,,,,,,,,,,,
57,1992,1992-11-29,12,27.149,RAI,@,SDG,L 3-27,,,,,,,,,,,
58,1992,1992-12-06,13,27.156,RAI,,KAN,W 28-7,0,0,,0,0,0,,0,1,0,0
59,1992,1992-12-14,14,27.164,RAI,@,MIA,L 7-20,,,,,,,,,,,
60,1992,1992-12-20,15,27.170,RAI,,SDG,L 14-36,,,,,,,,,,,
61,1992,1992-12-26,16,27.176,RAI,@,WAS,W 21-20,,,,,,,,,,,
62,1993,1993-09-05,1,28.064,RAI,,MIN,W 24-7,,,,,,,,,,,
63,1993,1993-09-12,2,28.071,RAI,@,SEA,W 17-13,,,,,,,,,,,
64,1993,1993-09-19,3,28.078,RAI,,CLE,L 16-19,,,,,,,,,,,
65,1993,1993-10-10,5,28.099,RAI,,NYJ,W 24-20,,,,,,,,,,,
66,1993,1993-10-18,6,28.107,RAI,@,DEN,W 23-20,,,,,,,,,,,
67,1993,1993-10-31,7,28.120,RAI,,SDG,L 23-30,,,,,,,,,,,
68,1993,1993-11-07,8,28.127,RAI,@,CHI,W 16-14,,,,,,,,,,,
69,1993,1993-11-14,9,28.134,RAI,,KAN,L 20-31,,,,,,,,,,,
70,1993,1993-11-21,10,28.141,RAI,@,SDG,W 12-7,,,,,,,,,,,
71,1993,1993-11-28,11,28.148,RAI,@,CIN,L 10-16,,,,,,,,,,,
72,1993,1993-12-05,12,28.155,RAI,@,BUF,W 25-24,,,,,,,,,,,
73,1993,1993-12-12,13,28.162,RAI,,SEA,W 27-23,,,,,,,,,,,
74,1993,1993-12-19,14,28.169,RAI,,TAM,W 27-20,,,,,,,,,,,
75,1993,1993-12-26,15,28.176,RAI,@,GNB,L 0-28,,,,,,,,,,,
76,1993,1994-01-02,16,28.183,RAI,,DEN,W 33-30,,,,,,,,,,,
77,1994,1994-09-05,1,29.064,RAI,@,SFO,L 14-44,,,,,,,,,,,
78,1994,1994-09-11,2,29.070,RAI,,SEA,L 9-38,,,,,,,,,,,
79,1994,1994-09-18,3,29.077,RAI,@,DEN,W 48-16,,,,,,,,,,,
80,1994,1994-09-25,4,29.084,RAI,,SDG,L 24-26,,,,,,,,,,,
81,1994,1994-10-09,5,29.098,RAI,@,NWE,W 21-17,,,,,,,,,,,
82,1994,1994-10-16,6,29.105,RAI,@,MIA,L 17-20,,,,,,,,,,,
83,1994,1994-10-23,7,29.112,RAI,,ATL,W 30-17,,,,,,,,,,,
84,1994,1994-10-30,8,29.119,RAI,,HOU,W 17-14,,,,,,,,,,,
85,1994,1994-11-06,9,29.126,RAI,@,KAN,L 3-13,,,,,,,,,,,
86,1994,1994-11-13,10,29.133,RAI,@,RAM,W 20-17,,,,,,,,,,,
87,1994,1994-11-20,11,29.140,RAI,,NOR,W 24-19,,,,,,,,,,,
88,1994,1994-11-27,12,29.147,RAI,,PIT,L 3-21,,,,,,,,,,,
89,1994,1994-12-05,13,29.155,RAI,@,SDG,W 24-17,,,,,,,,,,,
90,1994,1994-12-11,14,29.161,RAI,,DEN,W 23-13,,,,,,,,,,,
91,1994,1994-12-18,15,29.168,RAI,@,SEA,W 17-16,,,,,,,,,,,
92,1994,1994-12-24,16,29.174,RAI,,KAN,L 9-19,,,,,,,,,,,
93,1995,1995-09-03,1,30.062,OAK,,SDG,W 17-7,,,,,,,,,,,
94,1995,1995-09-10,2,30.069,OAK,@,WAS,W 20-8,,,,,,,,,,,
95,1995,1995-09-17,3,30.076,OAK,@,KAN,L 17-23,,,,,,,,,,,
96,1995,1995-09-24,4,30.083,OAK,,PHI,W 48-17,,,,,,,,,,,
