ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1983,1983-09-04,1,23.145,CIN,,RAI,L 10-20,0,0,,0,0,0,,0,,,,,,
2,1983,1983-09-11,2,23.152,CIN,,BUF,L 6-10,0,0,,0,0,0,,0,,,,,,
3,1983,1983-09-15,3,23.156,CIN,@,CLE,L 7-17,0,0,,0,0,0,,0,,,,,,
4,1983,1983-09-25,4,23.166,CIN,@,TAM,W 23-17,0,0,,0,0,0,,0,,,,,,
5,1983,1983-10-02,5,23.173,CIN,,BAL,L 31-34,0,0,,0,1,10,10.00,0,0,0,0.0,0,0,0
6,1983,1983-10-10,6,23.181,CIN,,PIT,L 14-24,0,0,,0,0,0,,0,,,,,,
7,1983,1983-10-16,7,23.187,CIN,@,DEN,L 17-24,0,0,,0,0,0,,0,1,6,0.0,1,55,1
8,1983,1983-10-23,8,23.194,CIN,,CLE,W 28-21,0,0,,0,0,0,,0,,,,,,
9,1983,1983-10-30,9,23.201,CIN,,GNB,W 34-14,0,0,,0,0,0,,0,0,0,0.0,1,0,0
10,1983,1983-11-06,10,23.208,CIN,@,HOU,W 55-14,0,0,,0,0,0,,0,0,0,0.0,1,43,0
11,1983,1983-11-13,11,23.215,CIN,@,KAN,L 15-20,0,0,,0,0,0,,0,,,,,,
12,1983,1983-11-20,12,23.222,CIN,,HOU,W 38-10,1,32,32.00,0,0,0,,0,0,0,0.0,2,23,0
13,1983,1983-11-28,13,23.230,CIN,@,MIA,L 14-38,2,42,21.00,0,0,0,,0,0,0,0.0,0,0,0
14,1983,1983-12-04,14,23.236,CIN,@,PIT,W 23-10,0,0,,0,0,0,,0,,,,,,
15,1983,1983-12-11,15,23.243,CIN,,DET,W 17-9,1,49,49.00,0,0,0,,0,0,0,0.0,0,0,0
16,1983,1983-12-17,16,23.249,CIN,@,MIN,L 14-20,1,5,5.00,0,0,0,,0,0,0,0.0,0,0,0
17,1984,1984-09-02,1,24.143,CIN,@,DEN,L 17-20,,,,,0,0,,0,,,,,,
18,1984,1984-09-09,2,24.150,CIN,,KAN,L 22-27,0,0,,0,0,0,,0,1,6,0.0,1,48,1
19,1984,1984-09-16,3,24.157,CIN,@,NYJ,L 23-43,,,,,0,0,,0,,,,,,
20,1984,1984-09-23,4,24.164,CIN,,RAM,L 14-24,0,0,,0,2,-1,-0.50,0,0,0,0.0,0,0,0
21,1984,1984-10-01,5,24.172,CIN,@,PIT,L 17-38,,,,,0,0,,0,,,,,,
