ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1961,1961-12-10,13,23.091,PIT,@,WAS,W 30-14,1,0,0.00,0,0,0,0,0,0
2,1962,1962-10-06,4,24.026,PIT,,PHI,W 13-7,0,0,,0,1,6,1,24,1
3,1962,1962-10-21,6,24.041,PIT,,DAL,L 27-42,0,0,,0,0,0,2,27,0
4,1962,1962-12-09,13,24.090,PIT,@,PHI,W 26-17,,,,,,,0,14,0
