ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-09-27,3,23.280,JAX,@,HOU,W 31-24,,,,,,,0.0%,,,,,,,,,,
2,2009,2009-10-04,4,23.287,JAX,,TEN,W 37-17,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,0.0,0,0
3,2009,2009-10-11,5,23.294,JAX,@,SEA,L 0-41,,3,2,29,14.50,0,66.7%,9.67,0,0,,0,0,0,0.0,0,0
4,2009,2009-10-18,6,23.301,JAX,,STL,W 23-20,,,,,,,0.0%,,,,,,,,,,
5,2009,2009-11-01,7,23.315,JAX,@,TEN,L 13-30,,2,1,23,23.00,0,50.0%,11.50,0,0,,0,0,0,0.0,0,0
6,2009,2009-11-08,8,23.322,JAX,,KAN,W 24-21,,1,1,33,33.00,0,100.0%,33.00,0,0,,0,0,0,0.0,0,0
7,2009,2009-11-15,9,23.329,JAX,@,NYJ,W 24-22,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,0,0
8,2011,2011-09-18,2,25.271,JAX,@,NYJ,L 3-32,,2,1,25,25.00,0,50.0%,12.50,0,0,,0,0,0,0.0,0,0
9,2011,2011-09-25,3,25.278,JAX,@,CAR,L 10-16,,,,,,,0.0%,,,,,,,,,,
10,2011,2011-10-02,4,25.285,JAX,,NOR,L 10-23,,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,0.0,0,0
11,2011,2011-10-09,5,25.292,JAX,,CIN,L 20-30,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,0,0
12,2011,2011-10-16,6,25.299,JAX,@,PIT,L 13-17,,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,0.0,0,0
13,2011,2011-10-30,8,25.313,JAX,@,HOU,L 14-24,,3,1,12,12.00,0,33.3%,4.00,0,0,,0,0,0,0.0,0,0
14,2011,2011-11-13,9,25.327,JAX,@,IND,W 17-3,,2,2,30,15.00,1,100.0%,15.00,0,0,,0,1,6,0.0,0,0
15,2011,2011-11-20,10,25.334,JAX,@,CLE,L 10-14,,3,3,29,9.67,0,100.0%,9.67,0,0,,0,0,0,0.0,0,0
16,2011,2011-11-27,11,25.341,JAX,,HOU,L 13-20,,5,3,30,10.00,0,60.0%,6.00,0,0,,0,0,0,0.0,0,0
17,2011,2011-12-05,12,25.349,JAX,,SDG,L 14-38,*,7,2,14,7.00,0,28.6%,2.00,0,0,,0,0,0,0.0,0,0
18,2011,2011-12-11,13,25.355,JAX,,TAM,W 41-14,*,6,5,45,9.00,0,83.3%,7.50,1,5,5.00,0,0,0,0.0,0,0
19,2011,2011-12-15,14,25.359,JAX,@,ATL,L 14-41,*,3,2,12,6.00,0,66.7%,4.00,1,0,0.00,0,0,0,0.0,1,0
20,2011,2011-12-24,15,26.003,JAX,@,TEN,L 17-23,*,10,5,61,12.20,0,50.0%,6.10,1,5,5.00,0,0,0,0.0,0,0
21,2011,2012-01-01,16,26.011,JAX,,IND,W 19-13,*,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,0.0,0,0
