ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2000,2000-11-26,12,23.280,NYG,@,ARI,W 31-7,,,,,,,,,,,0.0%,,,,,
2,2000,2000-12-17,15,23.301,NYG,@,DAL,W 17-13,,,,,,0,,,,,0.0%,,,,,
3,2000,2000-12-23,16,23.307,NYG,,JAX,W 28-25,,,,,,0,,,,,0.0%,,,,,
4,2001,2001-09-10,1,24.202,NYG,@,DEN,L 20-31,,,,,,0,,,,,0.0%,,,,,
5,2001,2001-09-23,2,24.215,NYG,@,KAN,W 13-3,,,,,,0,,,,,0.0%,,,,,
6,2001,2001-09-30,3,24.222,NYG,,NOR,W 21-13,,1,1,1.00,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0
7,2001,2001-10-07,4,24.229,NYG,,WAS,W 23-9,,25,90,3.60,0,1,1,16,16.00,0,100.0%,16.00,0,0,,0
8,2001,2001-10-14,5,24.236,NYG,@,STL,L 14-15,,2,-2,-1.00,0,4,2,7,3.50,0,50.0%,1.75,0,0,,0
9,2001,2001-10-22,6,24.244,NYG,,PHI,L 9-10,,0,0,,0,0,0,0,,0,0.0%,,3,59,19.67,0
10,2001,2001-10-28,7,24.250,NYG,@,WAS,L 21-35,,0,0,,0,0,0,0,,0,0.0%,,1,18,18.00,0
11,2001,2001-11-04,8,24.257,NYG,,DAL,W 27-24,,0,0,,0,0,0,0,,0,0.0%,,1,2,2.00,0
12,2001,2001-11-11,9,24.264,NYG,@,ARI,W 17-10,,,,,,0,,,,,0.0%,,,,,
13,2001,2001-11-19,10,24.272,NYG,@,MIN,L 16-28,,0,0,,0,0,0,0,,0,0.0%,,1,20,20.00,0
14,2002,2002-09-15,2,25.207,NYG,@,STL,W 26-21,,0,0,,0,0,0,0,,0,0.0%,,1,30,30.00,0
15,2002,2002-09-22,3,25.214,NYG,,SEA,W 9-6,,,,,,,,,,,0.0%,,,,,
16,2002,2002-09-29,4,25.221,NYG,@,ARI,L 7-21,,0,0,,0,0,0,0,,0,0.0%,,1,9,9.00,0
17,2002,2002-10-13,6,25.235,NYG,,ATL,L 10-17,,,,,,,,,,,0.0%,,,,,
18,2002,2002-10-28,7,25.250,NYG,@,PHI,L 3-17,,,,,,0,,,,,0.0%,,,,,
19,2002,2002-11-03,8,25.256,NYG,,JAX,W 24-17,,0,0,,0,0,0,0,,0,0.0%,,1,12,12.00,0
20,2002,2002-11-10,9,25.263,NYG,@,MIN,W 27-20,,,,,,0,,,,,0.0%,,,,,
21,2002,2002-11-17,10,25.270,NYG,,WAS,W 19-17,,,,,,0,,,,,0.0%,,,,,
22,2002,2002-11-24,11,25.277,NYG,@,HOU,L 14-16,,,,,,,,,,,0.0%,,,,,
23,2002,2002-12-01,12,25.284,NYG,,TEN,L 29-32,,0,0,,0,0,0,0,,0,0.0%,,1,26,26.00,0
24,2002,2002-12-08,13,25.291,NYG,@,WAS,W 27-21,,,,,,,,,,,0.0%,,,,,
25,2002,2002-12-15,14,25.298,NYG,,DAL,W 37-7,,,,,,,,,,,0.0%,,,,,
