ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1977,1977-09-18,1,22.231,RAM,@,ATL,L 6-17,,,,,,,,,,,,,,,,,,
2,1977,1977-09-25,2,22.238,RAM,,PHI,W 20-0,,,,,,,,,,,,,,,,,,
3,1977,1977-10-02,3,22.245,RAM,,SFO,W 34-14,,,,,,,,,,,,,,,,,,
4,1977,1977-10-10,4,22.253,RAM,@,CHI,L 23-24,,,,,,,,,,,,,,,,,,
5,1977,1977-10-16,5,22.259,RAM,,NOR,W 14-7,,,,,,,,,,,,,,,,,,
6,1977,1977-10-24,6,22.267,RAM,,MIN,W 35-3,,,,,,,,,,,,,,,,,,
7,1977,1977-10-30,7,22.273,RAM,@,NOR,L 26-27,,,,,,,,,,,,,,,,,,
8,1977,1977-11-06,8,22.280,RAM,,TAM,W 31-0,,,,,,,,,,,,,,,,,,
9,1977,1977-11-13,9,22.287,RAM,@,GNB,W 24-6,,,,,,,,,,,,,,,,,,
10,1977,1977-11-20,10,22.294,RAM,@,SFO,W 23-10,,,,,,,,,,,,,,,,,,
11,1977,1977-11-27,11,22.301,RAM,@,CLE,W 9-0,,,,,,,,,,,,,,,,,,
12,1977,1977-12-04,12,22.308,RAM,,OAK,W 20-14,,,,,,,,,,,,,,,,,,
13,1977,1977-12-11,13,22.315,RAM,,ATL,W 23-7,,,,,,,,,,,,,,,,,,
14,1977,1977-12-17,14,22.321,RAM,@,WAS,L 14-17,,,,,,,,,,,,,,,,,,
15,1978,1978-09-03,1,23.216,RAM,@,PHI,W 16-14,,,,,,,,,,,,,,,,,,
16,1978,1978-09-10,2,23.223,RAM,,ATL,W 10-0,,,,,,,,,,,,,,,,,,
17,1978,1978-09-17,3,23.230,RAM,,DAL,W 27-14,,,,,,,,,,,,,,,,,,
18,1978,1978-09-24,4,23.237,RAM,@,HOU,W 10-6,,,,,,,,,,,,,,,,,,
19,1978,1978-10-01,5,23.244,RAM,@,NOR,W 26-20,,,,,,,,,,,,,,,,,,
20,1978,1978-10-08,6,23.251,RAM,,SFO,W 27-10,0,0,,0,0,0,,0,1,8,8.00,0,0,0,0.0,0,0,0
21,1978,1978-10-15,7,23.258,RAM,@,MIN,W 34-17,,,,,,,,,,,,,,,,,,
22,1978,1978-10-22,8,23.265,RAM,,NOR,L 3-10,,,,,,,,,,,,,,,,,,
23,1978,1978-10-30,9,23.273,RAM,@,ATL,L 7-15,,,,,,,,,,,,,,,,,,
24,1978,1978-11-05,10,23.279,RAM,,TAM,W 26-23,1,16,16.00,1,0,0,,0,0,0,,0,1,6,0.0,1,31,0
25,1978,1978-11-12,11,23.286,RAM,,PIT,W 10-7,,,,,,,,,,,,,,,,,,
26,1978,1978-11-19,12,23.293,RAM,@,SFO,W 31-28,,,,,,,,,,,,,,,,,,
27,1978,1978-11-26,13,23.300,RAM,@,CLE,L 19-30,,,,,,,,,,,,,,,,,,
28,1978,1978-12-03,14,23.307,RAM,@,NYG,W 20-17,,,,,,,,,,,,,,,,,,
29,1978,1978-12-11,15,23.315,RAM,,CIN,L 19-20,,,,,,,,,,,,,,,,,,
30,1978,1978-12-17,16,23.321,RAM,,GNB,W 31-14,,,,,,,,,,,,,,,,,,
31,1979,1979-09-02,1,24.215,RAM,,OAK,L 17-24,,,,,,,,,,,,,,,,,,
32,1979,1979-09-06,2,24.219,RAM,@,DEN,W 13-9,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
33,1979,1979-09-16,3,24.229,RAM,,SFO,W 27-24,,,,,,,,,,,,,,,,,,
34,1979,1979-09-23,4,24.236,RAM,@,TAM,L 6-21,,,,,,,,,,,,,,,,,,
35,1979,1979-09-30,5,24.243,RAM,,STL,W 21-0,,,,,,,,,,,,,,,,,,
36,1979,1979-10-07,6,24.250,RAM,@,NOR,W 35-17,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,32,0
37,1979,1979-10-14,7,24.257,RAM,@,DAL,L 6-30,,,,,,,,,,,,,,,,,,
38,1979,1979-10-21,8,24.264,RAM,,SDG,L 16-40,,,,,,,,,,,,,,,,,,
39,1979,1979-10-28,9,24.271,RAM,,NYG,L 14-20,,,,,,,,,,,,,,,,,,
40,1979,1979-11-04,10,24.278,RAM,@,SEA,W 24-0,,,,,,,,,,,,,,,,,,
41,1979,1979-11-11,11,24.285,RAM,@,CHI,L 23-27,,,,,,,,,,,,,,,,,,
42,1979,1979-11-19,12,24.293,RAM,,ATL,W 20-14,,,,,,,,,,,,,,,,,,
43,1979,1979-11-25,13,24.299,RAM,@,SFO,W 26-20,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,34,0
44,1979,1979-12-02,14,24.306,RAM,,MIN,W 27-21,1,5,5.00,1,0,0,,0,0,0,,0,1,6,0.0,0,0,0
45,1979,1979-12-09,15,24.313,RAM,@,ATL,W 34-13,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,29,0
46,1979,1979-12-16,16,24.320,RAM,,NOR,L 14-29,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,14,0
47,1980,1980-09-07,1,25.221,RAM,,DET,L 20-41,,,,,,,,,,,,,,,,,,
48,1980,1980-09-11,2,25.225,RAM,@,TAM,L 9-10,,,,,,,,,,,,,,,,,,
49,1980,1980-09-21,3,25.235,RAM,,GNB,W 51-21,,,,,,,,,,,,,,,,,,
50,1980,1980-09-28,4,25.242,RAM,@,NYG,W 28-7,,,,,,,,,,,,,,,,,,
51,1980,1980-10-05,5,25.249,RAM,,SFO,W 48-26,,,,,,,,,,,,,,,,,,
52,1980,1980-10-12,6,25.256,RAM,@,STL,W 21-13,,,,,,,,,,,,,,,,,,
53,1980,1980-10-19,7,25.263,RAM,@,SFO,W 31-17,,,,,,,,,,,,,,,,,,
