ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2000,2000-09-03,1,22.289,GNB,,NYJ,L 16-20,*,4,1,11,11.00,0,25.0%,2.75,0,0,,0,0,0,,0,0,0
2,2000,2000-09-10,2,22.296,GNB,@,BUF,L 18-27,,4,3,30,10.00,0,75.0%,7.50,0,0,,0,0,0,,0,0,0
3,2000,2000-09-17,3,22.303,GNB,,PHI,W 6-3,,1,,,,,0.0%,,,,,,,,,,,
4,2000,2000-09-24,4,22.310,GNB,@,ARI,W 29-3,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0
5,2000,2000-10-01,5,22.317,GNB,,CHI,L 24-27,,1,,,,,0.0%,,,,,,,,,,,
6,2000,2000-10-08,6,22.324,GNB,@,DET,L 24-31,,3,2,46,23.00,0,66.7%,15.33,0,0,,0,4,50,12.50,0,0,0
7,2000,2000-10-15,7,22.331,GNB,,SFO,W 31-28,,,,,,,0.0%,,,,,,,,,,,
8,2000,2000-10-29,8,22.345,GNB,@,MIA,L 20-28,,,,,,,0.0%,,,,,,,,,,,
9,2000,2000-11-12,10,22.359,GNB,@,TAM,L 15-20,,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,0
10,2000,2000-11-19,11,23.000,GNB,,IND,W 26-24,,0,,,,,0.0%,,,,,,,,,,,
11,2000,2000-11-27,12,23.008,GNB,@,CAR,L 14-31,,2,2,20,10.00,0,100.0%,10.00,0,0,,0,1,2,2.00,0,0,0
12,2000,2000-12-03,13,23.014,GNB,@,CHI,W 28-6,,,,,,,0.0%,,,,,,,,,,,
13,2000,2000-12-10,14,23.021,GNB,,DET,W 26-13,,,,,,,0.0%,,,,,,,,,,,
14,2000,2000-12-17,15,23.028,GNB,@,MIN,W 33-28,,,,,,,0.0%,,,,,,,,,,,
15,2000,2000-12-24,16,23.035,GNB,,TAM,W 17-14,,4,,,,,0.0%,,,,,,,,,,,
16,2001,2001-09-30,3,23.315,GNB,@,CAR,W 28-7,,0,0,0,,0,0.0%,,0,0,,0,1,4,4.00,0,0,0
17,2001,2001-10-21,6,23.336,GNB,@,MIN,L 13-35,,2,1,3,3.00,1,50.0%,1.50,0,0,,0,0,0,,0,1,6
18,2001,2001-11-04,7,23.350,GNB,,TAM,W 21-20,,2,2,29,14.50,0,100.0%,14.50,0,0,,0,0,0,,0,0,0
19,2001,2001-11-11,8,23.357,GNB,@,CHI,W 20-12,,0,,,,,0.0%,,,,,,,,,,,
20,2001,2001-11-18,9,23.364,GNB,,ATL,L 20-23,,0,,,,,0.0%,,,,,,,,,,,
21,2001,2001-11-22,10,24.003,GNB,@,DET,W 29-27,,,,,,,0.0%,,,,,,,,,,,
22,2001,2001-12-09,12,24.020,GNB,,CHI,W 17-7,,0,0,0,,0,0.0%,,0,0,,0,2,2,1.00,0,0,0
23,2002,2002-11-03,9,24.349,TAM,,MIN,W 38-24,,,,,,,0.0%,,,,,,,,,,,
24,2003,2003-10-12,5,25.327,TAM,@,WAS,W 35-13,,,,,,,0.0%,,,,,,,,,,,
25,2003,2003-11-02,8,25.348,TAM,,NOR,L 14-17,,0,,,,,0.0%,,,,,,,,,,,
26,2003,2003-11-24,11,26.005,TAM,,NYG,W 19-13,,6,5,91,18.20,1,83.3%,15.17,0,0,,0,0,0,,0,1,6
27,2003,2003-11-30,12,26.011,TAM,@,JAX,L 10-17,*,8,6,47,7.83,0,75.0%,5.88,0,0,,0,0,0,,0,0,0
28,2003,2003-12-07,13,26.018,TAM,@,NOR,W 14-7,*,8,5,52,10.40,0,62.5%,6.50,1,8,8.00,0,0,0,,0,0,0
29,2003,2003-12-14,14,26.025,TAM,,HOU,W 16-3,*,4,3,95,31.67,0,75.0%,23.75,1,6,6.00,0,0,0,,0,0,0
30,2003,2003-12-20,15,26.031,TAM,,ATL,L 28-30,*,14,10,88,8.80,1,71.4%,6.29,0,0,,0,0,0,,0,1,6
31,2003,2003-12-28,16,26.039,TAM,@,TEN,L 13-33,*,6,4,59,14.75,0,66.7%,9.83,0,0,,0,0,0,,0,0,0
32,2004,2004-09-19,2,26.305,TAM,,SEA,L 6-10,*,3,1,35,35.00,0,33.3%,11.67,0,0,,0,0,0,,0,0,0
33,2004,2004-09-26,3,26.312,TAM,@,OAK,L 20-30,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0
34,2004,2004-10-03,4,26.319,TAM,,DEN,L 13-16,,5,5,47,9.40,0,100.0%,9.40,0,0,,0,0,0,,0,0,0
35,2004,2004-10-10,5,26.326,TAM,@,NOR,W 20-17,*,6,4,76,19.00,0,66.7%,12.67,0,0,,0,0,0,,0,0,0
36,2004,2004-10-18,6,26.334,TAM,@,STL,L 21-28,*,6,3,31,10.33,0,50.0%,5.17,0,0,,0,0,0,,0,0,0
37,2004,2004-11-07,8,26.354,TAM,,KAN,W 34-31,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0
38,2004,2004-11-14,9,26.361,TAM,@,ATL,L 14-24,,,,,,,0.0%,,,,,,,,,,,
39,2005,2005-09-11,1,27.296,ARI,@,NYG,L 19-42,,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,0
40,2005,2005-09-18,2,27.303,ARI,,STL,L 12-17,,6,4,40,10.00,0,66.7%,6.67,0,0,,0,0,0,,0,0,0
41,2005,2005-09-25,3,27.310,ARI,@,SEA,L 12-37,,4,3,29,9.67,0,75.0%,7.25,0,0,,0,0,0,,0,0,0
42,2005,2005-10-02,4,27.317,ARI,,SFO,W 31-14,,2,2,28,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,0
43,2005,2005-10-09,5,27.324,ARI,,CAR,L 20-24,,1,1,49,49.00,0,100.0%,49.00,0,0,,0,0,0,,0,0,0
44,2005,2005-10-23,6,27.338,ARI,,TEN,W 20-10,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0
