ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2002,2002-09-08,1,23.159,NYJ,@,BUF,W 37-31,,,,,,,,,,,,,,,
2,2002,2002-09-15,2,23.166,NYJ,,NWE,L 7-44,,,,,,,,,,,,,,,
3,2002,2002-09-22,3,23.173,NYJ,@,MIA,L 3-30,*,,,,,,,,,,,,,,
4,2002,2002-09-29,4,23.180,NYJ,@,JAX,L 3-28,,,,,,,,,,,,,,,
5,2002,2002-10-06,5,23.187,NYJ,,KAN,L 25-29,,,,,,,,,,,,,,,
6,2002,2002-10-20,6,23.201,NYJ,,MIN,W 20-7,,,,,,,,,,,,,,,
7,2002,2002-11-03,8,23.215,NYJ,@,SDG,W 44-13,,,,,,,,,,,,,,,
8,2002,2002-11-10,9,23.222,NYJ,,MIA,W 13-10,,,,,,0,11,,0,,,,,,
9,2002,2002-11-17,10,23.229,NYJ,@,DET,W 31-14,,,,,,,,,,,,,,,
10,2002,2002-11-24,11,23.236,NYJ,,BUF,W 31-13,,,,,,,,,,,,,,,
11,2002,2002-12-02,12,23.244,NYJ,@,OAK,L 20-26,,,,,,,,,,,,,,,
12,2002,2002-12-08,13,23.250,NYJ,,DEN,W 19-13,,0,0,,0,0,0,,0,0.0,,,1,0,0
13,2002,2002-12-15,14,23.257,NYJ,@,CHI,L 13-20,,,,,,,,,,,,,,,
14,2002,2002-12-22,15,23.264,NYJ,@,NWE,W 30-17,,,,,,,,,,,,,,,
15,2002,2002-12-29,16,23.271,NYJ,,GNB,W 42-17,,,,,,,,,,,,,,,
16,2003,2003-09-04,1,24.155,NYJ,@,WAS,L 13-16,*,,,,,,,,,,,,,,
17,2003,2003-09-14,2,24.165,NYJ,,MIA,L 10-21,*,,,,,,,,,,,,,,
18,2003,2003-09-21,3,24.172,NYJ,@,NWE,L 16-23,*,,,,,,,,,,,,,,
19,2003,2003-09-28,4,24.179,NYJ,,DAL,L 6-17,*,,,,,,,,,,,,,,
20,2003,2003-10-12,5,24.193,NYJ,,BUF,W 30-3,*,,,,,,,,,,,,,,
21,2003,2003-11-16,10,24.228,NYJ,@,IND,L 31-38,*,,,,,,,,,,,,,,
22,2004,2004-09-19,2,25.170,NYJ,@,SDG,W 34-28,,0,0,,0,0,0,,0,0.0,,,1,0,0
