ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1950,1950-09-17,1,26.322,RAM,,CHI,L 20-24,2,-6,-3.00,0,0,0,,0,0,0,,0,0,,,,,,
2,1950,1950-09-22,2,26.327,RAM,,NYY,W 45-28,8,20,2.50,1,1,13,13.00,0,0,0,,0,0,,,,,,
3,1950,1950-10-01,3,26.336,RAM,@,SFO,W 35-14,9,57,6.33,0,0,0,,0,0,0,,0,0,,,,,,
4,1950,1950-10-07,4,26.342,RAM,@,PHI,L 20-56,3,22,7.33,0,0,0,,0,0,0,,0,0,,,,,,
5,1950,1950-10-15,5,26.350,RAM,@,DET,W 30-28,5,0,0.00,0,1,39,39.00,1,0,0,,0,0,,,,,,
6,1950,1950-10-22,6,26.357,RAM,,BAL,W 70-27,4,31,7.75,0,2,48,24.00,1,0,0,,0,0,,,,,,
7,1950,1950-10-29,7,26.364,RAM,,DET,W 65-24,2,10,5.00,0,2,109,54.50,1,0,0,,0,0,,,,,,
8,1950,1950-11-05,8,27.006,RAM,,SFO,W 28-21,3,-5,-1.67,0,0,0,,0,0,0,,0,0,,,,,,
9,1950,1950-11-12,9,27.013,RAM,@,GNB,W 45-14,1,-2,-2.00,0,0,0,,0,0,0,,0,0,,,,,,
10,1950,1950-11-19,10,27.020,RAM,@,NYY,W 43-35,6,78,13.00,0,4,45,11.25,0,1,1,100.00,11,0,0,112.5,0,0,11.00,11.00
11,1950,1950-11-26,11,27.027,RAM,@,CHI,L 14-24,3,8,2.67,0,5,22,4.40,0,0,0,,0,0,,,,,,
12,1950,1950-12-03,12,27.034,RAM,,GNB,W 51-14,5,37,7.40,0,1,3,3.00,1,0,0,,0,0,,,,,,
13,1951,1951-09-28,1,27.333,RAM,,NYY,W 54-14,3,27,9.00,0,2,103,51.50,1,0,0,,0,0,,,,,,
14,1951,1951-10-07,2,27.342,RAM,,CLE,L 23-38,5,12,2.40,0,1,61,61.00,0,0,0,,0,0,,,,,,
15,1951,1951-10-14,3,27.349,RAM,@,DET,W 27-21,3,9,3.00,0,2,22,11.00,0,0,0,,0,0,,,,,,
16,1951,1951-10-21,4,27.356,RAM,@,GNB,W 28-0,11,21,1.91,0,1,10,10.00,0,0,0,,0,0,,,,,,
17,1951,1951-10-28,5,27.363,RAM,@,SFO,L 17-44,3,12,4.00,0,4,-2,-0.50,0,0,0,,0,0,,,,,,
18,1951,1951-11-04,6,28.005,RAM,,SFO,W 23-16,9,24,2.67,0,1,14,14.00,0,0,0,,0,0,,,,,,
19,1951,1951-11-11,7,28.012,RAM,,CRD,W 45-21,7,-19,-2.71,0,2,24,12.00,0,0,0,,0,0,,,,,,
20,1951,1951-11-18,8,28.019,RAM,,NYY,W 48-21,9,59,6.56,1,3,46,15.33,0,0,0,,0,0,,,,,,
21,1951,1951-11-25,9,28.026,RAM,@,WAS,L 21-31,1,4,4.00,0,0,0,,0,0,0,,0,0,,,,,,
22,1951,1951-12-09,11,28.040,RAM,,DET,L 22-24,1,-6,-6.00,0,0,0,,0,0,0,,0,0,,,,,,
23,1952,1952-09-28,1,28.334,RAM,@,CLE,L 7-37,4,21,5.25,0,0,0,,0,0,0,,0,0,,,,,,
24,1952,1952-10-03,2,28.339,RAM,,DET,L 14-17,4,-27,-6.75,0,0,0,,0,0,0,,0,0,,,,,,
