ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1959,1959-09-27,1,23.288,CRD,,WAS,W 49-21,2,21,10.50,0,0,0,,0,,,,,,,,,0,,,,,
2,1959,1959-11-01,6,23.323,CRD,,PIT,W 45-24,1,12,12.00,0,0,0,,0,,,,,,,,,0,,,,,
3,1959,1959-11-15,8,23.337,CRD,@,PHI,L 17-27,3,17,5.67,0,1,31,31.00,1,,,,,,,,,1,,,,,
4,1959,1959-11-22,9,23.344,CRD,,NYG,L 20-30,7,30,4.29,0,2,19,9.50,0,,,,,,,,,0,,,,,
5,1959,1959-11-29,10,23.351,CRD,,CHI,L 7-31,0,0,,0,1,10,10.00,0,,,,,,,,,0,,,,,
6,1959,1959-12-13,12,24.000,CRD,@,PIT,L 20-35,1,1,1.00,0,0,0,,0,,,,,,,,,0,,,,,
7,1960,1960-10-09,4,24.301,HOU,,NYT,W 27-21,1,4,4.00,0,0,0,,0,3,76,25.33,0,0,0,,0,0,0,0,0,,0
8,1960,1960-10-16,5,24.308,HOU,,DTX,W 20-10,8,33,4.13,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
9,1960,1960-10-23,6,24.315,HOU,@,NYT,W 42-28,8,23,2.88,0,0,0,,0,3,196,65.33,1,0,0,,0,1,6,0,0,,0
10,1960,1960-10-30,7,24.322,HOU,@,BUF,L 24-25,1,0,0.00,0,0,0,,0,3,102,34.00,0,0,0,,0,0,0,6,210,35.00,0
11,1960,1960-11-06,8,24.329,HOU,@,DEN,W 45-25,1,0,0.00,0,0,0,,0,1,6,6.00,0,1,11,11.00,0,0,0,0,0,,0
12,1960,1960-11-13,9,24.336,HOU,@,LAC,L 21-24,0,0,,0,0,0,,0,2,36,18.00,0,0,0,,0,0,0,0,0,,0
13,1960,1960-11-20,10,24.343,HOU,,DEN,W 20-10,0,0,,0,0,0,,0,1,16,16.00,0,0,0,,0,0,0,0,0,,0
14,1960,1960-11-25,11,24.348,HOU,@,BOS,W 24-10,0,0,,0,0,0,,0,1,4,4.00,0,0,0,,0,0,0,0,0,,0
15,1960,1960-12-04,12,24.357,HOU,@,DTX,L 0-24,1,3,3.00,0,0,0,,0,1,12,12.00,0,3,34,11.33,0,0,0,0,0,,0
16,1960,1960-12-11,13,24.364,HOU,,BUF,W 31-23,0,0,,0,0,0,,0,2,49,24.50,0,0,0,,0,0,0,0,0,,0
17,1960,1960-12-18,14,25.005,HOU,,BOS,W 37-21,10,55,5.50,0,0,0,,0,2,97,48.50,0,2,27,13.50,0,0,0,0,0,,0
18,1961,1961-09-09,1,25.270,HOU,,OAK,W 55-0,5,3,0.60,0,0,0,,0,0,0,,0,0,0,,0,0,0,2,58,29.00,0
19,1961,1961-09-24,2,25.285,HOU,@,SDG,L 24-34,2,10,5.00,0,1,20,20.00,1,4,90,22.50,0,1,1,1.00,0,1,6,6,180,30.00,0
20,1961,1961-10-01,3,25.292,HOU,@,DTX,L 21-26,0,0,,0,0,0,,0,2,50,25.00,0,1,0,0.00,0,0,0,0,0,,0
21,1961,1961-10-15,5,25.306,STL,,PHI,L 7-20,0,0,,0,3,38,12.67,0,0,0,,0,0,0,,0,0,0,0,0,,0
