ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1975,1975-10-12,4,25.207,KAN,,OAK,W 42-10,,0,0,,0,0,0,,0,0,,,2,2,1.00,0,0,0,,0
2,1975,1975-10-26,6,25.221,KAN,,DEN,W 26-13,,,,,,,,,,,,,,,,,,,,
3,1975,1975-11-16,9,25.242,KAN,@,PIT,L 3-28,,2,5,40.00,15,0,1,8.3,0,0,3.00,-6.00,1,10,10.00,0,1,-7,-7.00,0
4,1975,1975-12-07,12,25.263,KAN,,SDG,L 20-28,,3,10,30.00,44,0,0,45.4,0,0,4.40,4.40,0,0,,0,0,0,,0
5,1975,1975-12-14,13,25.270,KAN,@,CLE,L 14-40,*,13,31,41.94,141,1,1,53.3,0,0,4.55,3.74,2,4,2.00,0,0,0,,0
6,1975,1975-12-21,14,25.277,KAN,@,OAK,L 20-28,*,18,31,58.06,245,1,2,67.3,0,0,7.90,5.65,3,26,8.67,0,0,0,,0
7,1976,1976-09-12,1,26.177,KAN,,SDG,L 16-30,,,,,,,,,,,,,,,,,,,,
8,1976,1976-09-20,2,26.185,KAN,,OAK,L 21-24,,,,,,,,,,,,,,,,,,,,
9,1976,1976-09-26,3,26.191,KAN,,NOR,L 17-27,,0,3,0.00,0,0,0,39.6,0,0,0.00,0.00,1,8,8.00,0,0,0,,0
10,1976,1976-10-03,4,26.198,KAN,@,BUF,L 17-50,,17,32,53.13,319,2,3,69.7,0,0,9.97,7.00,1,21,21.00,0,0,0,,0
11,1976,1976-10-10,5,26.205,KAN,@,WAS,W 33-30,,,,,,,,,,,,,,,,,,,,
12,1976,1976-10-17,6,26.212,KAN,@,MIA,W 20-17,,,,,,,,,,,,,,,,,,,,
