ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1996,1996-09-01,1,26.081,SDG,,SEA,W 29-7,5,23,4.60,0,0,0,0,,0,0.0%,
2,1996,1996-09-15,3,26.095,SDG,@,GNB,L 10-42,0,0,,0,,0,0,,0,0.0%,
3,1996,1996-09-29,5,26.109,SDG,,KAN,W 22-19,0,0,,0,,0,0,,0,0.0%,
4,1996,1996-11-03,9,26.144,SDG,@,IND,W 26-19,0,0,,0,,0,0,,0,0.0%,
5,1996,1996-11-11,10,26.152,SDG,,DET,W 27-21,7,25,3.57,0,0,0,0,,0,0.0%,
6,1996,1996-11-17,11,26.158,SDG,,TAM,L 17-25,0,0,,0,,0,0,,0,0.0%,
7,1996,1996-11-24,12,26.165,SDG,@,KAN,W 28-14,0,0,,0,,0,0,,0,0.0%,
8,1996,1996-12-01,13,26.172,SDG,,NWE,L 7-45,1,1,1.00,0,0,0,0,,0,0.0%,
9,1996,1996-12-14,15,26.185,SDG,@,CHI,L 14-27,0,0,,0,,0,0,,0,0.0%,
10,1996,1996-12-22,16,26.193,SDG,,DEN,W 16-10,19,60,3.16,0,2,1,20,20.00,0,50.0%,10.00
