ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1997,1997-09-07,2,24.029,TEN,@,MIA,L 13-16,,,,,,,,,,
2,1997,1997-09-21,4,24.043,BUF,,IND,W 37-35,,,,,,,,,,
3,1997,1997-09-28,4,24.050,TEN,@,PIT,L 24-37,,,,,,,,,,
4,1997,1997-10-05,5,24.057,TEN,@,SEA,L 13-16,,,,,,,,,,
5,1997,1997-10-12,6,24.064,TEN,,CIN,W 30-7,,,,,,,,,,
6,1997,1997-10-19,7,24.071,TEN,,WAS,W 28-14,,0,0,,0,0,0,1,14,0
7,1997,1997-10-26,8,24.078,TEN,@,ARI,W 41-14,,0,0,,0,1,6,1,39,1
8,1997,1997-11-02,9,24.085,TEN,,JAX,L 24-30,,,,,,,,,,
9,1997,1997-11-09,10,24.092,TEN,,NYG,W 10-6,,,,,,,,,,
10,1997,1997-11-16,11,24.099,TEN,@,JAX,L 9-17,,,,,,,,,,
11,1997,1997-11-23,12,24.106,TEN,,BUF,W 31-14,,,,,,,,,,
12,1997,1997-11-27,13,24.110,TEN,@,DAL,W 27-14,,,,,,,,,,
13,1997,1997-12-04,14,24.117,TEN,@,CIN,L 14-41,,,,,,,,,,
14,1997,1997-12-14,15,24.127,MIA,@,IND,L 0-41,,,,,,,,,,
15,1997,1997-12-21,16,24.134,TEN,,PIT,W 16-6,,,,,,,,,,
16,1998,1998-09-06,1,25.028,TEN,@,CIN,W 23-14,,,,,,,,,,
17,1998,1998-09-13,2,25.035,TEN,,SDG,L 7-13,,,,,,,,,,
18,1998,1998-09-20,3,25.042,TEN,@,NWE,L 16-27,,,,,,,,,,
19,1998,1998-09-27,4,25.049,TEN,,JAX,L 22-27,,,,,,,,,,
20,1998,1998-10-18,6,25.070,TEN,,CIN,W 44-14,,,,,,,,,,
21,1998,1998-10-25,7,25.077,TEN,,CHI,L 20-23,,,,,,,,,,
22,1998,1998-11-01,8,25.084,TEN,@,PIT,W 41-31,,0,0,,0,0,0,1,6,0
23,1998,1998-11-08,9,25.091,TEN,@,TAM,W 31-22,,,,,,,,,,
24,1998,1998-11-15,10,25.098,TEN,,PIT,W 23-14,,,,,,,,,,
25,1998,1998-11-22,11,25.105,TEN,,NYJ,L 3-24,,,,,,,,,,
26,1998,1998-11-29,12,25.112,TEN,@,SEA,L 18-20,,0,0,,0,0,0,1,0,0
27,1998,1998-12-13,14,25.126,TEN,@,JAX,W 16-13,,,,,,,,,,
28,1998,1998-12-20,15,25.133,TEN,@,GNB,L 22-30,,,,,,,,,,
29,1998,1998-12-26,16,25.139,TEN,,MIN,L 16-26,,,,,,,,,,
30,1999,1999-09-12,1,26.034,TEN,,CIN,W 36-35,*,0,0,,0,0,0,1,27,0
31,1999,1999-09-26,3,26.048,TEN,@,JAX,W 20-19,*,,,,,,,,,
32,1999,1999-10-03,4,26.055,TEN,@,SFO,L 22-24,*,,,,,,,,,
33,1999,1999-10-10,5,26.062,TEN,,BAL,W 14-11,*,,,,,,,,,
34,1999,1999-10-17,6,26.069,TEN,@,NOR,W 24-21,*,,,,,,,,,
35,1999,1999-10-31,7,26.083,TEN,,STL,W 24-21,*,,,,,,,,,
36,1999,1999-11-07,8,26.090,TEN,@,MIA,L 0-17,*,,,,,,,,,
37,1999,1999-11-14,9,26.097,TEN,@,CIN,W 24-14,*,,,,,,,,,
38,1999,1999-11-21,10,26.104,TEN,,PIT,W 16-10,*,,,,,,,,,
39,1999,1999-11-28,11,26.111,TEN,@,CLE,W 33-21,*,,,,,,,,,
40,1999,1999-12-05,12,26.118,TEN,@,BAL,L 14-41,*,,,,,,,,,
41,1999,1999-12-09,13,26.122,TEN,,OAK,W 21-14,*,,,,,,,,,
42,1999,1999-12-19,14,26.132,TEN,,ATL,W 30-17,,,,,,,,,,
43,1999,1999-12-26,15,26.139,TEN,,JAX,W 41-14,*,,,,,,,,,
44,1999,2000-01-02,16,26.146,TEN,@,PIT,W 47-36,*,,,,,,,,,
45,2000,2000-09-10,2,27.032,TEN,,KAN,W 17-14,*,,,,,,,,,
46,2000,2000-09-24,3,27.046,TEN,@,PIT,W 23-20,*,,,,,,,,,
47,2000,2000-10-01,4,27.053,TEN,,NYG,W 28-14,,0,0,,0,0,0,1,4,0
48,2000,2000-10-08,5,27.060,TEN,@,CIN,W 23-14,,,,,,,,,,
49,2000,2000-10-16,6,27.068,TEN,,JAX,W 27-13,*,,,,,,,,,
50,2000,2000-10-22,7,27.074,TEN,@,BAL,W 14-6,*,,,,,,,,,
51,2000,2000-10-30,8,27.082,TEN,@,WAS,W 27-21,*,,,,,,,,,
52,2000,2000-11-05,9,27.088,TEN,,PIT,W 9-7,,,,,,,,,,
53,2000,2000-11-12,10,27.095,TEN,,BAL,L 23-24,*,,,,,,,,,
54,2000,2000-11-19,11,27.102,TEN,,CLE,W 24-10,*,,,,,,,,,
55,2000,2000-11-26,12,27.109,TEN,@,JAX,L 13-16,*,,,,,,,,,
56,2000,2000-12-03,13,27.116,TEN,@,PHI,W 15-13,,,,,,,,,,
