ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2010,2010-09-12,1,21.254,NYG,,CAR,W 31-18,,0,0,,0,,0,0,0.0,0,1,0,0,0
2,2010,2010-09-19,2,21.261,NYG,@,IND,L 14-38,,,,,,,,,,,,,,
3,2010,2010-09-26,3,21.268,NYG,,TEN,L 10-29,,0,0,,0,,0,0,0.0,1,0,0,0,0
4,2010,2010-10-03,4,21.275,NYG,,CHI,W 17-3,,,,,,,,,,,,,,
5,2010,2010-10-10,5,21.282,NYG,@,HOU,W 34-10,,0,0,,0,,0,0,0.0,0,0,0,0,0
6,2010,2010-10-17,6,21.289,NYG,,DET,W 28-20,,0,0,,0,,0,0,0.0,2,0,0,0,0
7,2010,2010-10-25,7,21.297,NYG,@,DAL,W 41-35,,0,0,,0,,0,0,0.0,0,0,0,0,0
8,2010,2010-11-07,8,21.310,NYG,@,SEA,W 41-7,,,,,,,,,,,,,,
9,2010,2010-11-14,9,21.317,NYG,,DAL,L 20-33,,0,0,,0,,0,0,0.0,1,0,0,0,0
10,2010,2010-11-21,10,21.324,NYG,@,PHI,L 17-27,,0,0,,0,,0,0,0.0,0,0,0,0,0
11,2010,2010-11-28,11,21.331,NYG,,JAX,W 24-20,,0,0,,0,,0,0,2.0,5,2,0,0,0
12,2010,2010-12-05,12,21.338,NYG,,WAS,W 31-7,,0,0,,0,,0,0,2.0,3,0,0,0,0
13,2010,2010-12-13,13,21.346,NYG,@,MIN,W 21-3,,0,0,,0,,0,0,0.0,1,1,0,0,0
14,2010,2010-12-19,14,21.352,NYG,,PHI,L 31-38,,0,0,,0,,0,0,0.5,2,0,0,0,0
15,2010,2010-12-26,15,21.359,NYG,@,GNB,L 17-45,,0,0,,0,,0,0,0.0,2,1,0,0,0
16,2010,2011-01-02,16,22.001,NYG,@,WAS,W 17-14,,1,12,12.00,0,,0,0,0.0,0,0,0,0,0
17,2011,2011-09-11,1,22.253,NYG,@,WAS,L 14-28,*,0,0,,0,,0,0,2.0,5,1,0,0,0
18,2011,2011-09-19,2,22.261,NYG,,STL,W 28-16,*,0,0,,0,,0,0,0.5,2,0,0,0,0
19,2011,2011-09-25,3,22.267,NYG,@,PHI,W 29-16,*,0,0,,0,,0,0,2.0,7,2,0,0,0
20,2011,2011-10-02,4,22.274,NYG,@,ARI,W 31-27,*,0,0,,0,,0,0,0.0,3,2,0,0,0
21,2011,2011-10-09,5,22.281,NYG,,SEA,L 25-36,*,0,0,,0,,0,0,2.0,5,0,0,0,0
22,2011,2011-10-16,6,22.288,NYG,,BUF,W 27-24,*,0,0,,0,,0,0,1.0,3,0,0,0,0
23,2011,2011-10-30,7,22.302,NYG,,MIA,W 20-17,*,0,0,,0,,0,0,1.0,3,2,0,0,0
24,2011,2011-11-06,8,22.309,NYG,@,NWE,W 24-20,,0,0,,0,,0,0,1.0,1,2,0,0,0
25,2011,2011-11-13,9,22.316,NYG,@,SFO,L 20-27,,0,0,,0,,0,0,0.0,2,0,0,0,0
26,2011,2011-11-20,10,22.323,NYG,,PHI,L 10-17,,0,0,,0,,0,0,1.0,3,1,0,0,0
27,2011,2011-11-28,11,22.331,NYG,@,NOR,L 24-49,,0,0,,0,,0,0,0.0,5,1,0,0,0
28,2011,2011-12-04,12,22.337,NYG,,GNB,L 35-38,*,0,0,,0,,0,0,0.0,3,0,0,0,0
29,2011,2011-12-11,13,22.344,NYG,@,DAL,W 37-34,*,0,0,,0,1,0,2,2.0,6,2,0,0,0
30,2011,2011-12-18,14,22.351,NYG,,WAS,L 10-23,*,0,0,,0,,0,0,1.0,11,5,0,0,0
31,2011,2011-12-24,15,22.357,NYG,@,NYJ,W 29-14,*,0,0,,0,,0,0,2.0,4,1,0,0,0
32,2011,2012-01-01,16,23.000,NYG,,DAL,W 31-14,*,0,0,,0,,0,0,1.0,4,1,0,0,0
33,2012,2012-09-05,1,23.248,NYG,,DAL,L 17-24,*,0,0,,0,,0,0,0.0,3,1,0,0,0
34,2012,2012-09-16,2,23.259,NYG,,TAM,W 41-34,*,0,0,,0,,0,0,1.0,4,4,0,0,0
35,2012,2012-09-20,3,23.263,NYG,@,CAR,W 36-7,*,0,0,,0,,0,0,0.5,1,2,0,0,0
36,2012,2012-09-30,4,23.273,NYG,@,PHI,L 17-19,*,0,0,,0,,0,0,0.0,2,0,0,0,0
37,2012,2012-10-07,5,23.280,NYG,,CLE,W 41-27,*,0,0,,0,,0,0,0.0,1,1,0,0,0
38,2012,2012-10-14,6,23.287,NYG,@,SFO,W 26-3,*,0,0,,0,,0,0,2.0,2,1,0,0,0
39,2012,2012-10-21,7,23.294,NYG,,WAS,W 27-23,*,0,0,,0,,0,0,1.0,3,1,0,0,0
40,2012,2012-10-28,8,23.301,NYG,@,DAL,W 29-24,*,0,0,,0,,0,6,1.0,3,1,1,28,1
41,2012,2012-11-04,9,23.308,NYG,,PIT,L 20-24,*,0,0,,0,,0,0,1.0,6,2,0,0,0
