ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2004,2004-09-12,1,21.118,JAX,@,BUF,W 13-10,*,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,0.0,,
2,2004,2004-09-19,2,21.125,JAX,,DEN,W 7-6,*,2,1,19,19.00,0,50.0%,9.50,0,0,,0,0,0,0.0,,
3,2004,2004-09-26,3,21.132,JAX,@,TEN,W 15-12,*,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,0.0,,
4,2004,2004-10-03,4,21.139,JAX,,IND,L 17-24,*,4,3,40,13.33,0,75.0%,10.00,0,0,,0,0,0,0.0,,
5,2004,2004-10-10,5,21.146,JAX,@,SDG,L 21-34,*,9,3,24,8.00,0,33.3%,2.67,0,0,,0,0,0,0.0,,
6,2004,2004-10-17,6,21.153,JAX,,KAN,W 22-16,*,,,,,,0.0%,,,,,,,,,,
7,2004,2004-10-24,7,21.160,JAX,@,IND,W 27-24,*,4,2,19,9.50,0,50.0%,4.75,0,0,,0,0,0,0.0,,
8,2004,2004-10-31,8,21.167,JAX,@,HOU,L 6-20,*,8,5,27,5.40,0,62.5%,3.38,0,0,,0,0,0,0.0,,
9,2004,2004-11-14,9,21.181,JAX,,DET,W 23-17,*,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,0.0,,
10,2004,2004-11-21,10,21.188,JAX,,TEN,L 15-18,*,4,1,13,13.00,0,25.0%,3.25,0,0,,0,0,0,0.0,,
11,2004,2004-11-28,11,21.195,JAX,@,MIN,L 16-27,*,5,3,32,10.67,0,60.0%,6.40,0,0,,0,0,0,0.0,,
12,2004,2004-12-05,12,21.202,JAX,,PIT,L 16-17,*,1,,,,,0.0%,,,,,,,,,,
13,2004,2004-12-12,13,21.209,JAX,,CHI,W 22-3,*,7,4,62,15.50,1,57.1%,8.86,0,0,,0,1,6,0.0,,
14,2004,2004-12-19,14,21.216,JAX,@,GNB,W 28-25,*,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0,0.0,,
15,2004,2004-12-26,15,21.223,JAX,,HOU,L 0-21,*,1,,,,,0.0%,,,,,,,,,,
16,2004,2005-01-02,16,21.230,JAX,@,OAK,W 13-6,,1,,,,,0.0%,,,,,,,,,,
17,2005,2005-09-11,1,22.117,JAX,,SEA,W 26-14,*,5,4,41,10.25,0,80.0%,8.20,0,0,,0,0,0,0.0,,
18,2005,2005-09-18,2,22.124,JAX,@,IND,L 3-10,*,5,4,38,9.50,0,80.0%,7.60,0,0,,0,0,0,0.0,,
19,2005,2005-09-25,3,22.131,JAX,@,NYJ,W 26-20,*,6,5,54,10.80,0,83.3%,9.00,0,0,,0,0,0,0.0,,
20,2005,2005-10-02,4,22.138,JAX,,DEN,L 7-20,*,8,3,22,7.33,0,37.5%,2.75,0,0,,0,0,0,0.0,,
21,2005,2005-10-09,5,22.145,JAX,,CIN,W 23-20,*,5,2,41,20.50,0,40.0%,8.20,1,10,10.00,0,0,0,0.0,,
22,2005,2005-10-16,6,22.152,JAX,@,PIT,W 23-17,,9,3,50,16.67,0,33.3%,5.56,0,0,,0,0,0,0.0,,
23,2005,2005-10-30,7,22.166,JAX,@,STL,L 21-24,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
24,2005,2005-11-06,8,22.173,JAX,,HOU,W 21-14,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
25,2005,2005-11-13,9,22.180,JAX,,BAL,W 30-3,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
26,2005,2005-11-20,10,22.187,JAX,@,TEN,W 31-28,,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,0.0,,
27,2005,2005-11-27,11,22.194,JAX,@,ARI,W 24-17,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
28,2005,2005-12-04,12,22.201,JAX,@,CLE,W 20-14,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
29,2005,2005-12-11,13,22.208,JAX,,IND,L 18-26,*,2,2,25,12.50,0,100.0%,12.50,1,-7,-7.00,0,0,0,0.0,,
30,2005,2005-12-18,14,22.215,JAX,,SFO,W 10-9,,6,4,65,16.25,0,66.7%,10.83,0,0,,0,0,0,0.0,,
31,2005,2005-12-24,15,22.221,JAX,@,HOU,W 38-20,,3,3,48,16.00,0,100.0%,16.00,0,0,,0,0,0,0.0,,
32,2005,2006-01-01,16,22.229,JAX,,TEN,W 40-13,,5,4,52,13.00,0,80.0%,10.40,0,0,,0,0,0,0.0,,
33,2006,2006-09-10,1,23.116,JAX,,DAL,W 24-17,*,7,6,47,7.83,1,85.7%,6.71,0,0,,0,1,6,0.0,,
34,2006,2006-09-18,2,23.124,JAX,,PIT,W 9-0,*,12,8,95,11.88,0,66.7%,7.92,0,0,,0,0,0,0.0,,
35,2006,2006-09-24,3,23.130,JAX,@,IND,L 14-21,*,5,2,8,4.00,0,40.0%,1.60,0,0,,0,0,0,0.0,,
36,2006,2006-10-01,4,23.137,JAX,@,WAS,L 30-36,*,8,4,94,23.50,2,50.0%,11.75,1,-1,-1.00,0,2,12,0.0,,
37,2006,2006-10-08,5,23.144,JAX,,NYJ,W 41-0,,6,4,53,13.25,1,66.7%,8.83,1,9,9.00,0,1,6,0.0,,
38,2006,2006-10-22,6,23.158,JAX,@,HOU,L 7-27,*,4,0,0,,0,0.0%,0.00,1,8,8.00,0,0,0,0.0,,
39,2006,2006-10-29,7,23.165,JAX,@,PHI,W 13-6,*,3,1,13,13.00,0,33.3%,4.33,1,-7,-7.00,0,0,0,0.0,,
40,2006,2006-11-05,8,23.172,JAX,,TEN,W 37-7,*,3,1,13,13.00,0,33.3%,4.33,1,10,10.00,0,0,0,0.0,,
41,2006,2006-11-12,9,23.179,JAX,,HOU,L 10-13,*,4,1,12,12.00,0,25.0%,3.00,0,0,,0,0,0,0.0,,
42,2006,2006-11-20,10,23.187,JAX,,NYG,W 26-10,*,5,1,5,5.00,0,20.0%,1.00,1,10,10.00,0,0,0,0.0,,
43,2006,2006-11-26,11,23.193,JAX,@,BUF,L 24-27,*,4,4,31,7.75,0,100.0%,7.75,0,0,,0,0,0,0.0,,
44,2006,2006-12-03,12,23.200,JAX,@,MIA,W 24-10,*,7,5,42,8.40,0,71.4%,6.00,1,4,4.00,0,0,0,0.0,,
45,2006,2006-12-10,13,23.207,JAX,,IND,W 44-17,*,3,3,16,5.33,0,100.0%,5.33,0,0,,0,0,0,0.0,,
46,2006,2006-12-17,14,23.214,JAX,@,TEN,L 17-24,*,7,4,88,22.00,0,57.1%,12.57,0,0,,0,0,0,0.0,,
47,2006,2006-12-24,15,23.221,JAX,,NWE,L 21-24,*,4,2,9,4.50,0,50.0%,2.25,0,0,,0,0,0,0.0,,
48,2006,2006-12-31,16,23.228,JAX,@,KAN,L 30-35,,9,6,90,15.00,0,66.7%,10.00,0,0,,0,0,0,0.0,,
49,2007,2007-09-16,2,24.122,JAX,,ATL,W 13-7,,3,2,41,20.50,1,66.7%,13.67,0,0,,0,1,6,0.0,,
50,2007,2007-09-23,3,24.129,JAX,@,DEN,W 23-14,,3,2,11,5.50,1,66.7%,3.67,0,0,,0,1,6,0.0,,
51,2007,2007-10-07,4,24.143,JAX,@,KAN,W 17-7,,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,0.0,,
52,2007,2007-10-14,5,24.150,JAX,,HOU,W 37-17,,5,5,38,7.60,1,100.0%,7.60,0,0,,0,1,6,0.0,,
53,2007,2007-10-22,6,24.158,JAX,,IND,L 7-29,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
54,2007,2007-10-28,7,24.164,JAX,@,TAM,W 24-23,,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,0.0,,
55,2007,2007-11-04,8,24.171,JAX,@,NOR,L 24-41,,8,6,128,21.33,1,75.0%,16.00,0,0,,0,1,6,0.0,,
56,2007,2007-11-11,9,24.178,JAX,@,TEN,W 28-13,*,3,1,13,13.00,0,33.3%,4.33,0,0,,0,0,0,0.0,,
57,2007,2007-11-18,10,24.185,JAX,,SDG,W 24-17,*,3,2,62,31.00,1,66.7%,20.67,0,0,,0,1,6,0.0,,
58,2007,2007-11-25,11,24.192,JAX,,BUF,W 36-14,,1,1,59,59.00,1,100.0%,59.00,0,0,,0,1,6,0.0,,
59,2007,2007-12-02,12,24.199,JAX,@,IND,L 25-28,*,8,4,69,17.25,0,50.0%,8.63,0,0,,0,0,0,0.0,,
60,2007,2007-12-09,13,24.206,JAX,,CAR,W 37-6,*,7,5,90,18.00,1,71.4%,12.86,0,0,,0,1,6,0.0,,
61,2007,2007-12-16,14,24.213,JAX,@,PIT,W 29-22,,5,1,3,3.00,1,20.0%,0.60,0,0,,0,1,6,0.0,,
62,2007,2007-12-23,15,24.220,JAX,,OAK,W 49-11,*,4,3,49,16.33,1,75.0%,12.25,0,0,,0,1,6,0.0,,
63,2007,2007-12-30,16,24.227,JAX,@,HOU,L 28-42,*,4,3,37,12.33,1,75.0%,9.25,1,8,8.00,0,1,6,0.0,,
64,2008,2008-09-07,1,25.113,JAX,@,TEN,L 10-17,*,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0,0.0,0,0
65,2008,2008-09-14,2,25.120,JAX,,BUF,L 16-20,*,5,4,36,9.00,0,80.0%,7.20,0,0,,0,0,0,0.0,0,0
66,2008,2008-09-21,3,25.127,JAX,@,IND,W 23-21,*,2,0,0,,0,0.0%,0.00,1,0,0.00,0,0,0,0.0,1,0
67,2008,2008-09-28,4,25.134,JAX,,HOU,W 30-27,*,5,4,46,11.50,0,80.0%,9.20,0,0,,0,0,0,0.0,0,0
68,2008,2008-10-05,5,25.141,JAX,,PIT,L 21-26,*,2,,,,,0.0%,,,,,,,,,,
69,2008,2008-10-12,6,25.148,JAX,@,DEN,W 24-17,*,4,4,21,5.25,0,100.0%,5.25,0,0,,0,0,0,0.0,0,0
70,2008,2008-10-26,7,25.162,JAX,,CLE,L 17-23,*,3,3,42,14.00,1,100.0%,14.00,0,0,,0,1,6,0.0,0,0
71,2008,2008-11-02,8,25.169,JAX,@,CIN,L 19-21,,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,0.0,0,0
72,2008,2008-11-09,9,25.176,JAX,@,DET,W 38-14,*,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,0.0,0,0
73,2008,2008-11-16,10,25.183,JAX,,TEN,L 14-24,,,,,,,0.0%,,,,,,,,,,
