ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,2002,2002-09-08,1,24.131,CHI,,MIN,W 27-23,,,,,,,,,
2,2002,2002-09-15,2,24.138,CHI,@,ATL,W 14-13,,,,,,,,,
3,2002,2002-09-22,3,24.145,CHI,,NOR,L 23-29,,,,,,,,,
4,2003,2003-09-07,1,25.130,CHI,@,SFO,L 7-49,,,,,,,,,
5,2003,2003-09-14,2,25.137,CHI,@,MIN,L 13-24,*,,,,,,,,
6,2003,2003-09-29,3,25.152,CHI,,GNB,L 23-38,,,,,,,,,
7,2003,2003-10-05,4,25.158,CHI,,OAK,W 24-21,,,,,,,,,
8,2003,2003-10-12,5,25.165,CHI,@,NOR,L 13-20,,,,,,,,,
9,2003,2003-10-19,6,25.172,CHI,@,SEA,L 17-24,,,,,,,,,
10,2003,2003-10-26,7,25.179,CHI,,DET,W 24-16,*,,,,,,,,
11,2003,2003-11-02,8,25.186,CHI,,SDG,W 20-7,*,,,,,,,,
12,2003,2003-11-09,9,25.193,CHI,@,DET,L 10-12,,,,,,,,,
13,2003,2003-11-16,10,25.200,CHI,,STL,L 21-23,,,,,,,,,
14,2003,2003-11-23,11,25.207,CHI,@,DEN,W 19-10,*,0,0,,0,1.0,0,0,0
15,2003,2003-11-30,12,25.214,CHI,,ARI,W 28-3,*,,,,,,,,
16,2003,2003-12-07,13,25.221,CHI,@,GNB,L 21-34,*,,,,,,,,
17,2003,2003-12-14,14,25.228,CHI,,MIN,W 13-10,*,,,,,,,,
18,2003,2003-12-21,15,25.235,CHI,,WAS,W 27-24,*,,,,,,,,
19,2003,2003-12-28,16,25.242,CHI,@,KAN,L 3-31,*,,,,,,,,
20,2004,2004-09-12,1,26.135,CHI,,DET,L 16-20,,,,,,,,,
21,2004,2004-09-19,2,26.142,CHI,@,GNB,W 21-10,*,0,0,,0,0.0,1,31,0
22,2004,2004-09-26,3,26.149,CHI,@,MIN,L 22-27,*,,,,,,,,
23,2004,2004-10-03,4,26.156,CHI,,PHI,L 9-19,,,,,,,,,
24,2004,2004-10-17,5,26.170,CHI,,WAS,L 10-13,,0,9,,0,,,,
25,2004,2004-11-25,11,26.209,CHI,@,DAL,L 7-21,,,,,,,,,
26,2004,2004-12-05,12,26.219,CHI,,MIN,W 24-14,,,,,,,,,
27,2004,2004-12-12,13,26.226,CHI,@,JAX,L 3-22,,,,,,,,,
28,2004,2004-12-19,14,26.233,CHI,,HOU,L 5-24,*,,,,,,,,
29,2004,2005-01-02,16,26.247,CHI,,GNB,L 14-31,*,,,,,,,,
