ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1969,1969-10-19,6,23.039,MIA,@,KAN,L 10-17,1,1,1.00,0,0,0,,0,0,0,,0
2,1969,1969-10-26,7,23.046,MIA,,BUF,W 24-6,0,0,,0,0,0,,0,1,22,22.00,0
3,1969,1969-11-16,10,23.067,MIA,@,BUF,L 3-28,1,22,22.00,0,0,0,,0,0,0,,0
4,1969,1969-11-23,11,23.074,MIA,,HOU,L 7-32,0,0,,0,1,7,7.00,0,0,0,,0
5,1970,1970-12-20,14,24.101,KAN,@,SDG,L 13-31,,,,,,,,,,,,
