ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1961,1961-09-24,3,22.295,DEN,@,NYT,L 28-35,3,6,2.00,0,4,10,2.50,0,0,0,,0,0,0,0,0,0
2,1961,1961-10-22,7,22.323,DEN,,NYT,W 27-10,0,0,,0,0,0,,0,0,0,,0,0,0,1,40,0
3,1961,1961-11-26,12,22.358,DEN,@,HOU,L 14-45,3,-2,-0.67,0,2,14,7.00,1,0,0,,0,1,6,0,0,0
4,1961,1961-12-03,13,23.000,DEN,,BOS,L 24-28,8,18,2.25,0,3,23,7.67,0,0,0,,0,0,0,0,0,0
5,1961,1961-12-10,14,23.007,DEN,@,DTX,L 21-49,4,-14,-3.50,0,2,11,5.50,0,1,6,6.00,0,0,0,0,0,0
6,1962,1962-09-07,1,23.278,DEN,,SDG,W 30-21,1,8,8.00,0,3,37,12.33,0,0,0,,0,0,0,0,0,0
7,1962,1962-09-15,2,23.286,DEN,@,BUF,W 23-20,2,6,3.00,0,4,31,7.75,0,0,0,,0,0,0,0,0,0
8,1962,1962-09-21,3,23.292,DEN,@,BOS,L 16-41,1,6,6.00,0,0,0,,0,0,0,,0,0,0,0,0,0
9,1962,1962-09-30,4,23.301,DEN,@,NYT,W 32-10,1,3,3.00,0,2,17,8.50,0,0,0,,0,0,0,0,0,0
10,1962,1962-10-05,5,23.306,DEN,,OAK,W 44-7,4,16,4.00,0,0,0,,0,0,0,,0,0,0,0,0,0
11,1962,1962-11-04,9,23.336,DEN,@,SDG,W 23-20,5,17,3.40,0,1,13,13.00,0,1,6,6.00,0,0,0,0,0,0
12,1962,1962-11-11,10,23.343,DEN,,BOS,L 29-33,2,4,2.00,0,0,0,,0,1,21,21.00,0,0,0,0,0,0
13,1962,1962-11-18,11,23.350,DEN,,DTX,L 3-24,3,14,4.67,0,1,8,8.00,0,0,0,,0,0,0,0,0,0
14,1962,1962-12-02,13,23.364,DEN,@,HOU,L 17-34,2,13,6.50,1,2,3,1.50,0,0,0,,0,1,6,0,0,0
