ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1967,1967-10-01,3,21.338,CLE,@,NOR,W 42-7,6,7,1.17,0,0,0,,0
2,1967,1967-10-29,7,22.001,CLE,@,NYG,L 34-38,1,16,16.00,0,0,0,,0
3,1967,1967-11-05,8,22.008,CLE,@,PIT,W 34-14,4,20,5.00,0,0,0,,0
4,1967,1967-11-12,9,22.015,CLE,@,GNB,L 7-55,0,0,,0,3,40,13.33,0
5,1967,1967-12-17,14,22.050,CLE,@,PHI,L 24-28,9,35,3.89,0,3,28,9.33,0
6,1968,1968-09-29,3,22.337,PHI,,DAL,L 13-45,6,13,2.17,0,0,0,,0
7,1968,1968-12-15,14,23.048,PHI,,MIN,L 17-24,2,8,4.00,0,0,0,,0
8,1969,1969-12-13,13,24.046,BAL,@,DAL,L 10-27,1,0,0.00,0,0,0,,0
9,1970,1970-09-28,2,24.335,BAL,,KAN,L 24-44,,,,,,,,
10,1970,1970-10-04,3,24.341,BAL,@,BOS,W 14-6,1,3,3.00,0,0,0,,0
11,1970,1970-10-11,4,24.348,BAL,@,HOU,W 24-20,,,,,,,,
