ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2005,2005-09-18,2,21.353,TEN,,BAL,W 25-10,,0,0,,0,0,0,0,,0,0.0%,,1,23,23.00,0,0,0,,0,0,0,0.0,,,0,0,0
2,2005,2005-09-25,3,21.360,TEN,@,STL,L 27-31,,0,0,,0,0,0,0,,0,0.0%,,4,109,27.25,0,0,0,,0,0,0,0.0,,,0,0,0
3,2005,2005-10-02,4,22.002,TEN,,IND,L 10-31,*,0,0,,0,0,0,0,,0,0.0%,,4,95,23.75,0,0,0,,0,0,0,0.0,,,0,0,0
4,2005,2005-10-09,5,22.009,TEN,@,HOU,W 34-20,*,0,0,,0,0,0,0,,0,0.0%,,4,145,36.25,0,0,0,,0,0,0,0.0,,,0,0,0
5,2005,2005-10-16,6,22.016,TEN,,CIN,L 23-31,*,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
6,2005,2005-10-23,7,22.023,TEN,@,ARI,L 10-20,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,6,38,6.33,0,0,0,0.0,,,0,0,0
7,2005,2005-10-30,8,22.030,TEN,,OAK,L 25-34,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,2,39,19.50,0,0,0,0.0,,,0,0,0
8,2005,2005-11-06,9,22.037,TEN,@,CLE,L 14-20,*,0,0,,0,0,0,0,,0,0.0%,,5,76,15.20,0,0,0,,0,0,0,0.0,,,0,0,0
9,2005,2005-11-20,10,22.051,TEN,,JAX,L 28-31,*,0,0,,0,0,0,0,,0,0.0%,,6,196,32.67,0,3,30,10.00,0,0,0,0.0,,,0,0,0
10,2005,2005-11-27,11,22.058,TEN,,SFO,W 33-22,*,0,0,,0,0,0,0,,0,0.0%,,1,16,16.00,0,4,42,10.50,0,0,0,0.0,,,0,0,0
