ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,def_int,def_int_yds,def_int_td
1,1992,1992-09-13,2,24.295,KAN,,SEA,W 26-7,,,
2,1992,1992-09-20,3,24.302,KAN,@,HOU,L 20-23,,,
3,1992,1992-09-28,4,24.310,KAN,,RAI,W 27-7,,,
4,1992,1992-10-04,5,24.316,KAN,@,DEN,L 19-20,,,
5,1992,1992-12-06,13,25.013,MIA,@,SFO,L 3-27,,,
6,1992,1992-12-14,14,25.021,MIA,,RAI,W 20-7,,,
7,1992,1992-12-20,15,25.027,MIA,,NYJ,W 19-17,,,
8,1992,1992-12-27,16,25.034,MIA,@,NWE,W 16-13,,,
9,1993,1993-09-05,1,25.286,MIA,@,IND,W 24-20,,,
10,1993,1993-09-12,2,25.293,MIA,,NYJ,L 14-24,,,
11,1993,1993-09-26,3,25.307,MIA,@,BUF,W 22-13,,,
12,1993,1993-10-04,4,25.315,MIA,,WAS,W 17-10,,,
13,1993,1993-10-10,5,25.321,MIA,@,CLE,W 24-14,,,
14,1993,1993-10-24,6,25.335,MIA,,IND,W 41-27,,,
15,1993,1993-10-31,7,25.342,MIA,,KAN,W 30-10,,,
16,1993,1993-11-07,8,25.349,MIA,@,NYJ,L 10-27,,,
17,1993,1993-11-14,9,25.356,MIA,@,PHI,W 19-14,,,
18,1993,1993-11-21,10,25.363,MIA,,NWE,W 17-13,,,
19,1993,1993-11-25,11,26.002,MIA,@,DAL,W 16-14,,,
20,1993,1993-12-05,12,26.012,MIA,,NYG,L 14-19,,,
21,1993,1993-12-13,13,26.020,MIA,,PIT,L 20-21,,,
22,1993,1993-12-19,14,26.026,MIA,,BUF,L 34-47,,,
23,1993,1993-12-27,15,26.034,MIA,@,SDG,L 20-45,,,
24,1993,1994-01-02,16,26.040,MIA,@,NWE,L 27-33,,,
25,1994,1994-09-11,2,26.292,MIA,@,GNB,W 24-14,,,
26,1994,1994-09-18,3,26.299,MIA,,NYJ,W 28-14,1,0,0
27,1994,1994-09-25,4,26.306,MIA,@,MIN,L 35-38,,,
28,1994,1994-10-02,5,26.313,MIA,@,CIN,W 23-7,,,
29,1994,1994-10-09,6,26.320,MIA,@,BUF,L 11-21,,,
