ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1973,1973-09-16,1,24.354,STL,@,PHI,W 34-23,3,6,2.00,0,3,59,19.67,0,0,0
2,1973,1973-09-23,2,24.361,STL,,WAS,W 34-27,5,8,1.60,0,0,0,,0,0,0
3,1973,1973-09-30,3,25.003,STL,@,DAL,L 10-45,,,,,,,,,,
4,1973,1973-10-07,4,25.010,STL,,OAK,L 10-17,6,27,4.50,0,0,0,,0,0,0
5,1973,1973-10-14,5,25.017,STL,,PHI,L 24-27,0,0,,0,1,19,19.00,0,0,0
6,1974,1974-10-06,4,26.009,STL,@,SFO,W 34-9,4,13,3.25,0,0,0,,0,0,0
7,1974,1974-10-13,5,26.016,STL,,DAL,W 31-28,0,0,,0,1,16,16.00,0,0,0
8,1974,1974-10-20,6,26.023,STL,@,HOU,W 31-27,,,,,,,,,,
9,1974,1974-10-27,7,26.030,STL,,WAS,W 23-20,0,0,,0,1,19,19.00,0,0,0
10,1974,1974-11-03,8,26.037,STL,@,DAL,L 14-17,0,0,,0,1,21,21.00,0,0,0
11,1974,1974-11-11,9,26.045,STL,,MIN,L 24-28,0,0,,0,1,12,12.00,0,0,0
12,1974,1974-11-17,10,26.051,STL,@,PHI,W 13-3,,,,,,,,,,
13,1974,1974-11-24,11,26.058,STL,@,NYG,W 23-21,0,0,,0,1,16,16.00,0,0,0
14,1974,1974-12-01,12,26.065,STL,,KAN,L 13-17,,,,,,,,,,
15,1974,1974-12-08,13,26.072,STL,@,NOR,L 0-14,0,0,,0,3,49,16.33,0,0,0
16,1974,1974-12-15,14,26.079,STL,,NYG,W 26-14,,,,,,,,,,
17,1975,1975-09-21,1,26.359,STL,,ATL,W 23-20,,,,,,,,,,
18,1975,1975-10-05,3,27.008,STL,,NYG,W 26-14,,,,,,,,,,
19,1975,1975-10-13,4,27.016,STL,@,WAS,L 17-27,,,,,,,,,,
20,1975,1975-10-19,5,27.022,STL,,PHI,W 31-20,4,12,3.00,1,0,0,,0,1,6
21,1975,1975-10-25,6,27.028,STL,@,NYG,W 20-13,0,0,,0,1,21,21.00,0,0,0
22,1975,1975-11-02,7,27.036,STL,,NWE,W 24-17,,,,,,,,,,
23,1975,1975-11-09,8,27.043,STL,@,PHI,W 24-23,,,,,,,,,,
24,1975,1975-11-16,9,27.050,STL,,WAS,W 20-17,,,,,,,,,,
25,1976,1976-12-04,13,28.068,STL,,BAL,W 24-17,,,,,,,,,,
26,1976,1976-12-12,14,28.076,STL,@,NYG,W 17-14,,,,,,,,,,
27,1977,1977-10-23,6,29.026,WAS,,NYG,L 6-17,,,,,,,,,,
28,1977,1977-10-30,7,29.033,WAS,,PHI,W 23-17,,,,,,,,,,
29,1977,1977-11-07,8,29.041,WAS,@,BAL,L 3-10,,,,,,,,,,
30,1977,1977-11-13,9,29.047,WAS,@,PHI,W 17-14,,,,,,,,,,
31,1977,1977-11-21,10,29.055,WAS,,GNB,W 10-9,0,0,,0,1,14,14.00,0,0,0
32,1977,1977-11-27,11,29.061,WAS,,DAL,L 7-14,,,,,,,,,,
33,1977,1977-12-04,12,29.068,WAS,@,BUF,W 10-0,,,,,,,,,,
34,1977,1977-12-10,13,29.074,WAS,@,STL,W 26-20,0,0,,0,1,21,21.00,0,0,0
35,1977,1977-12-17,14,29.081,WAS,,RAM,W 17-14,,,,,,,,,,
