ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1992,1992-09-06,1,22.130,PHI,,NOR,W 15-13,,,,,,,
2,1992,1992-09-13,2,22.137,PHI,@,PHO,W 31-14,,,,,,,
3,1992,1992-09-20,3,22.144,PHI,,DEN,W 30-0,,,,,,,
4,1992,1992-10-05,4,22.159,PHI,,DAL,W 31-7,,,,,,,
5,1992,1992-10-11,5,22.165,PHI,@,KAN,L 17-24,,,,,,,
6,1992,1992-10-18,6,22.172,PHI,@,WAS,L 12-16,,,,,,,
7,1992,1992-10-25,7,22.179,PHI,,PHO,W 7-3,,,,,,,
8,1992,1992-11-01,8,22.186,PHI,@,DAL,L 10-20,,,,,,,
9,1992,1992-11-08,9,22.193,PHI,,RAI,W 31-10,,,,,,,
10,1992,1992-11-15,10,22.200,PHI,@,GNB,L 24-27,,,,,,,
11,1992,1992-11-22,11,22.207,PHI,@,NYG,W 47-34,,,,,,,
12,1992,1992-11-29,12,22.214,PHI,@,SFO,L 14-20,,,,,,,
13,1992,1992-12-06,13,22.221,PHI,,MIN,W 28-17,,,,,,,
14,1992,1992-12-13,14,22.228,PHI,@,SEA,W 20-17,,0,0,0.0,1,0,0
15,1992,1992-12-20,15,22.235,PHI,,WAS,W 17-13,,,,,,,
16,1992,1992-12-27,16,22.242,PHI,,NYG,W 20-10,,,,,,,
17,1993,1993-09-05,1,23.129,PHI,,PHO,W 23-17,,,,,,,
18,1993,1993-09-12,2,23.136,PHI,@,GNB,W 20-17,,,,,,,
19,1993,1993-09-19,3,23.143,PHI,,WAS,W 34-31,,,,,,,
20,1993,1993-10-03,4,23.157,PHI,@,NYJ,W 35-30,,,,,,,
21,1993,1993-10-10,5,23.164,PHI,,CHI,L 6-17,,,,,,,
22,1993,1993-10-17,6,23.171,PHI,@,NYG,L 10-21,,0,0,0.0,2,25,0
23,1993,1993-10-31,7,23.185,PHI,,DAL,L 10-23,,,,,,,
24,1993,1993-11-07,8,23.192,PHI,@,PHO,L 3-16,,,,,,,
25,1993,1993-11-14,9,23.199,PHI,,MIA,L 14-19,,,,,,,
26,1993,1993-11-21,10,23.206,PHI,,NYG,L 3-7,,,,,,,
27,1993,1993-11-28,11,23.213,PHI,@,WAS,W 17-14,,,,,,,
28,1993,1993-12-06,12,23.221,PHI,@,DAL,L 17-23,,,,,,,
29,1993,1993-12-12,13,23.227,PHI,,BUF,L 7-10,,,,,,,
30,1993,1993-12-19,14,23.234,PHI,@,IND,W 20-10,,,,,,,
31,1993,1993-12-26,15,23.241,PHI,,NOR,W 37-26,,,,,,,
32,1993,1994-01-03,16,23.249,PHI,@,SFO,W 37-34,,,,,,,
33,1994,1994-09-04,1,24.128,PHI,@,NYG,L 23-28,,0,0,0.0,1,-3,0
34,1994,1994-09-12,2,24.136,PHI,,CHI,W 30-22,,,,,,,
35,1994,1994-09-18,3,24.142,PHI,,GNB,W 13-7,,,,,,,
36,1994,1994-10-02,4,24.156,PHI,@,SFO,W 40-8,,,,,,,
37,1994,1994-10-09,5,24.163,PHI,,WAS,W 21-17,,,,,,,
38,1994,1994-10-16,6,24.170,PHI,@,DAL,L 13-24,,,,,,,
39,1994,1994-10-24,7,24.178,PHI,,HOU,W 21-6,,,,,,,
40,1994,1994-10-30,8,24.184,PHI,@,WAS,W 31-29,,0,0,0.0,1,5,0
41,1994,1994-11-06,9,24.191,PHI,,ARI,W 17-7,,,,,,,
42,1994,1994-11-13,10,24.198,PHI,,CLE,L 7-26,,,,,,,
43,1994,1994-11-20,11,24.205,PHI,@,ARI,L 6-12,,,,,,,
44,1994,1994-11-27,12,24.212,PHI,@,ATL,L 21-28,,,,,,,
45,1994,1994-12-04,13,24.219,PHI,,DAL,L 19-31,,,,,,,
46,1994,1994-12-11,14,24.226,PHI,@,PIT,L 3-14,,,,,,,
47,1994,1994-12-18,15,24.233,PHI,,NYG,L 13-16,,,,,,,
48,1994,1994-12-24,16,24.239,PHI,@,CIN,L 30-33,,,,,,,
49,1995,1995-09-03,1,25.127,PHI,,TAM,L 6-21,,,,,,,
50,1995,1995-09-10,2,25.134,PHI,@,ARI,W 31-19,,,,,,,
51,1995,1995-09-17,3,25.141,PHI,,SDG,L 21-27,,,,,,,
52,1995,1995-09-24,4,25.148,PHI,@,OAK,L 17-48,,0,0,0.0,1,1,0
53,1995,1995-10-01,5,25.155,PHI,@,NOR,W 15-10,,,,,,,
54,1995,1995-10-08,6,25.162,PHI,,WAS,W 37-34,,,,,,,
55,1995,1995-10-15,7,25.169,PHI,@,NYG,W 17-14,,,,,,,
56,1995,1995-10-29,8,25.183,PHI,,STL,W 20-9,,0,0,0.0,1,19,0
57,1995,1995-11-06,9,25.191,PHI,@,DAL,L 12-34,,,,,,,
58,1995,1995-11-12,10,25.197,PHI,,DEN,W 31-13,,,,,,,
59,1995,1995-11-19,11,25.204,PHI,,NYG,W 28-19,,0,0,0.0,1,7,0
60,1995,1995-11-26,12,25.211,PHI,@,WAS,W 14-7,,,,,,,
61,1995,1995-12-03,13,25.218,PHI,@,SEA,L 14-26,,,,,,,
62,1995,1995-12-10,14,25.225,PHI,,DAL,W 20-17,,,,,,,
63,1995,1995-12-17,15,25.232,PHI,,ARI,W 21-20,,,,,,,
64,1995,1995-12-24,16,25.239,PHI,@,CHI,L 14-20,,,,,,,
65,1996,1996-09-01,1,26.125,NOR,@,SFO,L 11-27,,,,,,,
66,1996,1996-09-08,2,26.132,NOR,,CAR,L 20-22,,,,,,,
67,1996,1996-09-15,3,26.139,NOR,@,CIN,L 15-30,,,,,,,
68,1996,1996-09-22,4,26.146,NOR,,ARI,L 14-28,,,,,,,
69,1996,1996-10-06,6,26.160,NOR,,JAX,W 17-13,,,,,,,
70,1996,1996-10-13,7,26.167,NOR,,CHI,W 27-24,,,,,,,
71,1996,1996-10-20,8,26.174,NOR,@,CAR,L 7-19,,,,,,,
72,1996,1996-11-03,9,26.188,NOR,,SFO,L 17-24,,,,,,,
73,1996,1996-11-10,10,26.195,NOR,,HOU,L 14-31,,,,,,,
74,1996,1996-11-17,11,26.202,NOR,@,ATL,L 15-17,,,,,,,
75,1996,1996-11-24,12,26.209,NOR,@,TAM,L 7-13,,,,,,,
76,1996,1996-12-01,13,26.216,NOR,,STL,L 10-26,,,,,,,
77,1996,1996-12-08,14,26.223,NOR,,ATL,L 15-31,,,,,,,
