ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1967,1967-09-24,2,25.292,BAL,@,PHI,W 38-6,1,6,6.00,0,0,0,,0,0,0
2,1967,1967-10-01,3,25.299,BAL,,SFO,W 41-7,5,110,22.00,2,0,0,,0,2,12
3,1967,1967-10-08,4,25.306,BAL,@,CHI,W 24-3,3,17,5.67,0,0,0,,0,0,0
4,1967,1967-11-12,9,25.341,BAL,@,ATL,W 49-7,5,134,26.80,0,0,0,,0,0,0
5,1967,1967-11-19,10,25.348,BAL,,DET,W 41-7,2,35,17.50,0,0,0,,0,0,0
6,1968,1968-09-15,1,26.284,BAL,,SFO,W 27-10,1,18,18.00,0,0,0,,0,0,0
7,1968,1968-09-22,2,26.291,BAL,@,ATL,W 28-20,2,30,15.00,1,0,0,,0,1,6
8,1968,1968-11-03,8,26.333,BAL,@,NYG,W 26-0,2,39,19.50,0,0,0,,0,0,0
9,1968,1968-12-01,12,26.361,BAL,,ATL,W 44-0,4,56,14.00,0,0,0,,0,0,0
10,1968,1968-12-07,13,27.001,BAL,@,GNB,W 16-3,3,55,18.33,0,0,0,,0,0,0
11,1968,1968-12-15,14,27.009,BAL,@,RAM,W 28-24,3,29,9.67,0,0,0,,0,0,0
12,1969,1969-09-21,1,27.289,BAL,,RAM,L 20-27,4,75,18.75,0,0,0,,0,0,0
13,1969,1969-10-05,3,27.303,BAL,@,ATL,W 21-14,3,47,15.67,0,0,0,,0,0,0
14,1969,1969-10-13,4,27.311,BAL,,PHI,W 24-20,4,52,13.00,0,0,0,,0,0,0
15,1969,1969-10-19,5,27.317,BAL,@,NOR,W 30-10,1,47,47.00,1,0,0,,0,1,6
16,1969,1969-11-09,8,27.338,BAL,,GNB,W 14-6,4,24,6.00,1,0,0,,0,1,6
17,1969,1969-11-16,9,27.345,BAL,@,SFO,L 17-20,4,41,10.25,1,0,0,,0,1,6
18,1969,1969-11-23,10,27.352,BAL,@,CHI,W 24-21,2,36,18.00,0,0,0,,0,0,0
19,1969,1969-11-30,11,27.359,BAL,,ATL,W 13-6,3,45,15.00,0,2,25,12.50,0,0,0
20,1969,1969-12-21,14,28.015,BAL,@,RAM,W 13-7,3,24,8.00,0,1,11,11.00,0,0,0
21,1970,1970-09-28,2,28.296,BAL,,KAN,L 24-44,2,41,20.50,0,0,0,,0,0,0
22,1970,1970-10-11,4,28.309,BAL,@,HOU,W 24-20,,,,,,,,,,
23,1970,1970-10-18,5,28.316,BAL,@,NYJ,W 29-22,,,,,,,,,,
24,1970,1970-10-25,6,28.323,BAL,,BOS,W 27-3,,,,,,,,,,
25,1970,1970-11-01,7,28.330,BAL,,MIA,W 35-0,,,,,,,,,,
26,1970,1970-11-09,8,28.338,BAL,@,GNB,W 13-10,2,40,20.00,0,0,0,,0,0,0
27,1970,1970-11-15,9,28.344,BAL,,BUF,T 17-17,1,14,14.00,0,1,2,2.00,0,0,0
28,1970,1970-11-22,10,28.351,BAL,@,MIA,L 17-34,,,,,,,,,,
29,1970,1970-12-06,12,29.000,BAL,,PHI,W 29-10,,,,,,,,,,
30,1970,1970-12-13,13,29.007,BAL,@,BUF,W 20-14,2,22,11.00,0,0,0,,0,0,0
31,1970,1970-12-19,14,29.013,BAL,,NYJ,W 35-20,3,77,25.67,1,1,4,4.00,0,1,6
32,1971,1971-09-19,1,29.287,BAL,,NYJ,W 22-0,2,49,24.50,0,0,0,,0,0,0
33,1971,1971-09-26,2,29.294,BAL,,CLE,L 13-14,1,11,11.00,0,0,0,,0,0,0
34,1971,1971-10-03,3,29.301,BAL,@,NWE,W 23-3,0,0,,0,1,18,18.00,0,0,0
35,1971,1971-10-10,4,29.308,BAL,@,BUF,W 43-0,,,,,,,,,,
36,1971,1971-10-17,5,29.315,BAL,@,NYG,W 31-7,3,37,12.33,2,0,0,,0,2,12
37,1971,1971-10-25,6,29.323,BAL,@,MIN,L 3-10,2,32,16.00,0,0,0,,0,0,0
38,1971,1971-10-31,7,29.329,BAL,,PIT,W 34-21,2,124,62.00,1,0,0,,0,1,6
39,1971,1971-11-08,8,29.337,BAL,,RAM,W 24-17,3,31,10.33,0,1,2,2.00,0,0,0
40,1971,1971-11-14,9,29.343,BAL,@,NYJ,W 14-13,4,86,21.50,0,0,0,,0,0,0
41,1971,1971-11-21,10,29.350,BAL,@,MIA,L 14-17,1,8,8.00,0,2,13,6.50,0,0,0
42,1971,1971-11-28,11,29.357,BAL,@,OAK,W 37-14,,,,,,,,,,
43,1971,1971-12-05,12,29.364,BAL,,BUF,W 24-0,2,14,7.00,1,0,0,,0,1,6
44,1971,1971-12-11,13,30.005,BAL,,MIA,W 14-3,2,19,9.50,0,0,0,,0,0,0
45,1971,1971-12-19,14,30.013,BAL,,NWE,L 17-21,2,13,6.50,0,1,2,2.00,0,0,0
