ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2014,2014-09-21,3,22.166,DAL,@,STL,W 34-31,,,,,,,0.0%,,,,,,,,
2,2014,2014-10-05,5,22.180,DAL,,HOU,W 20-17,,,,,,,0.0%,,,,,,,,
3,2014,2014-10-19,7,22.194,DAL,,NYG,W 31-21,,,,,,,0.0%,,,,,,,,
4,2014,2014-11-02,9,22.208,DAL,,ARI,L 17-28,,,,,,,0.0%,,,,,,,,
5,2014,2014-11-09,10,22.215,DAL,@,JAX,W 31-17,,0,0,0,,0,0.0%,,0,0,,0,0.0,2,0
6,2014,2014-11-27,12,22.233,DAL,,PHI,L 10-33,,,,,,,0.0%,,,,,,,,
7,2014,2014-12-04,13,22.240,DAL,@,CHI,W 41-28,,,,,,,0.0%,,,,,,,,
8,2014,2014-12-14,14,22.250,DAL,@,PHI,W 38-27,,,,,,,0.0%,,,,,,,,
9,2014,2014-12-21,15,22.257,DAL,,IND,W 42-7,,0,0,0,,0,0.0%,,0,0,,0,0.0,2,1
10,2014,2014-12-28,16,22.264,DAL,@,WAS,W 44-17,,0,0,0,,0,0.0%,,0,0,,0,0.0,3,0
11,2015,2015-09-13,1,23.158,DAL,,NYG,W 27-26,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
12,2015,2015-09-20,2,23.165,DAL,@,PHI,W 20-10,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
13,2015,2015-09-27,3,23.172,DAL,,ATL,L 28-39,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
14,2015,2015-10-04,4,23.179,DAL,@,NOR,L 20-26,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
15,2015,2015-11-15,9,23.221,DAL,@,TAM,L 6-10,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
16,2016,2016-09-11,1,24.156,DAL,,NYG,L 19-20,,0,0,0,,0,0.0%,,1,3,3.00,0,0.0,0,0
17,2016,2016-09-18,2,24.163,DAL,@,WAS,W 27-23,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0.0,0,0
18,2016,2016-09-25,3,24.170,DAL,,CHI,W 31-17,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
19,2016,2016-10-02,4,24.177,DAL,@,SFO,W 24-17,,1,1,14,14.00,0,100.0%,14.00,1,2,2.00,0,0.0,0,0
20,2016,2016-10-09,5,24.184,DAL,,CIN,W 28-14,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
21,2016,2016-10-16,6,24.191,DAL,@,GNB,W 30-16,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
22,2016,2016-10-30,7,24.205,DAL,,PHI,W 29-23,,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0.0,0,0
23,2016,2016-11-06,8,24.212,DAL,@,CLE,W 35-10,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
24,2016,2016-11-13,9,24.219,DAL,@,PIT,W 35-30,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
25,2016,2016-11-20,10,24.226,DAL,,BAL,W 27-17,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
26,2016,2016-11-24,11,24.230,DAL,,WAS,W 31-26,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
27,2016,2016-12-01,12,24.237,DAL,@,MIN,W 17-15,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
28,2016,2016-12-11,13,24.247,DAL,@,NYG,L 7-10,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
29,2016,2016-12-18,14,24.254,DAL,,TAM,W 26-20,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
30,2016,2016-12-26,15,24.262,DAL,,DET,W 42-21,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
31,2016,2017-01-01,16,24.268,DAL,@,PHI,L 13-27,*,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
32,2017,2017-09-10,1,25.155,DAL,,NYG,W 19-3,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
33,2017,2017-09-17,2,25.162,DAL,@,DEN,L 17-42,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
34,2017,2017-09-25,3,25.170,DAL,@,ARI,W 28-17,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
35,2017,2017-10-01,4,25.176,DAL,,LAR,L 30-35,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
36,2017,2017-10-08,5,25.183,DAL,,GNB,L 31-35,*,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0.0,0,0
37,2017,2017-10-22,6,25.197,DAL,@,SFO,W 40-10,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
38,2017,2017-10-29,7,25.204,DAL,@,WAS,W 33-19,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
39,2017,2017-11-05,8,25.211,DAL,,KAN,W 28-17,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
40,2017,2017-11-12,9,25.218,DAL,@,ATL,L 7-27,,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0.0,0,0
41,2017,2017-11-19,10,25.225,DAL,,PHI,L 9-37,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
42,2017,2017-11-23,11,25.229,DAL,,LAC,L 6-28,*,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
43,2017,2017-11-30,12,25.236,DAL,,WAS,W 38-14,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
44,2017,2017-12-10,13,25.246,DAL,@,NYG,W 30-10,*,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0.0,0,0
45,2017,2017-12-17,14,25.253,DAL,@,OAK,W 20-17,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0.0,0,0
46,2017,2017-12-24,15,25.260,DAL,,SEA,L 12-21,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
47,2017,2017-12-31,16,25.267,DAL,@,PHI,W 6-0,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
48,2018,2018-09-10,1,26.155,OAK,,LAR,L 13-33,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
49,2018,2018-09-16,2,26.161,OAK,@,DEN,L 19-20,,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0.0,0,0
50,2018,2018-09-23,3,26.168,OAK,@,MIA,L 20-28,,1,1,2,2.00,0,100.0%,2.00,1,0,0.00,0,0.0,0,0
