ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1967,1967-09-24,2,22.228,CHI,@,GNB,L 10-13,0,0,,0,1,0,0.00,0
2,1967,1967-10-08,4,22.242,CHI,,BAL,L 3-24,1,6,6.00,0,0,0,,0
3,1970,1970-09-20,1,25.224,HOU,@,PIT,W 19-7,,,,,,,,
4,1970,1970-09-27,2,25.231,HOU,,MIA,L 10-20,,,,,,,,
5,1970,1970-10-04,3,25.238,HOU,@,CIN,W 20-13,,,,,,,,
6,1970,1970-10-11,4,25.245,HOU,,BAL,L 20-24,,,,,,,,
7,1970,1970-10-18,5,25.252,HOU,,PIT,L 3-7,,,,,,,,
8,1970,1970-10-25,6,25.259,HOU,@,SDG,T 31-31,,,,,,,,
9,1970,1970-11-01,7,25.266,HOU,@,STL,L 0-44,,,,,,,,
10,1970,1970-11-08,8,25.273,HOU,@,KAN,L 9-24,,,,,,,,
11,1970,1970-11-15,9,25.280,HOU,,SFO,L 20-30,,,,,,,,
12,1970,1970-11-22,10,25.287,HOU,@,CLE,L 14-28,,,,,,,,
13,1970,1970-11-29,11,25.294,HOU,,DEN,W 31-21,,,,,,,,
14,1970,1970-12-07,12,25.302,HOU,,CLE,L 10-21,,,,,,,,
15,1970,1970-12-13,13,25.308,HOU,,CIN,L 20-30,,,,,,,,
16,1970,1970-12-20,14,25.315,HOU,@,DAL,L 10-52,,,,,,,,
