ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1950,1950-09-17,1,25.276,DET,@,GNB,W 45-7,,2,6,33.33,34,0,0,53.5,0,0,5.67,5.67,0,0,,0
2,1950,1950-09-24,2,25.283,DET,,PIT,W 10-7,,1,3,33.33,29,0,1,30.6,0,0,9.67,-5.33,0,0,,0
3,1950,1950-09-29,3,25.288,DET,@,NYY,L 21-44,,2,4,50.00,61,0,0,95.8,0,0,15.25,15.25,4,4,1.00,0
4,1950,1950-10-08,4,25.297,DET,,SFO,W 24-7,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0
5,1950,1950-10-22,6,25.311,DET,@,SFO,L 27-28,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0
6,1950,1950-10-29,7,25.318,DET,@,RAM,L 24-65,,8,18,44.44,154,2,2,72.2,0,0,8.56,5.78,3,-6,-2.00,0
7,1950,1950-11-19,9,25.339,DET,,GNB,W 24-21,,4,9,44.44,67,1,1,67.6,0,0,7.44,4.67,2,18,9.00,0
8,1950,1950-11-23,10,25.343,DET,,NYY,W 49-14,,2,4,50.00,43,1,1,88.5,0,0,10.75,4.50,0,0,,0
9,1950,1950-12-03,11,25.353,DET,@,BAL,W 45-21,,3,7,42.86,36,1,2,59.2,0,0,5.14,-4.86,0,0,,0
10,1951,1951-11-18,8,26.338,DET,@,PHI,W 28-10,,0,3,0.00,0,0,0,39.6,0,0,0.00,0.00,3,5,1.67,0
11,1951,1951-11-22,9,26.342,DET,,GNB,W 52-35,,1,3,33.33,10,0,0,43.7,0,0,3.33,3.33,0,0,,0
12,1951,1951-12-02,10,26.352,DET,,SFO,L 10-20,,1,3,33.33,12,0,1,6.9,0,0,4.00,-11.00,0,0,,0
13,1952,1952-10-04,2,27.294,PHI,,NYG,L 7-31,,5,11,45.45,92,0,2,35.2,0,0,8.36,0.18,5,17,3.40,0
14,1952,1952-10-12,3,27.302,PHI,,PIT,W 26-21,,5,16,31.25,122,1,0,80.7,0,0,7.63,8.88,5,3,0.60,0
15,1952,1952-10-19,4,27.309,PHI,,CLE,L 7-49,,4,17,23.53,36,0,1,15.1,0,0,2.12,-0.53,0,0,,0
16,1952,1952-11-02,6,27.323,PHI,@,GNB,L 10-12,,1,3,33.33,0,0,0,42.4,0,0,0.00,0.00,0,0,,0
17,1952,1952-11-09,7,27.330,PHI,,WAS,W 38-20,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0
18,1952,1952-11-16,8,27.337,PHI,,CRD,W 10-7,,2,5,40.00,21,0,1,13.3,0,0,4.20,-4.80,1,-1,-1.00,0
19,1952,1952-11-23,9,27.344,PHI,@,CLE,W 28-20,,2,5,40.00,80,0,1,47.9,0,0,16.00,7.00,2,10,5.00,0
20,1952,1952-11-30,10,27.351,PHI,@,CRD,L 22-28,,2,5,40.00,22,0,0,53.7,0,0,4.40,4.40,0,0,,0
21,1952,1952-12-14,12,27.365,PHI,@,WAS,L 21-27,,1,3,33.33,4,0,0,42.4,0,0,1.33,1.33,1,-4,-4.00,0
22,1953,1953-09-27,1,28.286,BAL,,CHI,W 13-9,*,12,20,60.00,93,0,1,50.6,0,0,4.65,2.40,8,19,2.38,0
23,1953,1953-10-03,2,28.292,BAL,,DET,L 17-27,*,13,29,44.83,189,2,1,75.2,0,0,6.52,6.34,5,23,4.60,0
24,1953,1953-10-11,3,28.300,BAL,@,CHI,W 16-14,*,14,31,45.16,236,2,1,79.5,0,0,7.61,7.45,6,3,0.50,0
25,1953,1953-10-18,4,28.307,BAL,@,GNB,L 14-37,*,8,24,33.33,144,2,5,43.1,0,0,6.00,-1.71,1,6,6.00,0
26,1953,1953-10-25,5,28.314,BAL,,WAS,W 27-17,*,9,24,37.50,121,1,1,50.9,0,0,5.04,4.00,3,28,9.33,0
27,1953,1953-10-31,6,28.320,BAL,,GNB,L 24-35,*,5,15,33.33,137,1,1,62.4,0,0,9.13,7.47,2,-3,-1.50,0
28,1953,1953-11-07,7,28.327,BAL,@,DET,L 7-17,*,4,15,26.67,69,0,5,6.7,0,0,4.60,-10.40,3,15,5.00,0
29,1953,1953-11-15,8,28.335,BAL,@,PHI,L 14-45,*,6,11,54.55,65,0,0,72.2,0,0,5.91,5.91,0,0,,0
30,1954,1954-09-26,1,29.285,BAL,,RAM,L 0-48,,2,3,66.67,24,0,1,51.4,0,0,8.00,-7.00,1,-2,-2.00,0
31,1954,1954-10-02,2,29.291,BAL,,NYG,W 20-14,,4,4,100.00,83,0,0,118.7,0,0,20.75,20.75,0,0,,0
32,1954,1954-10-10,3,29.299,BAL,@,CHI,L 9-28,*,11,21,52.38,64,0,2,18.8,0,0,3.05,-1.24,4,5,1.25,0
