ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1986,1986-09-07,1,24.176,PHI,@,WAS,L 14-41,2,27,13.50,0,3,4,1.33,0,0,0,,0,0,0
2,1986,1986-09-14,2,24.183,PHI,@,CHI,L 10-13,0,0,,0,0,0,,0,0,0,,0,0,
3,1986,1986-09-21,3,24.190,PHI,,DEN,L 7-33,0,0,,0,0,0,,0,3,18,6.00,0,0,0
4,1986,1986-09-28,4,24.197,PHI,,RAM,W 34-20,0,0,,0,2,4,2.00,0,1,2,2.00,0,0,0
5,1986,1986-10-05,5,24.204,PHI,@,ATL,W 16-0,0,0,,0,0,0,,0,3,10,3.33,0,0,0
6,1987,1987-10-04,3,25.203,NOR,,RAM,W 37-10,1,82,82.00,1,0,0,,0,0,0,,0,1,6
7,1987,1987-10-11,4,25.210,NOR,@,STL,L 19-24,2,33,16.50,0,0,0,,0,0,0,,0,0,0
8,1987,1987-10-18,5,25.217,NOR,@,CHI,W 19-17,2,25,12.50,0,0,0,,0,0,0,,0,0,0
9,1987,1987-10-25,6,25.224,NOR,,SFO,L 22-24,0,0,,0,,,,,,,,,,
10,1987,1987-11-01,7,25.231,NOR,@,ATL,W 38-0,0,0,,0,,,,,,,,,,
