ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,2012,2012-09-30,4,27.131,GNB,,NOR,W 28-27,,1,0,0.00,0,0,0,,0,0,0,,0,0,,
2,2012,2012-10-14,6,27.145,GNB,@,HOU,W 42-24,,,,,,,,,,,,,,,,
3,2012,2012-11-25,11,27.187,GNB,@,NYG,L 10-38,,0,0,,0,1,2,50.00,11,0,0,66.7,0,0,5.50,5.50
4,2012,2012-12-23,15,27.215,GNB,,TEN,W 55-7,,3,-3,-1.00,0,1,2,50.00,9,0,0,62.5,0,0,4.50,4.50
