ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1967,1967-09-10,2,21.338,DEN,@,OAK,L 0-51,2,13,6.50,0,0,0,,0,0,0
2,1967,1967-09-17,3,21.345,DEN,@,MIA,L 21-35,6,42,7.00,2,0,0,,0,2,12
3,1967,1967-09-24,4,21.352,DEN,,NYJ,L 24-38,1,4,4.00,1,1,6,6.00,0,1,6
4,1967,1967-10-01,5,21.359,DEN,@,HOU,L 6-10,13,56,4.31,0,1,-1,-1.00,0,0,0
5,1967,1967-10-08,6,22.001,DEN,,BUF,L 16-17,7,0,0.00,0,2,8,4.00,0,0,0
6,1967,1967-10-29,8,22.022,DEN,@,KAN,L 9-52,5,13,2.60,0,0,0,,0,0,0
7,1967,1967-11-05,9,22.029,DEN,,OAK,L 17-21,3,22,7.33,0,0,0,,0,0,0
8,1967,1967-11-12,10,22.036,DEN,,HOU,L 18-20,6,24,4.00,0,1,22,22.00,1,1,6
9,1967,1967-11-19,11,22.043,DEN,@,BUF,W 21-20,6,17,2.83,0,0,0,,0,0,0
10,1967,1967-11-23,12,22.047,DEN,@,SDG,L 20-24,8,24,3.00,0,0,0,,0,0,0
11,1967,1967-12-03,13,22.057,DEN,@,NYJ,W 33-24,16,48,3.00,1,2,1,0.50,0,1,6
