ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1993,1993-09-05,1,22.244,PHO,@,PHI,L 17-23,,7,3,0.43,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0
2,1993,1993-09-12,2,22.251,PHO,@,WAS,W 17-10,,22,76,3.45,0,2,2,12,6.00,0,100.0%,6.00,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0
3,1993,1993-09-19,3,22.258,PHO,,DAL,L 10-17,,9,31,3.44,0,3,2,2,1.00,0,66.7%,0.67,0,0,,0,0,0,,0,,,,0,0
4,1993,1993-09-26,4,22.265,PHO,@,DET,L 20-26,,15,45,3.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,,,0,0
5,1993,1993-10-10,5,22.279,PHO,,NWE,L 21-23,,10,81,8.10,0,2,1,-1,-1.00,0,50.0%,-0.50,0,0,,0,0,0,,0,,,,0,0
6,1993,1993-10-17,6,22.286,PHO,,WAS,W 36-6,,13,28,2.15,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,1,6
7,1994,1994-10-16,6,23.285,ARI,@,WAS,W 19-16,,6,7,1.17,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
8,1994,1994-10-23,7,23.292,ARI,,DAL,L 21-28,,2,2,1.00,0,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,,,0,0
9,1994,1994-10-30,8,23.299,ARI,,PIT,W 20-17,,0,0,,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,0,0
10,1994,1994-11-13,10,23.313,ARI,@,NYG,W 10-9,,1,-4,-4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
11,1994,1994-12-04,13,23.334,ARI,@,HOU,W 30-12,,3,56,18.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
12,1994,1994-12-11,14,23.341,ARI,,WAS,W 17-15,,5,28,5.60,0,3,3,34,11.33,0,100.0%,11.33,0,0,,0,0,0,,0,0,,,0,0
13,1994,1994-12-18,15,23.348,ARI,,CIN,W 28-7,,13,62,4.77,1,0,0,0,,0,0.0%,,1,1,100.00,10,1,0,147.9,0,0,10.00,30.00,1,6
14,1994,1994-12-24,16,23.354,ARI,@,ATL,L 6-10,,7,18,2.57,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,0,0
15,1995,1995-09-03,1,24.242,ARI,@,WAS,L 7-27,,17,97,5.71,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,,,0,0
16,1995,1995-09-10,2,24.249,ARI,,PHI,L 19-31,,17,21,1.24,1,4,2,12,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,,,1,6
17,1995,1995-09-17,3,24.256,ARI,@,DET,W 20-17,,22,121,5.50,0,2,2,26,13.00,0,100.0%,13.00,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0
18,1995,1995-09-24,4,24.263,ARI,@,DAL,L 20-34,,13,23,1.77,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,,,0,0
19,1995,1995-10-01,5,24.270,ARI,,KAN,L 3-24,,15,54,3.60,0,2,1,-5,-5.00,0,50.0%,-2.50,0,0,,0,0,0,,0,0,,,0,0
20,1995,1995-10-08,6,24.277,ARI,@,NYG,L 21-27,,23,122,5.30,0,4,2,40,20.00,0,50.0%,10.00,0,0,,0,0,0,,0,0,,,0,0
21,1995,1995-10-15,7,24.284,ARI,,WAS,W 24-20,,24,79,3.29,0,5,3,13,4.33,1,60.0%,2.60,0,0,,0,0,0,,0,0,,,1,6
22,1995,1995-10-29,8,24.298,ARI,,SEA,W 20-14,,21,54,2.57,0,7,2,12,6.00,0,28.6%,1.71,0,0,,0,0,0,,0,0,,,0,0
23,1995,1995-11-05,9,24.305,ARI,@,DEN,L 6-38,,12,50,4.17,0,3,2,52,26.00,0,66.7%,17.33,0,0,,0,0,0,,0,0,,,0,0
24,1995,1995-11-12,10,24.312,ARI,,MIN,L 24-30,,18,103,5.72,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,,,0,0
25,1995,1995-11-19,11,24.319,ARI,@,CAR,L 7-27,,9,32,3.56,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,0,0
26,1995,1995-11-26,12,24.326,ARI,,ATL,W 40-37,,21,59,2.81,0,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,0,0
27,1995,1995-11-30,13,24.330,ARI,,NYG,L 6-10,,21,85,4.05,0,5,4,32,8.00,0,80.0%,6.40,0,0,,0,0,0,,0,0,,,0,0
28,1995,1995-12-09,14,24.339,ARI,@,SDG,L 25-28,,11,18,1.64,0,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,0,,,0,0
29,1995,1995-12-17,15,24.347,ARI,@,PHI,L 20-21,,26,95,3.65,0,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,0,,,0,0
30,1995,1995-12-25,16,24.355,ARI,,DAL,L 13-37,,14,57,4.07,0,3,1,7,7.00,0,33.3%,2.33,1,1,100.00,16,0,0,118.7,0,0,16.00,16.00,0,0
31,1996,1996-09-01,1,25.241,CIN,@,STL,L 16-26,,3,6,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
32,1996,1996-09-08,2,25.248,CIN,@,SDG,L 14-27,,7,16,2.29,0,4,3,17,5.67,0,75.0%,4.25,0,0,,0,0,0,,,,,,0,0
33,1996,1996-09-15,3,25.255,CIN,,NOR,W 30-15,,5,-1,-0.20,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0
34,1996,1996-09-29,4,25.269,CIN,,DEN,L 10-14,,10,71,7.10,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
35,1996,1996-10-06,5,25.276,CIN,,HOU,L 27-30,,15,90,6.00,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0
