ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1996,1996-09-01,1,23.038,STL,,CIN,W 26-16,,0,0,,0,0.0%,
2,1996,1996-10-13,6,23.080,STL,@,CAR,L 13-45,,0,0,,0,0.0%,
3,1996,1996-10-20,7,23.087,STL,,JAX,W 17-14,,0,0,,0,0.0%,
4,1996,1996-10-27,8,23.094,STL,@,BAL,L 31-37,3,2,8,4.00,0,66.7%,2.67
5,1996,1996-11-10,10,23.108,STL,,ATL,W 59-16,,0,0,,0,0.0%,
6,1996,1996-11-17,11,23.115,STL,,CAR,L 10-20,,0,0,,0,0.0%,
7,1996,1996-11-24,12,23.122,STL,,GNB,L 9-24,,0,0,,0,0.0%,
8,1996,1996-12-01,13,23.129,STL,@,NOR,W 26-10,2,1,34,34.00,0,50.0%,17.00
9,1996,1996-12-08,14,23.136,STL,@,CHI,L 9-35,1,1,9,9.00,0,100.0%,9.00
10,1996,1996-12-15,15,23.143,STL,@,ATL,W 34-27,,0,0,,0,0.0%,
11,1996,1996-12-21,16,23.149,STL,,NOR,W 14-13,,0,0,,0,0.0%,
12,1998,1998-12-13,14,25.141,DAL,@,KAN,L 17-20,,,,,,0.0%,
13,1998,1998-12-20,15,25.148,DAL,,PHI,W 13-9,1,1,27,27.00,0,100.0%,27.00
14,1998,1998-12-27,16,25.155,DAL,,WAS,W 23-7,,,,,,0.0%,
