ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1960,1960-09-25,1,23.124,PHI,,CLE,L 24-41,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,49,24.50,0,1,10,10.00,0,0,0
2,1960,1960-09-30,2,23.129,PHI,@,DAL,W 27-25,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,29,29.00,0,0,0,,0,0,0
3,1960,1960-10-09,3,23.138,PHI,,STL,W 31-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,84,42.00,0,0,0,,0,0,0
4,1960,1960-10-16,4,23.145,PHI,,DET,W 28-10,2,3,1.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,55,27.50,0,2,7,3.50,0,0,0
5,1960,1960-11-06,6,23.166,PHI,,PIT,W 34-7,0,0,,0,1,7,7.00,0,0,0,,0,0,0,,0,0,,,1,26,26.00,0,0,0,,0,0,0
6,1960,1960-11-13,7,23.173,PHI,,WAS,W 19-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,1.00,0,1,0,0.00,0,0,0
7,1960,1960-11-27,9,23.187,PHI,,NYG,W 31-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,22,22.00,0,0,0,,0,0,0
8,1960,1960-12-04,10,23.194,PHI,@,STL,W 20-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,10,3.33,0,0,0
9,1960,1960-12-11,11,23.201,PHI,@,PIT,L 21-27,1,7,7.00,1,3,112,37.33,1,0,0,,0,0,0,,0,0,,,1,31,31.00,0,1,12,12.00,0,2,12
10,1960,1960-12-18,12,23.208,PHI,@,WAS,W 38-28,6,25,4.17,1,5,128,25.60,1,0,0,,0,0,0,,0,0,,,0,0,,0,2,8,4.00,0,2,12
11,1961,1961-09-17,1,24.116,PHI,,CLE,W 27-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,130,65.00,1,2,21,10.50,0,1,6
12,1961,1961-09-24,2,24.123,PHI,,WAS,W 14-7,4,32,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,52,26.00,0,0,0,,0,0,0
13,1961,1961-10-01,3,24.130,PHI,,STL,L 27-30,5,29,5.80,0,1,7,7.00,0,0,0,,0,0,0,,0,0,,,3,63,21.00,0,0,0,,0,0,0
14,1961,1961-10-08,4,24.137,PHI,,PIT,W 21-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,149,37.25,0,0,0,,0,0,0
15,1961,1961-10-22,6,24.151,PHI,@,DAL,W 43-7,8,66,8.25,0,1,23,23.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
16,1961,1961-10-29,7,24.158,PHI,@,WAS,W 27-24,2,-2,-1.00,0,1,12,12.00,0,0,0,,0,0,0,,0,0,,,2,45,22.50,0,0,0,,0,0,0
17,1961,1961-11-05,8,24.165,PHI,,CHI,W 16-14,0,0,,0,1,9,9.00,0,0,0,,0,0,0,,0,0,,,1,30,30.00,0,0,0,,0,0,0
18,1961,1961-11-12,9,24.172,PHI,@,NYG,L 21-38,3,1,0.33,0,1,16,16.00,1,0,0,,0,0,0,,0,0,,,4,130,32.50,0,1,17,17.00,0,1,6
19,1961,1961-11-19,10,24.179,PHI,@,CLE,L 24-45,2,49,24.50,0,2,58,29.00,1,0,0,,0,0,0,,0,0,,,4,87,21.75,0,0,0,,0,1,6
20,1961,1961-11-26,11,24.186,PHI,,DAL,W 35-13,10,46,4.60,0,1,5,5.00,0,0,0,,0,0,0,,0,0,,,4,75,18.75,0,0,0,,0,0,0
21,1961,1961-12-03,12,24.193,PHI,@,PIT,W 35-24,3,42,14.00,1,0,65,,0,0,0,,0,0,0,,0,0,,,2,28,14.00,0,2,65,32.50,1,2,12
22,1961,1961-12-10,13,24.200,PHI,,NYG,L 24-28,7,64,9.14,0,2,25,12.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,22,7.33,0,0,0
23,1961,1961-12-17,14,24.207,PHI,@,DET,W 27-24,6,11,1.83,0,4,44,11.00,0,0,0,,0,0,0,,0,0,,,1,22,22.00,0,0,0,,0,0,0
24,1962,1962-09-16,1,25.115,PHI,,STL,L 21-27,9,22,2.44,1,3,25,8.33,0,0,0,,0,0,0,,0,0,,,2,43,21.50,0,0,0,,0,1,6
25,1962,1962-09-23,2,25.122,PHI,,NYG,L 13-29,4,11,2.75,0,9,160,17.78,1,0,0,,0,0,0,,0,0,,,3,97,32.33,0,2,16,8.00,0,1,6
26,1962,1962-09-30,3,25.129,PHI,,CLE,W 35-7,15,72,4.80,0,6,42,7.00,0,0,0,,0,0,0,,0,0,,,1,19,19.00,0,1,9,9.00,0,0,0
27,1962,1962-10-06,4,25.135,PHI,@,PIT,L 7-13,4,23,5.75,0,4,44,11.00,0,0,0,,0,0,0,,0,0,,,1,21,21.00,0,0,0,,0,0,0
28,1962,1962-10-14,5,25.143,PHI,@,DAL,L 19-41,12,41,3.42,0,6,70,11.67,0,0,0,,0,0,0,,0,0,,,3,88,29.33,0,2,18,9.00,0,0,0
