ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1983,1983-09-03,1,22.327,PHI,@,SFO,W 22-17,1,15,15.00,0
2,1983,1983-09-11,2,22.335,PHI,,WAS,L 13-23,0,0,,0
3,1983,1983-09-18,3,22.342,PHI,@,DEN,W 13-10,0,0,,0
4,1983,1983-09-25,4,22.349,PHI,,STL,L 11-14,0,0,,0
5,1983,1983-10-02,5,22.356,PHI,@,ATL,W 28-24,0,0,,0
6,1983,1983-10-09,6,22.363,PHI,@,NYG,W 17-13,0,0,,0
7,1983,1983-10-16,7,23.005,PHI,@,DAL,L 7-37,0,0,,0
8,1983,1983-10-23,8,23.012,PHI,,CHI,L 6-7,0,0,,0
9,1983,1983-10-30,9,23.019,PHI,,BAL,L 21-22,0,0,,0
10,1983,1983-11-06,10,23.026,PHI,,DAL,L 20-27,0,0,,0
11,1983,1983-11-13,11,23.033,PHI,@,CHI,L 14-17,1,2,2.00,0
12,1983,1983-11-20,12,23.040,PHI,,NYG,L 0-23,0,0,,0
13,1983,1983-11-27,13,23.047,PHI,@,WAS,L 24-28,0,0,,0
14,1983,1983-12-04,14,23.054,PHI,,RAM,W 13-9,0,0,,0
15,1983,1983-12-11,15,23.061,PHI,,NOR,L 17-20,0,0,,0
