ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1973,1973-09-16,1,24.248,SDG,@,WAS,L 0-38,,,,,,,,,,,,,,,,,
2,1973,1973-09-23,2,24.255,SDG,,BUF,W 34-7,2,43,21.50,1,0,0,,0,0,0,,0,1,6,0,0,0
3,1973,1973-09-30,3,24.262,SDG,,CIN,L 13-20,,,,,,,,,,,,,,,,,
4,1973,1973-10-07,4,24.269,SDG,@,PIT,L 21-38,1,13,13.00,0,0,0,,0,0,0,,0,0,0,0,0,0
5,1973,1973-10-14,5,24.276,SDG,,OAK,L 17-27,4,63,15.75,1,0,0,,0,0,0,,0,1,6,0,0,0
6,1973,1973-10-21,6,24.283,SDG,,ATL,L 0-41,,,,,,,,,,,,,,,,,
7,1973,1973-11-25,11,24.318,SDG,@,OAK,L 3-31,,,,,,,,,,,,,,,,,
8,1973,1973-12-02,12,24.325,SDG,@,NWE,L 14-30,,,,,,,,,,,,,,,,,
9,1973,1973-12-09,13,24.332,SDG,,DEN,L 28-42,,,,,,,,,,,,,,,,,
10,1973,1973-12-16,14,24.339,SDG,@,KAN,L 6-33,,,,,,,,,,,,,,,,,
11,1974,1974-09-15,1,25.247,SDG,@,HOU,L 14-21,,,,,,,,,,,,,,,,,
12,1974,1974-09-22,2,25.254,SDG,@,CIN,W 20-17,,,,,,,,,,,,,,,,,
13,1974,1974-09-29,3,25.261,CLE,@,STL,L 7-29,,,,,,,,,,,,,,,,,
14,1974,1974-10-06,4,25.268,CLE,,OAK,L 24-40,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
15,1974,1974-10-13,5,25.275,CLE,,CIN,L 24-34,,,,,,,,,,,,,,,,,
16,1974,1974-10-20,6,25.282,CLE,@,PIT,L 16-20,,,,,,,,,,,,,,,,,
17,1974,1974-10-27,7,25.289,CLE,,DEN,W 23-21,1,34,34.00,0,0,0,,0,0,0,,0,0,0,0,0,0
18,1974,1974-11-03,8,25.296,CLE,@,SDG,L 35-36,3,37,12.33,0,1,-10,-10.00,0,0,0,,0,0,0,0,0,0
19,1974,1974-11-10,9,25.303,CLE,@,NWE,W 21-14,,,,,,,,,,,,,,,,,
20,1974,1974-11-17,10,25.310,CLE,,PIT,L 16-26,,,,,,,,,,,,,,,,,
21,1974,1974-11-24,11,25.317,CLE,,BUF,L 10-15,,,,,,,,,,,,,,,,,
22,1974,1974-12-01,12,25.324,CLE,,SFO,W 7-0,,,,,,,,,,,,,,,,,
23,1974,1974-12-07,13,25.330,CLE,@,DAL,L 17-41,,,,,,,,,,,,,,,,,
24,1974,1974-12-15,14,25.338,CLE,@,HOU,L 24-28,,,,,,,,,,,,,,,,,
25,1976,1976-10-03,4,27.266,NOR,,HOU,L 26-31,2,25,12.50,0,0,0,,0,1,41,41.00,0,0,0,0,0,0
26,1976,1976-10-10,5,27.273,NOR,,ATL,W 30-0,3,53,17.67,1,0,0,,0,0,0,,0,1,6,0,0,0
27,1976,1976-10-17,6,27.280,NOR,@,SFO,L 3-33,0,0,,0,0,0,,0,3,64,21.33,0,0,0,0,0,0
28,1976,1976-10-24,7,27.287,NOR,,RAM,L 10-16,0,0,,0,0,0,,0,2,42,21.00,0,0,0,0,0,0
29,1976,1976-10-31,8,27.294,NOR,@,ATL,L 20-23,0,0,,0,0,0,,0,1,32,32.00,0,0,0,0,0,0
30,1976,1976-11-07,9,27.301,NOR,@,GNB,L 27-32,0,0,,0,0,0,,0,1,6,6.00,0,0,0,0,0,0
31,1976,1976-11-14,10,27.308,NOR,,DET,W 17-16,,,,,,,,,,,,,,,,,
32,1976,1976-11-21,11,27.315,NOR,@,SEA,W 51-27,1,20,20.00,0,0,0,,0,0,0,,0,0,0,0,0,0
33,1976,1976-11-28,12,27.322,NOR,@,RAM,L 14-33,1,14,14.00,0,0,0,,0,0,0,,0,0,0,0,0,0
34,1976,1976-12-05,13,27.329,NOR,@,NWE,L 6-27,,,,,,,,,,,,,,,,,
35,1976,1976-12-12,14,27.336,NOR,,SFO,L 7-27,,,,,,,,,,,,,,,,,
36,1977,1977-09-18,1,28.250,NOR,,GNB,L 20-24,3,20,6.67,0,0,0,,0,0,0,,0,0,0,0,0,0
37,1977,1977-09-25,2,28.257,NOR,@,DET,L 19-23,3,42,14.00,0,0,0,,0,0,0,,0,0,0,0,0,0
38,1977,1977-10-02,3,28.264,NOR,@,CHI,W 42-24,3,63,21.00,0,0,0,,0,0,0,,0,0,0,0,0,0
39,1977,1977-10-09,4,28.271,NOR,,SDG,L 0-14,,,,,,,,,,,,,,,,,
40,1977,1977-10-16,5,28.278,NOR,@,RAM,L 7-14,,,,,,,,,,,,,,,,,
41,1977,1977-10-23,6,28.285,NOR,@,STL,L 31-49,4,83,20.75,1,0,0,,0,0,0,,0,1,6,0,0,0
42,1977,1977-10-30,7,28.292,NOR,,RAM,W 27-26,,,,,,,,,,,,,,,,,
43,1977,1977-11-06,8,28.299,NOR,@,PHI,L 7-28,,,,,,,,,,,,,,,,,
44,1977,1977-11-13,9,28.306,NOR,,SFO,L 7-10,,,,,,,,,,,,,,,,,
45,1977,1977-11-20,10,28.313,NOR,,ATL,W 21-20,,,,,,,,,,,,,,,,,
46,1977,1977-11-27,11,28.320,NOR,@,SFO,L 17-20,0,0,,0,1,-3,-3.00,0,0,0,,0,0,0,0,0,0
47,1977,1977-12-04,12,28.327,NOR,,NYJ,L 13-16,,,,,,,,,0,8,,0,,,,,
48,1977,1977-12-11,13,28.334,NOR,,TAM,L 14-33,1,3,3.00,0,0,0,,0,0,0,,0,0,0,0,0,0
49,1977,1977-12-18,14,28.341,NOR,@,ATL,L 7-35,,,,,,,,,,,,,,,,,
50,1978,1978-09-03,1,29.235,STL,@,CHI,L 10-17,,,,,,,,,,,,,,,,,
51,1978,1978-09-10,2,29.242,STL,,NWE,L 6-16,1,16,16.00,0,0,0,,0,0,0,,0,0,0,0,0,0
52,1978,1978-09-17,3,29.249,STL,,WAS,L 10-28,1,14,14.00,0,0,0,,0,0,0,,0,0,0,0,0,0
53,1978,1978-09-24,4,29.256,STL,@,DAL,L 12-21,,,,,,,,,,,,,,,,,
54,1978,1978-10-01,5,29.263,STL,@,MIA,L 10-24,1,1,1.00,1,0,0,,0,0,0,,0,1,6,0,0,0
