ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,23.270,NWE,@,TEN,W 34-13,,0,0,,0,0.0,0,0
2,2012,2012-09-16,2,23.277,NWE,,ARI,L 18-20,,,,,,,,
3,2012,2012-09-23,3,23.284,NWE,@,BAL,L 30-31,,,,,,,,
4,2012,2012-09-30,4,23.291,NWE,@,BUF,W 52-28,,0,0,,0,0.0,0,0
5,2012,2012-10-07,5,23.298,NWE,,DEN,W 31-21,,,,,,,,
6,2012,2012-10-14,6,23.305,NWE,@,SEA,L 23-24,,,,,,,,
7,2012,2012-10-21,7,23.312,NWE,,NYJ,W 29-26,,,,,,,,
8,2012,2012-10-28,8,23.319,NWE,@,STL,W 45-7,,0,0,,0,0.0,1,0
9,2012,2012-11-11,9,23.333,NWE,,BUF,W 37-31,,0,0,,0,0.0,0,0
10,2012,2012-11-18,10,23.340,NWE,,IND,W 59-24,,0,0,,0,0.0,0,0
11,2012,2012-11-22,11,23.344,NWE,@,NYJ,W 49-19,,,,,,,,
12,2012,2012-12-02,12,23.354,NWE,@,MIA,W 23-16,,,,,,,,
13,2012,2012-12-10,13,23.362,NWE,,HOU,W 42-14,,,,,,,,
14,2012,2012-12-16,14,24.002,NWE,,SFO,L 34-41,,0,0,,0,0.0,0,0
15,2012,2012-12-23,15,24.009,NWE,@,JAX,W 23-16,,0,0,,0,0.0,0,0
16,2013,2013-09-12,2,24.272,NWE,,NYJ,W 13-10,,,,,,,,
17,2013,2013-09-22,3,24.282,NWE,,TAM,W 23-3,,,,,,,,
18,2013,2013-09-29,4,24.289,NWE,@,ATL,W 30-23,,,,,,,,
19,2013,2013-10-06,5,24.296,NWE,@,CIN,L 6-13,,0,0,,0,0.0,0,1
20,2013,2013-10-13,6,24.303,NWE,,NOR,W 30-27,,,,,,,,
21,2013,2013-10-20,7,24.310,NWE,@,NYJ,L 27-30,,,,,,,,
22,2013,2013-10-27,8,24.317,NWE,,MIA,W 27-17,,0,0,,0,0.0,2,2
23,2013,2013-11-03,9,24.324,NWE,,PIT,W 55-31,,0,0,,0,0.0,1,1
24,2013,2013-11-18,10,24.339,NWE,@,CAR,L 20-24,,,,,,,,
25,2013,2013-11-24,11,24.345,NWE,,DEN,W 34-31,,0,0,,0,0.0,0,0
26,2013,2013-12-01,12,24.352,NWE,@,HOU,W 34-31,,0,0,,0,0.0,0,1
27,2013,2013-12-08,13,24.359,NWE,,CLE,W 27-26,,0,0,,0,0.0,0,1
28,2013,2013-12-15,14,25.001,NWE,@,MIA,L 20-24,,0,0,,0,0.0,0,0
29,2013,2013-12-22,15,25.008,NWE,@,BAL,W 41-7,,,,,,,,
30,2013,2013-12-29,16,25.015,NWE,,BUF,W 34-20,,,,,,,,
31,2014,2014-09-07,1,25.267,NWE,@,MIA,L 20-33,,0,0,,0,0.0,1,0
32,2014,2014-09-14,2,25.274,NWE,@,MIN,W 30-7,,0,0,,0,0.0,1,0
33,2014,2014-09-21,3,25.281,NWE,,OAK,W 16-9,,0,0,,0,0.0,1,1
34,2014,2014-09-29,4,25.289,NWE,@,KAN,L 14-41,,0,0,,0,0.0,0,1
35,2014,2014-11-02,9,25.323,NWE,,DEN,W 43-21,,,,,,,,
36,2014,2014-11-16,10,25.337,NWE,@,IND,W 42-20,,,,,,,,
37,2014,2014-11-23,11,25.344,NWE,,DET,W 34-9,,0,0,,0,0.0,2,0
38,2014,2014-11-30,12,25.351,NWE,@,GNB,L 21-26,,0,0,,0,0.0,1,0
