ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2013,2013-09-08,1,23.355,DAL,,NYG,W 36-31,*,4,2,32,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
2,2013,2013-09-15,2,23.362,DAL,@,KAN,L 16-17,,3,3,28,9.33,0,100.0%,9.33,1,-3,-3.00,0,0,0,,0,,0,0,0.0,0,0
3,2013,2013-09-22,3,24.004,DAL,,STL,W 31-7,,,,,,,0.0%,,,,,,,,,,,,,,,
4,2013,2013-09-29,4,24.011,DAL,@,SDG,L 21-30,,8,7,71,10.14,0,87.5%,8.88,0,0,,0,0,0,,0,,0,0,0.0,0,0
5,2013,2013-10-06,5,24.018,DAL,,DEN,L 48-51,*,4,4,151,37.75,1,100.0%,37.75,1,2,2.00,0,0,0,,0,1,1,8,0.0,0,0
6,2013,2013-10-13,6,24.025,DAL,,WAS,W 31-16,,2,2,27,13.50,1,100.0%,13.50,0,0,,0,0,0,,0,,1,6,0.0,0,0
7,2013,2013-10-20,7,24.032,DAL,@,PHI,W 17-3,*,7,6,71,11.83,1,85.7%,10.14,0,0,,0,0,0,,0,,1,6,0.0,0,0
8,2013,2013-10-27,8,24.039,DAL,@,DET,L 30-31,*,10,2,64,32.00,1,20.0%,6.40,1,5,5.00,0,0,0,,0,,1,6,0.0,0,0
9,2013,2013-11-03,9,24.046,DAL,,MIN,W 27-23,*,7,2,33,16.50,0,28.6%,4.71,0,0,,0,0,0,,0,,0,0,0.0,1,0
10,2013,2013-11-10,10,24.053,DAL,@,NOR,L 17-49,,5,1,21,21.00,1,20.0%,4.20,0,0,,0,0,0,,0,,1,6,0.0,0,0
11,2013,2013-11-24,11,24.067,DAL,@,NYG,W 24-21,*,2,1,10,10.00,0,50.0%,5.00,0,0,,0,1,21,21.00,0,,0,0,0.0,0,0
12,2013,2013-11-28,12,24.071,DAL,,OAK,W 31-24,,6,3,23,7.67,0,50.0%,3.83,0,0,,0,2,61,30.50,0,,0,0,0.0,0,0
13,2013,2013-12-09,13,24.082,DAL,@,CHI,L 28-45,,3,2,36,18.00,0,66.7%,12.00,0,0,,0,1,14,14.00,0,,0,0,0.0,0,0
14,2013,2013-12-15,14,24.088,DAL,,GNB,L 36-37,,5,4,46,11.50,0,80.0%,9.20,0,0,,0,2,46,23.00,0,,0,0,0.0,0,0
15,2013,2013-12-22,15,24.095,DAL,@,WAS,W 24-23,*,6,4,84,21.00,0,66.7%,14.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
16,2013,2013-12-29,16,24.102,DAL,,PHI,L 22-24,*,2,1,39,39.00,0,50.0%,19.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
17,2014,2014-09-07,1,24.354,DAL,,SFO,L 17-28,*,7,4,50,12.50,1,57.1%,7.14,0,0,,0,0,0,,0,,1,6,0.0,0,0
18,2014,2014-09-14,2,24.361,DAL,@,TEN,W 26-10,*,4,2,20,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
19,2014,2014-09-21,3,25.003,DAL,@,STL,W 34-31,*,3,2,32,16.00,1,66.7%,10.67,0,0,,0,0,0,,0,,1,6,0.0,0,0
20,2014,2014-09-28,4,25.010,DAL,,NOR,W 38-17,*,7,6,77,12.83,2,85.7%,11.00,0,0,,0,0,0,,0,,2,12,0.0,0,0
21,2014,2014-10-05,5,25.017,DAL,,HOU,W 20-17,*,6,2,71,35.50,1,33.3%,11.83,0,0,,0,0,0,,0,,1,6,0.0,0,0
22,2014,2014-10-12,6,25.024,DAL,@,SEA,W 30-23,*,2,2,70,35.00,0,100.0%,35.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
23,2014,2014-10-19,7,25.031,DAL,,NYG,W 31-21,*,3,1,18,18.00,1,33.3%,6.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
24,2014,2014-10-27,8,25.039,DAL,,WAS,L 17-20,*,7,6,69,11.50,0,85.7%,9.86,0,0,,0,0,0,,0,,0,0,0.0,1,0
25,2014,2014-11-02,9,25.045,DAL,,ARI,L 17-28,*,7,2,19,9.50,0,28.6%,2.71,0,0,,0,0,0,,0,,0,0,0.0,1,0
26,2014,2014-11-09,10,25.052,DAL,@,JAX,W 31-17,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
27,2014,2014-11-23,11,25.066,DAL,@,NYG,W 31-28,*,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
28,2014,2014-11-27,12,25.070,DAL,,PHI,L 10-33,*,4,2,38,19.00,0,50.0%,9.50,0,0,,0,0,0,,0,,0,0,0.0,1,0
29,2014,2014-12-04,13,25.077,DAL,@,CHI,W 41-28,*,,,,,,0.0%,,,,,,,,,,,,,,,
30,2014,2014-12-14,14,25.087,DAL,@,PHI,W 38-27,*,5,2,19,9.50,0,40.0%,3.80,0,0,,0,0,0,,0,,0,0,0.0,0,0
31,2014,2014-12-21,15,25.094,DAL,,IND,W 42-7,*,2,2,52,26.00,2,100.0%,26.00,0,0,,0,0,0,,0,,2,12,0.0,0,0
32,2014,2014-12-28,16,25.101,DAL,@,WAS,W 44-17,*,5,3,68,22.67,0,60.0%,13.60,0,0,,0,0,0,,0,,0,0,0.0,0,0
33,2015,2015-09-13,1,25.360,DAL,,NYG,W 27-26,*,8,5,60,12.00,0,62.5%,7.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
34,2015,2015-09-20,2,26.002,DAL,@,PHI,W 20-10,*,7,4,84,21.00,1,57.1%,12.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
35,2015,2015-09-27,3,26.009,DAL,,ATL,L 28-39,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
36,2015,2015-10-04,4,26.016,DAL,@,NOR,L 20-26,*,10,3,49,16.33,1,30.0%,4.90,0,0,,0,0,0,,0,,1,6,0.0,0,0
37,2015,2015-10-11,5,26.023,DAL,,NWE,L 6-30,*,6,2,30,15.00,0,33.3%,5.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
38,2015,2015-10-25,6,26.037,DAL,@,NYG,L 20-27,*,7,4,70,17.50,0,57.1%,10.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
39,2015,2015-11-01,7,26.044,DAL,,SEA,L 12-13,,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
40,2015,2015-11-08,8,26.051,DAL,,PHI,L 27-33,*,5,3,27,9.00,0,60.0%,5.40,0,0,,0,0,0,,0,,0,0,0.0,0,0
41,2015,2015-11-15,9,26.058,DAL,@,TAM,L 6-10,*,3,2,33,16.50,0,66.7%,11.00,0,0,,0,1,9,9.00,0,,0,0,0.0,0,0
42,2015,2015-11-22,10,26.065,DAL,@,MIA,W 24-14,,4,4,79,19.75,1,100.0%,19.75,0,0,,0,0,0,,0,,1,6,0.0,0,0
43,2015,2015-11-26,11,26.069,DAL,,CAR,L 14-33,,7,4,39,9.75,0,57.1%,5.57,0,0,,0,0,0,,0,,0,0,0.0,0,0
44,2015,2015-12-07,12,26.080,DAL,@,WAS,W 19-16,*,3,2,63,31.50,0,66.7%,21.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
45,2015,2015-12-13,13,26.086,DAL,@,GNB,L 7-28,*,5,3,38,12.67,0,60.0%,7.60,0,0,,0,0,0,,0,,0,0,0.0,0,0
46,2015,2015-12-19,14,26.092,DAL,,NYJ,L 16-19,*,5,2,13,6.50,0,40.0%,2.60,0,0,,0,0,0,,0,,0,0,0.0,0,0
47,2015,2015-12-27,15,26.100,DAL,@,BUF,L 6-16,*,10,4,62,15.50,0,40.0%,6.20,0,0,,0,0,0,,0,,0,0,0.0,0,0
48,2015,2016-01-03,16,26.107,DAL,,WAS,L 23-34,*,9,8,173,21.63,0,88.9%,19.22,0,0,,0,0,0,,0,,0,0,0.0,0,0
49,2016,2016-09-11,1,26.359,DAL,,NYG,L 19-20,*,4,3,34,11.33,0,75.0%,8.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
50,2016,2016-09-18,2,27.000,DAL,@,WAS,W 27-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
51,2016,2016-09-25,3,27.007,DAL,,CHI,W 31-17,*,4,4,88,22.00,0,100.0%,22.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
52,2016,2016-10-02,4,27.014,DAL,@,SFO,W 24-17,*,6,4,44,11.00,1,66.7%,7.33,0,0,,0,0,0,,0,,1,6,0.0,0,0
53,2016,2016-10-09,5,27.021,DAL,,CIN,W 28-14,*,5,5,70,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
54,2016,2016-10-16,6,27.028,DAL,@,GNB,W 30-16,*,5,4,75,18.75,0,80.0%,15.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
55,2016,2016-10-30,7,27.042,DAL,,PHI,W 29-23,*,7,2,25,12.50,0,28.6%,3.57,0,0,,0,0,0,,0,,0,0,0.0,0,0
56,2016,2016-11-06,8,27.049,DAL,@,CLE,W 35-10,*,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,,0,0,0.0,0,0
57,2016,2016-11-13,9,27.056,DAL,@,PIT,W 35-30,*,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
