ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1968,1968-09-29,3,23.019,DEN,,BOS,L 17-20,,2,6,33.33,43,0,0,59.7,0,0,7.17,7.17,0,0,,0,5,51,10.20,1,0,0,,0,1,6
2,1968,1968-10-06,4,23.026,DEN,,CIN,W 10-7,*,4,11,36.36,37,0,0,46.4,0,0,3.36,3.36,0,0,,0,2,18,9.00,0,0,0,,0,0,0
3,1968,1968-10-20,6,23.040,DEN,@,SDG,L 24-55,,17,30,56.67,237,3,2,87.8,0,0,7.90,6.90,0,0,,0,5,68,13.60,0,0,0,,0,0,0
4,1968,1968-10-27,7,23.047,DEN,,MIA,W 21-14,,7,13,53.85,114,0,0,83.5,0,0,8.77,8.77,0,0,,0,6,29,4.83,2,0,0,,0,2,12
5,1968,1968-11-03,8,23.054,DEN,@,BOS,W 35-14,,1,2,50.00,26,0,1,56.2,0,0,13.00,-9.50,0,0,,0,1,-1,-1.00,0,0,0,,0,0,0
6,1968,1968-11-10,9,23.061,DEN,,OAK,L 7-43,,1,9,11.11,7,0,1,0.0,0,0,0.78,-4.22,0,0,,0,1,4,4.00,0,0,0,,0,0,0
7,1968,1968-11-17,10,23.068,DEN,@,HOU,L 17-38,,9,19,47.37,119,1,1,63.3,0,0,6.26,4.95,0,0,,0,4,27,6.75,0,0,0,,0,0,0
8,1968,1968-11-24,11,23.075,DEN,,BUF,W 34-32,*,12,29,41.38,335,4,2,95.5,0,0,11.55,11.21,0,0,,0,2,-2,-1.00,0,0,0,,0,0,0
9,1968,1968-12-01,12,23.082,DEN,,SDG,L 23-47,*,15,33,45.45,218,3,0,97.8,0,0,6.61,8.42,0,0,,0,6,56,9.33,0,0,0,,0,0,0
10,1968,1968-12-08,13,23.089,DEN,@,OAK,L 27-33,*,15,41,36.59,251,2,4,34.8,0,0,6.12,2.71,0,0,,0,4,23,5.75,0,0,0,,0,0,0
11,1968,1968-12-14,14,23.095,DEN,,KAN,L 7-30,*,10,31,32.26,202,1,2,40.0,0,0,6.52,4.26,0,0,,0,5,35,7.00,0,0,0,,0,0,0
12,1969,1969-09-28,3,24.018,BUF,,DEN,W 41-28,,0,0,,0,0,0,,0,0,,,1,17,17.00,0,0,0,,0,0,0,,0,0,0
13,1969,1969-10-05,4,24.025,BUF,@,HOU,L 14-28,,0,0,,0,0,0,,0,0,,,3,59,19.67,1,0,0,,0,0,0,,0,1,6
14,1969,1969-10-19,6,24.039,BUF,@,OAK,L 21-50,,0,0,,0,0,0,,0,0,,,6,119,19.83,1,0,0,,0,0,0,,0,1,6
15,1969,1969-10-26,7,24.046,BUF,@,MIA,L 6-24,,0,0,,0,0,0,,0,0,,,1,38,38.00,0,0,0,,0,0,0,,0,0,0
16,1969,1969-11-02,8,24.053,BUF,,KAN,L 7-29,,0,0,,0,0,0,,0,0,,,2,27,13.50,1,0,0,,0,0,0,,0,1,6
17,1969,1969-11-09,9,24.060,BUF,@,NYJ,L 6-16,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,2,49,24.50,0,0,0,,0,0,0,,0,0,0
18,1969,1969-11-16,10,24.067,BUF,,MIA,W 28-3,,0,0,,0,0,0,,0,0,,,5,61,12.20,1,0,0,,0,0,0,,0,1,6
19,1969,1969-11-23,11,24.074,BUF,@,BOS,L 21-35,,0,0,,0,0,0,,0,0,,,1,19,19.00,0,0,0,,0,0,0,,0,0,0
20,1969,1969-11-30,12,24.081,BUF,,CIN,W 16-13,,0,0,,0,0,0,,0,0,,,2,16,8.00,0,0,0,,0,0,0,,0,0,0
21,1969,1969-12-07,13,24.088,BUF,@,KAN,L 19-22,,0,0,,0,0,0,,0,0,,,3,33,11.00,1,0,0,,0,0,0,,0,1,6
22,1969,1969-12-14,14,24.095,BUF,@,SDG,L 6-45,,0,0,,0,0,0,,0,0,,,6,94,15.67,0,0,0,,0,0,0,,0,0,0
23,1970,1970-09-20,1,25.010,BUF,,DEN,L 10-25,,0,0,,0,0,0,,0,0,,,4,35,8.75,0,0,0,,0,0,0,,0,0,0
24,1970,1970-09-27,2,25.017,BUF,,RAM,L 0-19,,0,0,,0,0,0,,0,0,,,3,61,20.33,0,1,11,11.00,0,0,0,,0,0,0
25,1970,1970-10-04,3,25.024,BUF,,NYJ,W 34-31,,0,0,,0,0,0,,0,0,,,4,120,30.00,2,0,0,,0,0,0,,0,2,12
26,1970,1970-10-11,4,25.031,BUF,@,PIT,L 10-23,,0,0,,0,0,0,,0,0,,,4,73,18.25,0,0,0,,0,0,0,,0,0,0
27,1970,1970-10-18,5,25.038,BUF,,MIA,L 14-33,,0,0,,0,0,0,,0,0,,,7,145,20.71,2,0,0,,0,0,0,,0,2,12
28,1970,1970-10-25,6,25.045,BUF,@,NYJ,W 10-6,,0,0,,0,0,0,,0,0,,,5,100,20.00,0,0,0,,0,0,0,,0,0,0
29,1970,1970-11-01,7,25.052,BUF,@,BOS,W 45-10,,0,0,,0,0,0,,0,0,,,2,47,23.50,0,0,0,,0,0,0,,0,0,0
30,1970,1970-11-08,8,25.059,BUF,,CIN,L 14-43,,0,0,,0,0,0,,0,0,,,5,109,21.80,1,0,0,,0,0,0,,0,1,6
31,1970,1970-11-15,9,25.066,BUF,@,BAL,T 17-17,,0,0,,0,0,0,,0,0,,,4,50,12.50,1,1,5,5.00,0,0,0,,0,1,6
32,1970,1970-11-22,10,25.073,BUF,@,CHI,L 13-31,,0,0,,0,0,0,,0,0,,,4,49,12.25,1,0,0,,0,0,0,,0,1,6
33,1970,1970-11-29,11,25.080,BUF,,BOS,L 10-14,,0,0,,0,0,0,,0,0,,,3,73,24.33,0,0,0,,0,0,0,,0,0,0
34,1970,1970-12-06,12,25.087,BUF,@,NYG,L 6-20,,0,0,,0,0,0,,0,0,,,4,88,22.00,0,1,3,3.00,0,0,0,,0,0,0
35,1970,1970-12-13,13,25.094,BUF,,BAL,L 14-20,,0,0,,0,0,0,,0,0,,,7,78,11.14,1,0,0,,0,0,0,,0,1,6
36,1970,1970-12-20,14,25.101,BUF,@,MIA,L 7-45,,0,0,,0,0,0,,0,0,,,1,8,8.00,0,0,0,,0,0,0,,0,0,0
37,1971,1971-09-19,1,26.009,BUF,,DAL,L 37-49,,0,0,,0,0,0,,0,0,,,3,113,37.67,2,0,0,,0,0,0,,0,2,12
38,1971,1971-09-26,2,26.016,BUF,,MIA,L 14-29,,0,0,,0,0,0,,0,0,,,2,34,17.00,0,0,0,,0,0,0,,0,0,0
