ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1987,1987-09-13,1,23.002,MIA,@,NWE,L 21-28,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,1,2,2.00,0,0,0,,0,0,0
2,1987,1987-09-20,2,23.009,MIA,@,IND,W 23-10,8,34,4.25,0,,2,22,11.00,1,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
3,1987,1987-10-25,6,23.044,MIA,,BUF,L 31-34,3,5,1.67,0,,6,72,12.00,0,,,0,0,,0,0,0,,0,,,,2,36,18.00,0,0,0,,0,0,0
4,1987,1987-11-01,7,23.051,MIA,,PIT,W 35-24,19,110,5.79,1,,8,46,5.75,0,,,0,0,,0,0,0,,0,,,,4,90,22.50,0,0,0,,0,1,6
5,1987,1987-11-08,8,23.058,MIA,@,CIN,W 20-14,11,30,2.73,1,,7,49,7.00,0,,,0,0,,0,0,0,,0,,,,2,42,21.00,0,0,0,,0,1,6
6,1987,1987-11-15,9,23.065,MIA,,IND,L 21-40,8,28,3.50,0,,2,19,9.50,0,,,1,1,100.00,6,0,0,91.7,0,0,6.00,6.00,5,88,17.60,0,0,0,,0,0,0
7,1987,1987-11-22,10,23.072,MIA,@,DAL,W 20-14,17,169,9.94,1,,6,83,13.83,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
8,1987,1987-11-29,11,23.079,MIA,@,BUF,L 0-27,15,23,1.53,0,,3,38,12.67,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
9,1987,1987-12-07,12,23.087,MIA,,NYJ,W 37-28,30,120,4.00,3,,3,20,6.67,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,3,18
10,1987,1987-12-13,13,23.093,MIA,@,PHI,W 28-10,13,24,1.85,0,,5,49,9.80,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
11,1987,1987-12-20,14,23.100,MIA,,WAS,W 23-21,12,49,4.08,0,,4,50,12.50,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
12,1987,1987-12-28,15,23.108,MIA,,NWE,L 10-24,9,27,3.00,0,,2,9,4.50,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
13,1988,1988-09-04,1,23.359,MIA,@,CHI,L 7-34,5,14,2.80,0,,2,17,8.50,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
14,1988,1988-09-11,2,24.000,MIA,@,BUF,L 6-9,15,48,3.20,0,,7,44,6.29,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
15,1988,1988-09-18,3,24.007,MIA,,GNB,W 24-17,9,29,3.22,0,,6,57,9.50,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
16,1988,1988-09-25,4,24.014,MIA,@,IND,L 13-15,9,25,2.78,0,,5,35,7.00,1,,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,1,6
17,1988,1988-10-02,5,24.021,MIA,,MIN,W 24-7,7,42,6.00,0,,3,56,18.67,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
18,1988,1988-10-09,6,24.028,MIA,@,RAI,W 24-14,12,35,2.92,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
19,1988,1988-10-16,7,24.035,MIA,,SDG,W 31-28,11,28,2.55,1,,7,60,8.57,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
20,1988,1988-10-23,8,24.042,MIA,,NYJ,L 30-44,5,10,2.00,1,,4,40,10.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
21,1988,1988-10-30,9,24.049,MIA,@,TAM,W 17-14,2,3,1.50,0,,2,6,3.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
22,1988,1988-11-14,11,24.064,MIA,,BUF,L 6-31,0,0,,0,,1,9,9.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
23,1988,1988-11-20,12,24.070,MIA,,NWE,L 3-6,5,32,6.40,0,,5,35,7.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
24,1988,1988-11-27,13,24.077,MIA,@,NYJ,L 34-38,8,37,4.63,0,,2,12,6.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
25,1988,1988-12-04,14,24.084,MIA,,IND,L 28-31,6,28,4.67,0,,7,31,4.43,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
26,1988,1988-12-12,15,24.092,MIA,,CLE,W 38-31,1,4,4.00,0,,1,4,4.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
27,1988,1988-12-18,16,24.098,MIA,@,PIT,L 24-40,0,0,,0,,4,20,5.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
28,1989,1989-09-10,1,24.364,MIA,,BUF,L 24-27,12,43,3.58,1,,2,7,3.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,2,21,10.50,0,1,6
29,1989,1989-09-17,2,25.006,MIA,@,NWE,W 24-10,7,28,4.00,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,3,22,7.33,0,0,0
30,1989,1989-09-24,3,25.013,MIA,,NYJ,L 33-40,9,26,2.89,0,,8,96,12.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
31,1989,1989-10-01,4,25.020,MIA,@,HOU,L 7-39,1,7,7.00,0,,3,21,7.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,1,7,7.00,0,0,0
32,1989,1989-10-08,5,25.027,MIA,,CLE,W 13-10,11,37,3.36,0,,3,21,7.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,3,34,11.33,0,0,0
33,1989,1989-10-15,6,25.034,MIA,@,CIN,W 20-13,11,46,4.18,0,,5,37,7.40,0,,,0,0,,0,0,0,,,,,,0,0,,0,2,15,7.50,0,0,0
34,1989,1989-10-22,7,25.041,MIA,,GNB,W 23-20,15,53,3.53,0,,4,51,12.75,0,,,0,0,,0,0,0,,,,,,0,0,,0,3,30,10.00,0,0,0
35,1990,1990-09-16,2,26.005,MIA,,BUF,W 30-7,0,0,,0,,1,3,3.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
36,1990,1990-09-23,3,26.012,MIA,@,NYG,L 3-20,0,0,,0,,0,0,,0,,,,,,,,,,,,,,0,0,,0,0,0,,0,0,
37,1990,1990-09-30,4,26.019,MIA,@,PIT,W 28-6,2,9,4.50,0,,2,14,7.00,0,,,0,0,,0,0,0,,,,,,1,14,14.00,0,0,0,,0,0,0
38,1990,1990-10-07,5,26.026,MIA,,NYJ,W 20-16,3,19,6.33,0,,1,5,5.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
39,1990,1990-10-18,6,26.037,MIA,,NWE,W 17-10,2,10,5.00,0,,1,8,8.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
40,1990,1990-10-28,7,26.047,MIA,@,IND,W 27-7,2,6,3.00,0,,1,2,2.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
41,1990,1990-11-04,8,26.054,MIA,,PHO,W 23-3,3,0,0.00,0,,5,44,8.80,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
42,1990,1990-11-11,9,26.061,MIA,@,NYJ,W 17-3,8,46,5.75,0,,7,53,7.57,0,,,0,0,,0,0,0,,,,,,0,0,,0,2,4,2.00,0,0,0
43,1990,1990-11-19,10,26.069,MIA,,RAI,L 10-13,3,0,0.00,0,,4,25,6.25,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
44,1990,1990-11-25,11,26.075,MIA,@,CLE,W 30-13,6,13,2.17,0,,1,13,13.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
45,1990,1990-12-02,12,26.082,MIA,@,WAS,L 20-42,0,0,,0,,1,6,6.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
46,1990,1990-12-09,13,26.089,MIA,,PHI,W 23-20,2,11,5.50,0,,4,65,16.25,0,,,0,0,,0,0,0,,,,,,1,21,21.00,0,0,0,,0,0,0
47,1990,1990-12-16,14,26.096,MIA,,SEA,W 24-17,6,24,4.00,1,,1,15,15.00,0,,,0,0,,0,0,0,,,,,,1,21,21.00,0,1,0,0.00,0,1,6
48,1990,1990-12-23,15,26.103,MIA,@,BUF,L 14-24,0,0,,0,,1,4,4.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
49,1991,1991-10-13,7,27.032,KAN,,MIA,W 42-7,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,4,16,4.00,0,0,0
50,1991,1991-10-20,8,27.039,KAN,@,DEN,L 16-19,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,1,7,7.00,0,0,0
51,1991,1991-10-28,9,27.047,KAN,,RAI,W 24-21,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,3,40,13.33,0,0,0
52,1991,1991-11-10,10,27.060,KAN,@,RAM,W 27-20,0,0,,0,,3,37,12.33,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
53,1991,1991-11-17,11,27.067,KAN,,DEN,L 20-24,0,0,,0,,1,14,14.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,3,13,4.33,0,0,0
54,1991,1991-11-24,12,27.074,KAN,@,CLE,L 15-20,0,0,,0,,5,40,8.00,0,,,0,0,,0,0,0,,,,,,5,120,24.00,0,4,27,6.75,0,0,0
55,1991,1991-12-01,13,27.081,KAN,@,SEA,W 19-6,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,1,2,2.00,0,0,0
56,1991,1991-12-08,14,27.088,KAN,,SDG,W 20-17,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,4,87,21.75,0,2,8,4.00,0,0,0
57,1991,1991-12-14,15,27.094,KAN,@,SFO,L 14-28,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,4,73,18.25,0,3,31,10.33,0,0,0
58,1991,1991-12-22,16,27.102,KAN,@,RAI,W 27-21,1,7,7.00,0,,0,0,,0,,,0,0,,0,0,0,,,,,,1,12,12.00,0,1,6,6.00,0,0,0
59,1992,1992-09-06,1,27.361,RAM,@,BUF,L 7-40,3,12,4.00,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,3,59,19.67,0,0,0,,0,0,0
