ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1993,1993-11-14,9,23.144,KAN,@,RAI,W 31-20,,,,,,,0.0%,,,,,,,,,,,,,,
2,1993,1993-12-05,12,23.165,KAN,@,SEA,W 31-16,,,,,,,0.0%,,,,,,,,,,,,,,
3,1993,1994-01-02,16,23.193,KAN,,SEA,W 34-24,,,,,,,0.0%,,,,,,,,,,,,,,
4,1995,1995-09-03,1,25.072,GNB,,STL,L 14-17,,,,,,,0.0%,,,,,,,,,,,,,,
5,1995,1995-09-11,2,25.080,GNB,@,CHI,W 27-24,,,,,,,0.0%,,,,,,,,,,,,,,
6,1995,1995-09-17,3,25.086,GNB,,NYG,W 14-6,,,,,,,0.0%,,,,,,,,,,,,,,
7,1995,1995-09-24,4,25.093,GNB,@,JAX,W 24-14,,,,,,,0.0%,,,,,,,,,,,,,,
8,1996,1996-09-01,1,26.070,NWE,@,MIA,L 10-24,,,0,0,,0,0.0%,,,,,,,,,,,,,,
9,1996,1996-09-08,2,26.077,NWE,@,BUF,L 10-17,,0,0,0,,0,0.0%,,,,,,,,,,,,,,
10,1996,1996-09-15,3,26.084,NWE,,ARI,W 31-0,,,0,0,,0,0.0%,,,,,,,,,,,,,,
11,1996,1996-09-22,4,26.091,NWE,,JAX,W 28-25,,,0,0,,0,0.0%,,,,,,,,,,,,,,
12,1996,1996-10-06,5,26.105,NWE,@,BAL,W 46-38,,1,1,1,1.00,1,100.0%,1.00,0,0,,0,0,0,,,,,,1,6
13,1996,1996-10-13,6,26.112,NWE,,WAS,L 22-27,,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,
14,1996,1996-10-20,7,26.119,NWE,@,IND,W 27-9,,,0,0,,0,0.0%,,,,,,,,,,,,,,
15,1996,1996-10-27,8,26.126,NWE,,BUF,W 28-25,,,0,0,,0,0.0%,,,,,,,,,,,,,,
16,1996,1996-11-03,9,26.133,NWE,,MIA,W 42-23,,,0,0,,0,0.0%,,,,,,,,,,,,,,
17,1996,1996-11-10,10,26.140,NWE,@,NYJ,W 31-27,,,0,0,,0,0.0%,,,,,,,,,,,,,,
18,1996,1996-11-17,11,26.147,NWE,,DEN,L 8-34,,,0,0,,0,0.0%,,,,,,,,,,,,,,
19,1996,1996-11-24,12,26.154,NWE,,IND,W 27-13,,0,0,0,,0,0.0%,,,,,,,,,,,,,,
20,1996,1996-12-01,13,26.161,NWE,@,SDG,W 45-7,,0,0,0,,0,0.0%,,,,,,,,,,,,,,
21,1996,1996-12-08,14,26.168,NWE,,NYJ,W 34-10,,0,0,0,,0,0.0%,,,,,,,,,,,,,,
22,1996,1996-12-15,15,26.175,NWE,@,DAL,L 6-12,,,0,0,,0,0.0%,,,,,,,,,,,,,,
23,1996,1996-12-21,16,26.181,NWE,@,NYG,W 23-22,,,0,0,,0,0.0%,,,,,,,,,,,,,,
24,1997,1997-08-31,1,27.069,NWE,,SDG,W 41-7,,,,,,,0.0%,,,,,,,,,,,,,,
25,1997,1997-09-07,2,27.076,NWE,@,IND,W 31-6,,,,,,,0.0%,,,,,,,,,,,,,,
26,1997,1997-09-14,3,27.083,NWE,,NYJ,W 27-24,,,,,,,0.0%,,,,,,,,,,,,,,
27,1997,1997-09-21,4,27.090,NWE,,CHI,W 31-3,,,,,,,0.0%,,,,,,,,,,,,,,
28,1997,1997-10-06,5,27.105,NWE,@,DEN,L 13-34,,,,,,,0.0%,,,,,,,,,,,,,,
29,1997,1997-10-12,6,27.111,NWE,,BUF,W 33-6,,,,,,,0.0%,,,,,,,,,,,,,,
30,1997,1997-10-19,7,27.118,NWE,@,NYJ,L 19-24,,,,,,,0.0%,,,,,,,,,,,,,,
31,1997,1997-10-27,8,27.126,NWE,,GNB,L 10-28,,,,,,,0.0%,,,,,,,,,,,,,,
32,1997,1997-11-02,9,27.132,NWE,@,MIN,L 18-23,,,,,,,0.0%,,,,,,,,,,,,,,
