ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks
1,1976,1976-09-12,1,23.213,NYJ,@,CLE,L 17-38,
2,1976,1976-09-19,2,23.220,NYJ,@,DEN,L 3-46,
3,1976,1976-09-26,3,23.227,NYJ,@,MIA,L 0-16,
4,1976,1976-10-03,4,23.234,NYJ,@,SFO,L 6-17,
5,1976,1976-10-10,5,23.241,NYJ,,BUF,W 17-14,
6,1976,1976-10-18,6,23.249,NYJ,@,NWE,L 7-41,
7,1976,1976-10-24,7,23.255,NYJ,,BAL,L 0-20,
8,1976,1976-10-31,8,23.262,NYJ,@,BUF,W 19-14,
9,1976,1976-11-07,9,23.269,NYJ,,MIA,L 7-27,
10,1976,1976-11-14,10,23.276,NYJ,,TAM,W 34-0,
11,1976,1976-11-21,11,23.283,NYJ,,NWE,L 24-38,
12,1976,1976-11-28,12,23.290,NYJ,@,BAL,L 16-33,
13,1976,1976-12-05,13,23.297,NYJ,,WAS,L 16-37,
14,1976,1976-12-12,14,23.304,NYJ,,CIN,L 3-42,
15,1977,1977-09-18,1,24.218,NYJ,@,HOU,L 0-20,
16,1977,1977-09-25,2,24.225,NYJ,,BAL,L 12-20,
17,1977,1977-10-02,3,24.232,NYJ,,NWE,W 30-27,
18,1977,1977-10-09,4,24.239,NYJ,@,BUF,W 24-19,
19,1977,1977-10-16,5,24.246,NYJ,@,MIA,L 17-21,
20,1977,1977-10-23,6,24.253,NYJ,,OAK,L 27-28,
21,1977,1977-10-30,7,24.260,NYJ,@,NWE,L 13-24,
22,1977,1977-11-06,8,24.267,NYJ,,MIA,L 10-14,
23,1977,1977-11-13,9,24.274,NYJ,,SEA,L 0-17,
24,1977,1977-11-20,10,24.281,NYJ,@,BAL,L 12-33,
25,1977,1977-11-27,11,24.288,NYJ,,PIT,L 20-23,
26,1977,1977-12-04,12,24.295,NYJ,@,NOR,W 16-13,
27,1977,1977-12-11,13,24.302,NYJ,,BUF,L 10-14,
28,1977,1977-12-18,14,24.309,NYJ,@,PHI,L 0-27,
29,1978,1978-09-03,1,25.203,NYJ,,MIA,W 33-20,
30,1978,1978-09-10,2,25.210,NYJ,@,BUF,W 21-20,
31,1978,1978-09-17,3,25.217,NYJ,,SEA,L 17-24,
32,1978,1978-09-24,4,25.224,NYJ,@,WAS,L 3-23,
33,1978,1978-10-01,5,25.231,NYJ,,PIT,L 17-28,
34,1978,1978-10-08,6,25.238,NYJ,,BUF,W 45-14,
35,1978,1978-10-15,7,25.245,NYJ,@,BAL,W 33-10,
36,1978,1978-10-22,8,25.252,NYJ,,STL,W 23-10,
37,1978,1978-10-29,9,25.259,NYJ,@,NWE,L 21-55,
38,1978,1978-11-05,10,25.266,NYJ,@,DEN,W 31-28,
39,1978,1978-11-12,11,25.273,NYJ,@,PHI,L 9-17,
40,1978,1978-11-19,12,25.280,NYJ,,NWE,L 17-19,
41,1978,1978-11-26,13,25.287,NYJ,@,MIA,W 24-13,
42,1978,1978-12-03,14,25.294,NYJ,,BAL,W 24-16,
43,1978,1978-12-10,15,25.301,NYJ,@,CLE,L 34-37,
44,1979,1979-09-30,5,26.230,NYJ,,MIA,W 33-27,
45,1979,1979-10-07,6,26.237,NYJ,@,BAL,L 8-10,
46,1979,1979-10-15,7,26.245,NYJ,,MIN,W 14-7,
47,1979,1979-10-21,8,26.251,NYJ,,OAK,W 28-19,
48,1979,1979-10-28,9,26.258,NYJ,@,HOU,L 24-27,
49,1979,1979-11-04,10,26.265,NYJ,@,GNB,W 27-22,
50,1979,1979-11-11,11,26.272,NYJ,,BUF,L 12-14,
51,1979,1979-11-18,12,26.279,NYJ,@,CHI,L 13-23,
52,1979,1979-11-26,13,26.287,NYJ,@,SEA,L 7-30,
53,1979,1979-12-02,14,26.293,NYJ,,BAL,W 30-17,
54,1979,1979-12-09,15,26.300,NYJ,,NWE,W 27-26,
55,1979,1979-12-15,16,26.306,NYJ,@,MIA,W 27-24,
56,1980,1980-09-07,1,27.208,NYJ,,BAL,L 14-17,
57,1980,1980-09-14,2,27.215,NYJ,@,BUF,L 10-20,
58,1980,1980-09-21,3,27.222,NYJ,,SFO,L 27-37,
59,1980,1980-09-28,4,27.229,NYJ,@,BAL,L 21-35,
60,1980,1980-10-05,5,27.236,NYJ,,NWE,L 11-21,
61,1980,1980-10-12,6,27.243,NYJ,@,ATL,W 14-7,
62,1980,1980-10-19,7,27.250,NYJ,,SEA,L 17-27,
